Table: Table_1

Kinneved ;;10 ;;- ;20 ;3,000 ;40 ;;- ;5 300 ;- ;5,800 ;26,500 ;;80 ;- ;105 ;21,000 1,750 ;- ;us 24 ;50 ;;;20 ;500 '76 ;260 ;35 ;- ;"I" ;
Sinula ;20 ;8 ;;;;350 ;- ;- ;- ;780 ;- ;360 ;2.600 ;X 80 ;;- ;- ;8,568 ;- ;;;72 ;;4 ;;48 ;;;;
Varkumla Asarp ;12 ;1 ;- ;- ;- 4 ;1,071 120 ;¹3 ;- ;- - ;1,420 306 ;20 ;738 ;;48 ;24 ;- ;- ;480 ;- ;in ;13 ;20 ;;i ;195 ;13 ;'38 ;- ;70 ;
Summa Frökinds härad ;423 ;85 ;;13 ;93 ;9,331 ;53 ;-- ;120 ;17,720 ;1,178 ;8,246 ;70,761 ;1,934 ;490 ;52 ;612 ;57,568 ;- ;393 ;129 ;508 ;;47 ;1,466 ;091 ;1,211 ;- ;424 ;
Amnchärad ;- ;;;- ;;4,200 ;- ;600 ;- ;;- ;300 ;31,000 ;- ;;- ;125 ;;- ;;;;;;100 ;300 ;480 ;- ;;
Beateberg ;;115 ;;;200 ;3,960 ;- ;3,000 ;- ;;- ;60 ;80.498 ;;;- ;;18.840 ;- ;;10 ;;;;;170 ;160 ;;80 ;
Berg ;100 ;200 ;;;;5,400 ;- ;1,000 ;- ;10,395 ;- ;3,500 ;15,320 ;450 ;1,000 ;- ;;32,400 ;- ;;10 ;;;10 ;420 ;;;;;
Bellefors ;;135 ;;;15 ;850 ;- ;1,045 ;- ;3,850 ;--- ;;12,750 ;- ;420 ;;35 ;3,200 ;;;;;;;203 ;50 ;103 ;;;
;;;;;;200 ;;450 ;;680 ;- ;50 ;1,500 ;;50 ;;40 ;1,450 ;;;;;;;40 ;25 ;50 ;;18 ;
Binneberg ;;12 ;;;10 ;;- ;;528 ;10,584 ;;315 ;83,975 ;- ;4,000 ;24 ;1,360 ;10,584 ;;;;;;10 ;600 ;150 ;300 ;;200 ;
Björkäng ;;500 ;;3 ;170 ;1,512 ;- ;3,000 ;;;- ;;;;;;;;;;;;;;;;;;;
Björsäter med Gullsäters rotar* ;;16c ;;;ICO ;2,850 ;- ;2,400 ;100 ;;;1,000 ;16,000 ;- ;Soo ;80 ;200 ;;;;;;;;328 ;168 ;350 ;;135 ;
Back ;;120 ;;;50 ;2,079 ;- ;4,800 ;... ;2,520 ;;320 185 ;7,560 ;- - ;1,200 126 ;;65 ;6,300 ;;;;;;2 ;100 ;125 ;160 ;;;
Böja Karlsborg ;;37 ;;;13 19 ;'218 ;;504 ;;174 ;;;226 ;- ;25 ;- ;;1,302 ;;;;;;;;;;;;
Ek ;;50 ;;;40 ;1,000 ;;1,150 ;600 ;8,000 ;;100 ;27,000 ;- ;300 ;;250 ;8,000 ;;;;;;;260 ;80 ;1GO ;;;
Ekby ;;475 ;;8 ;14 ;1,169 ;- ;1,940 ;- ;9,680 ;- ;90 ;21,625 ;- ;4,750 ;32 ;54 ;7,014 ;;;;;;;270 ;112 ;261 250 ;;;
Ekeskog ;;75 ;;;;400 ;;468 ;;5,000 ;;;19,200 ;;250 ;;;800 ;;;;;;;260 ;150 ;;;;
Elgar&s ;1,500 ;100 ;;25 ;120 ;2,400 ;- ;900 ;150 ;12,000 ;600 ;200 ;80,000 ;8,000 ;400 ;80 ;900 ;25,000 ;;;;;;15 ;400 ;200 ;800 ;;200 ;
Flistad ;;;;;;;;;;;;;22 000 ;;800 ;150 ;128 ;43:888 ;;;;;;;838 ;100 ;;;;
;15 ;;;;40 ;;;240 ;38 ;6,400 ;1CO ;250 ;24,000 ;75 ;720 ;;;;;;;;;;;400 ;1,000 ;;;
Finnerödja Fägre ;;180 750 ;;20 ;150 ;5,000 ;;7,500 ;- ;12,600 ;;500 ;56,000 ;- ;6,000 ;100 ;900 ;30,000 ;;;;;;;900 ;GOO ;600 ;;150 ;
Fredsberg ;;250 ;;22 ;72 ;1.600 ;;11,110 ;- ;16,800 ;- ;230 ;36,200 ;- ;2,500 ;200 ;100 ;4,830 ;;;;;;;650 ;200 ;640 ;;150 ;
Frösve* ;;;;;;1,8co ;;;- ;;;- ;81,000 ;- ;9,600 ;;;10,800 ;;;;;;;663 ;300 ;;;# ;
Götlunda ;;1,200 ;;10 ;30 ;100 ;;2,400 ;- ;;41 ;2.1 ;67.500 19.656 ;- - ;630 ;114 ;400 72 ;600 3,100 ;;;;;;;226 ;290 ;;;58 ;
Halna ;;160 ;;19 ;12 ;2,299 ;;390 ;- ;2,908 ;;;;;;;;;;;;;;;;;;;;
;;116 ;;4 ;25 ;310 ;;1,005 ;- ;8,010 ;;;9,560 ;- ;360 ;12 ;;1,516 ;;;;;;;140 ;60 ;106 ;;15 ;
Hiälstad Insle, Berga och Füred ;;;;;;;;6,000 ;;13.000 ;;;;;1,800 ;- ;2,000 ;33:988 ;;;;;;;;;;;200 ;
;;;;6 ;;7.000 6,870 ;;1,740 ;400 ;23,892 ;X 600 ;810 ;;560 ;705 ;60 ;500 ;;;;;;;;1,350 ;850 ;1,450 ;;;
Hofva ined Fagerlid. ;;;;;;;;;;;;;;- ;1,000 ;- ;;;;;;;;;;;;;;
Horn' ;;;;;10 ;1,000 ;;;- ;13,628 ;;338 ;43:200 ;- ;720 ;- - ;58 ;6.000 ;;;;;;;;100 ;;;58 ;
Leksberg ;;;;;;1,000 ;;i.440 ;.... ;;;;22,550 ;;880 ;- ;;12,880 ;;;;;;;630 ;435 ;;;360 ;
Lyrestad ;;;;;;3,210 ;;1,20 ;;9,400 ;- ;210 ;;- ;1,500 ;- ;X 600 ;12,000 ;;;;;;;260 ;160 ;;;60 ;
Locketorp ;;;;;150 ;3,000 ;;1,200 ;800 ;8,000 ;;2CO ;25,200 ;;;- ;;12,000 ;;;;;;;;125 ;;;60 ;
;110 ;105 ;;;50 ;3,150 ;;'900 ;;6.800 ;100 ;1,000 ;15,600 ;550 ;630 ;;;;;;;;;;350 ;;;;;
Lerdala ;;;;;;;;;;;;;;;;- ;;;;;;;;;;;;;6o ;
L&stad ;;;;18 ;10 ;97° ;- ;1,572 ;- ;3,156 ;- ;- ;8.000 ;- - ;450 ;;50 ;5,820 ;;;;;;;145 ;;;;;
Mo* ;;;;;;150 ;- ;3.120 ;- ;2100 ;- ;;16,920 ;;45° ;- ;;900 ;;;;;;;112 ;;;;70 ;
;;;;;;;;;- ;11,100 ;;- ;28.000 ;500 ;150 ;- ;- ;36,000 ;;;;;;;55° ;300 ;;;too ;
Mölltorp ;100 ;;;;;6,000 ;- ;240 ;;;250 ;;12,600 ;- ;;- ;- ;;;;;;;;;;;;;
Odensake: Ransberg ;;;;;;1,890 6,300 ;;1,134 226 ;400 - ;6,048 12,600 ;501 ;315 ;29,610 ;- ;262 ;- ;;31,300 ;;;;;;3 ;400 ;X 280 ;1,000 ;;140 ;





