Table: Table_1

Malma ;- ;;;- ;1,300 ;63 ;;;- ;- - ;300 ;60 ;4,650 ;50 ;725 ;29,600 ;600 ;504 ;- ;- ;- ;6,500 ;- ;- ;189 ;- ;-- ;- ;- ;146 ;13 ;37 ;12 ;335 ;120 ;311 ;- ;56 ;- ;
Sparlösa ;- ;780 ;;- ;2,400 ;X GO ;- ;;- ;;1,350 ;;5,400, ;- ;2,160 ;33,354 ;900 ;840 ;;1.560 ;- ;9,600 ;9,000 ;;120 ;30 ;- ;3.000 ;;200 ;40 ;40 ;6 ;400 ;200 ;650 ;- ;200 ;- ;
Tengened ;- ;768 ;;- ;3.200 ;;- ;;- ;;880 ;458 ;6,000 ;- ;1,200 ;34.056 ;2,400 ;- ;1.800 ;3,800 ;;16,000 ;;-- ;150 ;30 ;- ;- ;- ;160 ;20 ;40 ;5 ;298 ;200 ;500 ;- ;X 90 ;- ;
Summa, Wiste härad a) ;X 41 ;2,694 ;;- ;12,131 ;319 ;- ;;- ;- ;5,751 ;518 ;32.115 ;50 ;9.089 ;234,822 ;9,530 ;4.931 ;X 1,990 ;10,172 ;- ;52,623 ;9,612 ;- ;1.470 ;130,70 ;500 ;28,220 ;- ;X 990 ;160 ;270 ;52 ;2,356 ;1,127 ;3,119 ;- ;811 ;- ;
Gösslunda ;- ;630 ;;- ;2,400 ;50 ;;;- ;;1,000 ;- ;4,000 ;- ;2,700 ;31,200 ;1,200 ;3,000 ;- ;2,000 ;- ;4,000 ;- ;- ;- ;- ;- ;- ;- ;160 ;20 ;30 ;4 ;250 ;150 ;230 ;- ;70 ;- ;
Hjerpas, Höra och Wedum ;;1,000 ;;- ;2,916 ;40 ;- ;;- - ;- ;2,760 ;- ;7,760 ;140 ;1,000 ;55,000 ;1,625 ;2,190 ;- ;4,500 ;;12,000 ;31,000 ;- ;X 80 ;35 ;- ;25,000 ;- ;254 ;38 ;28 ;11 ;643 ;205 ;610 ;- ;174 ;- ;
Häggesled ;- ;150 ;;- ;413 ;- ;- ;;- ;;150 ;-- ;2,200 ;- ;265 ;1,250 ;680 ;765 ;- ;600 ;;610 ;- ;- ;;- ;- ;- ;- ;91 ;X 20 ;X 30 ;2 ;269) ;58 ;238 ;;60 ;- ;
Kedum ;- ;X 63 ;;- ;255 ;7 ;- ;;- ;;431 ;;1,283 ;;451 ;8,521 ;82 ;503 ;-- ;142 ;- ;637 ;50 ;- ;16 ;2,60 ;- ;5,227 ;- ;74 ;- ;30 ;2 ;97 ;39 ;128 ;- ;18 ;- ;
Lava ;- ;51 ;;;730 ;19 ;;;- ;;287 ;;1,905 ;- ;610 ;19,401 ;403 ;490 ;- ;149 ;- ;1,801 ;126 ;- ;36 ;7,20 ;- ;5,297 ;- ;87 ;- ;40 ;3 ;149 ;97 ;206 ;- ;37 ;- ;
Levene, del ;X 12 ;252 ;;-- ;1,701 ;31 ;;;- ;- ;1,890 ;- ;7,560 ;- ;3,150 ;37,800, ;8,780 ;2,205 ;100 ;1,764 ;- ;13,608 ;3,780 ;- ;63 ;20 ;;24,000 ;- ;140 ;16 ;50 ;3 ;300 ;100 ;270, ;- ;120 ;- ;
Mellby ;- ;X 330 ;;- ;1,000 ;;;;- ;;3,000 ;- ;12,300 ;- ;2,600 ;27,000, ;3,000 ;1,700 ;;1,880 ;- ;10.000 ;- ;- ;- ;12.10 ;2,500 ;60,000 ;- ;120 ;30 ;40 ;6 ;250 ;100 ;250 ;- ;100 ;- ;
Otterstad och Senäte ;- ;X 350 ;;- ;3,600 ;- ;;;;;5,000 ;- ;8,500 ;- ;5,509 ;28,000 ;;5,000 ;- ;2,000 ;;14,000 ;4.000 ;- ;- ;- ;- ;20,000 ;- ;190 ;15 ;110 ;12 ;550 ;200 ;600) ;- ;180 ;- ;
Rackeby ;- ;X 503 ;;- ;989 ;- ;- ;;- ;;3,339 ;;3,195 ;;3,460 ;22,860 ;1,010 ;1,323 ;;3.521 ;===== ;2,787 ;- ;- ;--- ;- ;1.050 ;;- ;104 ;7 ;16 ;5 ;337 ;131 ;243 ;- ;70 ;- ;
Râda ;X 3 ;97 ;;-- ;1,818 ;11 ;- ;;- ;;1,415 ;;4,309 ;360 ;2,065 ;25,610 ;830 ;408 ;15 ;308 ;- ;4,008 ;- ;- ;- ;14 ;- ;16,064 ;- ;132 ;26 ;46 ;9 ;316 ;129 ;298 ;- ;118 ;- ;
Skalunda ;- ;384 ;;- ;441 ;9 ;;;- ;;1,008 ;- ;2,205 ;- ;2,205) ;8,410 ;453 ;1,260 ;- ;1,545 ;- ;1,764 ;- ;- ;;4,40 ;- ;3,800 ;X - ;78 ;16 ;14 ;;137 ;75 ;145 ;;36 ;- ;
Sladened ;- ;252 ;;- ;1,260 ;;- ;;;;441 ;;1,764 ;- ;882 ;20,160 ;- ;819 ;- ;915 ;- ;11,340 ;- ;- ;;- ;- ;- ;- ;80 ;35 ;20 ;5 ;420 ;160 ;400 ;- ;100 ;- ;
Strö ;- ;982 ;;- ;1,300 ;10 ;- ;;- ;;2,136 ;- ;4,004 ;- ;2,400 ;8,000 ;950 ;1,200 ;- ;7,856 ;;7,800 ;18,000 ;- ;40 ;10 ;6,000 ;16,000 ;- ;70 ;25 ;60 ;X 4 ;185 ;135 ;230 ;- ;120 ;- ;
Sunnersberg ;- ;76 ;;- ;260 ;- ;- ;;- ;;750 ;-- ;725 ;- ;700 ;4,680 ;- ;420 ;- ;456 ;;780 ;- ;- ;- ;- ;- ;- ;;194 ;33 ;X 92 ;X 6 ;330 ;120 ;254 ;- ;X 116 ;- ;
Söne ;X 36 ;610 ;;- ;800 ;33 ;- ;;- ;;570 ;;3,885 ;;4,560 ;18,130 ;- ;1,536 ;X 360 ;4,884 ;- ;1,782 ;;- ;103 ;60 ;- ;18,830 ;- ;142 ;23 ;32 ;2 ;373 ;123 ;336 ;- ;37 ;- ;
Tranum ;X 4 ;261 ;;- ;584 ;16 ;- ;;- ;;340 ;- ;3,017 ;- ;1,137 ;20,296 ;886 ;917 ;11 ;557 ;- ;1,462 ;69 ;;35 ;5,87 ;- ;11,936 ;- ;117 ;- ;X 56 ;4 ;178 ;119 ;241 ;- ;X 32 ;- ;
Tâdened ;X 14 ;56 ;;- ;549 ;12 ;- ;;--- ;-- ;326 ;- ;1,573 ;- ;689 ;11,725 ;221 ;353 ;70 ;229 ;- ;2,471 ;1.265 ;- ;26 ;4 ;- ;5,610 ;- ;64 ;- ;X 35 ;4 ;115 ;58 ;189 ;- ;39 ;- ;
Ufvered ;- ;180 ;;- ;1,000 ;16 ;- ;;- ;- ;750 ;- ;3,280 ;- ;240 ;48,000 ;1,500 ;360 ;- ;1,080 ;- ;2,000 ;- ;- ;48 ;13 ;- ;1,500 ;- ;160 ;X 25 ;10 ;X 6 ;300 ;120 ;250 ;- ;170 ;- ;
Wäla och Gillstad ;- ;X 360 ;;- ;1,200 ;20 ;- ;;- ;- ;570 ;;4,032 ;- ;1,456 ;31,500 ;- ;285 ;- ;2,160 ;- ;4,800 ;- ;- ;30 ;;- ;12,000 ;- ;177 ;30 ;45 ;X 5 ;300, ;170 ;320, ;- ;65 ;- ;
Äsaka ;- ;100 ;;- ;1,500 ;20 ;- ;;- ;- - ;1,350 ;- ;3,600 ;- ;800 ;26,772 ;- ;500 ;- ;400 ;- ;6,000 ;4,000 ;- ;80 ;32 ;- ;12,000 ;- ;85 ;25 ;30 ;5 ;190 ;70 ;250 ;- ;60 ;- ;
Orslösa ;;1,671 ;;- ;1,786 ;- ;- ;;- ;- ;- ;--- ;- ;-- ;;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;164 ;45 ;54 ;2 ;230 ;158 ;231 ;- ;19 ;;
Summa, Kâllands härad b) ;69 ;8,358 ;;- ;26,495 ;291 ;- ;;- ;- ;27,513 ;- ;80,597 ;500 ;36,900, ;454,315 ;16,620 ;25.234 ;X 556 ;36,976 ;- ;103,650 ;62,290 ;- ;557 ;220,17 ;9,550 ;236,764 ;- ;2,683 ;429 ;868 ;100 ;5.919 ;2,517 ;5,919 ;- ;1,741 ;- ;





