Table: Table_1

1. ;36. ;37. ;39 ;40. ;41 ;44 ;45 ;46. ;47. ;48. ;49. ;50. ;51, ;52 ;53. ;55 ;56 ;57. ;58. ;59 ;60 ;61 ;62. ;66. ;67. ;68. ;69 ;70 ;71. ;72 ;73. ;74 ;75 ;
Kyrkefalla ;- ;- ;950 ;10 ;- ;60 ;- ;2,280 ;40 ;- ;4,800 ;- ;60 ;-- ;- ;5,700 ;- ;- ;30 ;- ;- ;-- ;- ;100 ;10 ;270 ;12 ;450 ;180 ;600 ;6 ;180 ;;
Kyrketorp ;- ;- ;4,780 ;9 ;- ;365 ;- ;9,100 ;149 ;420 ;13,420 ;- ;450 ;- ;- ;23,900 ;2,600 ;- ;- ;8 ;- ;- ;- ;60 ;6 ;215 ;6 ;298 ;74 ;268 ;- ;130 ;;
Mofalla ;- ;- ;600 ;12 ;- ;- ;- ;2,640 ;- ;- ;5,000 ;- ;75 ;- ;- ;3,600 ;- ;- ;- ;7,20 ;- ;- ;- ;14 ;4 ;60 ;2 ;90 ;30 ;130 ;- ;22 ;;
Ryd ;- ;- ;1,680 ;- ;- ;- ;- ;3,038 ;- ;1,850 ;5,166 ;- ;501 ;- ;- ;13,104 ;- ;- ;- ;- ;- ;4,800 ;- ;14 ;2 ;44 ;3 ;105 ;10 ;90 ;- ;45 ;;
Sköfde landsförsamling ;- ;- ;1,890 ;- ;- ;1.099 ;X 266 ;7,560 ;- ;- ;12,600 ;- ;410 ;- ;- ;13,230 ;- ;- ;- ;;- ;- ;- ;75 ;15 ;150 ;8 ;300 ;150 ;400 ;- ;100 ;;
Suntetorp och Sventorp ;- ;- ;7,524 ;120 ;- ;1,180 ;- ;9,600 ;- ;- ;34,032 ;- ;720 ;- ;- ;30,096 ;4,000 ;- ;X 250 ;- ;- ;- ;- ;91 ;11 ;216 ;11 ;520 ;370 ;650 ;- ;230 ;;
Warola ;- ;- ;1,978 ;X 37 ;- ;1,179 ;- ;4,457 ;- ;- ;18,837 ;- ;1,260 ;- ;- ;15,825 ;- ;- ;113 ;27,80 ;- ;10,740 ;- ;53 ;2 ;217 ;6 ;525 ;180 ;300 ;- ;130 ;;
Wers&s ;- ;- ;4,284 ;- ;- ;1,628 ;- ;17,766 ;- ;- ;23,940 ;- ;1,764 ;- ;- ;18,104 ;- ;- ;- ;- ;- ;- ;- ;84 ;4 ;270 ;12 ;642 ;188 ;603 ;- ;142 ;;
Warfruhem ;- ;- ;3,780 ;- ;- ;- ;- ;3,780 ;- ;378 ;7,560 ;1,260 ;315 ;- ;- ;22,680 ;- ;- ;- ;- ;- ;- ;- ;50 ;10 ;30 ;3 ;120 ;50 ;200 ;- ;50 ;;
