Table: Table_1

1. ;36. ;37. ;38. ;39 ;40. ;41. ;44. ;45. ;46. ;47. ;48. ;49. ;50. ;51. ;52. ;53. ;54. ;55. ;56. ;58. ;59. ;GO. ;61. ;62. ;66. ;67. ;68. ;69. ;70. ;71. ;72. ;73, ;74. ;75. ;
Torsö ;;130 ;;6,730 ;- ;;2,270 ;180 ;11,230 ;;3,870 ;37,800 ;;780 ;;724 ;- ;58,940 ;2,700 ;- ;- ;2,300 ;7,800 ;;58 ;1 ;274 ;7 ;365 ;139 ;G30 ;;120 ;;
Tiavad ;31 ;75 ;;441 ;;;995 ;;1,823 ;;;17,000 ;;995) ;;X 450 ;;1,990 ;;- ;- ;;;;35 ;3 ;100 ;4 ;230 ;75 ;225 ;;20 ;;
Tived ;8 ;;;4,750 ;80 ;;: ;12 ;3,600 ;X 80 ;85 ;5,000 ;200 ;100 ;;;;15,000 ;300 ;- ;;;;;73 ;2 ;105 ;8 ;310 ;130 ;800 ;;;;
Trästena ;;;;1,500 ;9 ;;2,431 ;;5,320 ;;;31,644 ;;240 ;;;;9,000 ;;;13,50 ;- ;;;47 ;4 ;100 ;7 ;295 ;110 ;125 ;;;;
Timmersdala ;;;;504 ;25 ;;454 ;;1.890 ;;101 ;2,772 ;454 ;252 ;;76 ;;2,520 ;- ;12 ;- ;;;;30 ;5 ;30 ;1 ;100 ;30 ;100 ;2 ;;;
Ullervad ;;;;2,220 ;15 ;;1.416) ;;5,728 ;;48 ;17,948 ;;426| ;;80 ;;11,100 ;- ;;;;27,160 ;;54 ;G ;200 ;7 ;300 ;200 ;100 ;;;;
Utby ;;;;650 ;2 ;;1,267 ;;3,593 ;;40 ;7,963 ;;9561 ;;150, ;;2,651 ;;7 ;2 ;1,230 ;8,278 ;;20 ;5 ;112 ;4 ;223 ;45 ;80 ;;;;
Undenäs ;110 ;;;12,600 ;- ;;1,200 ;;28,200 ;680 ;250) ;51,600 ;800 ;600 ;1,320 ;200 ;;75,600 ;;330 ;- ;;;;145 ;4 ;620 ;18 ;1,320 ;625 ;2,000 ;;410 ;;
Vad ;;;;840 ;- ;;3,240 ;;3,000 ;;125 ;12,200 ;;620 ;;;- ;5,880 ;378 ;;- ;;;;23 ;;100 ;2 ;120 ;50 ;120 ;;30 ;;
Väring ;- ;25 ;;2,000 ;- ;- ;4.500 ;85 ;7.000 ;;100 ;14,000 ;;600 ;- ;88 ;- ;12,000 ;- ;- ;- ;- ;16,000 ;;50 ;10 ;200 ;4 ;350 ;130 ;200 ;- ;100 ;;
Vadsho härad ;402 ;2,017 ;- ;131.065 ;1,146 ;- ;99.406 ;919 ;422.265 ;1,534 ;23.270 ;1,262,863 ;4.628 ;53.295 ;2,599 ;7,683 ;- ;840.820 ;45,318 ;2,801 ;735,50 ;42.830 ;700,030 ;;2,437 ;213 ;8.477 ;290 ;16.611 ;7,656 ;17,566 ;41 ;3,930 ;- ;
Summa för landsbsgden ;790 ;26,499 ;25 ;648,125 ;4,534 ;12,6 ;341,043 ;7,277 ;1,901,754 ;12,594 ;318,543 ;6,196,277 ;225,129 ;241,411 ;4,298 ;142,777 ;30 ;4,297,518 ;483,621 ;9,354 ;2,419,86 ;67,523 ;1,258,064 ;1,008 ;20,254 ;3,314 ;25,150 ;1,495 ;70,190 ;31,773 ;77,434 ;71 ;21,186 ;1,548 ;
Mariestad ;- - ;12 ;- ;400 ;- ;- ;1,600 ;;3,200 ;;180 ;10,400 ;;120 ;- ;- - ;- ;2,400 ;600 ;- ;- ;240 ;9,000 ;;38 ;2 ;34 ;3 ;120 ;4 ;32 ;-- ;40 ;- ;
Lidköping ;;;;660 ;;;;;10,650 ;;600 ;11,300 ;;;;;;6,600 ;10,000 ;;;;2,130 ;;80 ;;G ;;300 ;8 ;;- ;20 ;- ;
Skara ;5 ;140 ;- ;3,236 ;- ;- ;1,680 ;;7,237 ;;720 ;10,863 ;1,291 ;798 ;33 ;980 ;;19,416 ;;5 ;10 ;690 ;6,840 ;;8G ;1 ;26 ;4 ;215 ;20 ;40 ;- ;50 ;- ;
Sköfde ;;;;2,150 ;==== ;;630 ;;4,720 ;;;7,920 ;;600 ;;;;17,200 ;;- ;;;;;20 ;2 ;30 ;2 ;220 ;20 ;50 ;- ;GO ;- ;
Falköping ;;26 ;;300 ;- ;- ;;;672 ;;570 ;3,960 ;;32 ;;;;2,400 ;2,750 ;- ;;;2,000 ;;71 ;8 ;38 ;3 ;267 ;32 ;40 ;- ;6G ;- ;
Hlo ;-- ;20 ;- ;5,400 ;- ;- ;70 ;40 ;3,700 ;220 ;;9,800 ;GO ;45. ;- ;X 100 ;- ;37,000 ;12,000 ;- ;;1,000 ;4,000 ;- ;43 ;1 ;30 ;2 ;150 ;24 ;20 ;- ;150 ;- ;
Summa for städerna ;5 ;198 ;- ;12,146 ;- ;- ;3.980 ;40 ;30,179 ;220 ;2,070 ;54.243 ;1,351 ;1.595 ;33 ;1.080 ;- ;85,016 ;25,350 ;5 ;10 ;1,930 ;23,970 ;- ;338 ;14 ;161 ;18 ;1,272 ;108 ;152 ;- ;356 ;- ;
Summa für hela länet ;795 ;26,697 ;25 ;660,271 ;4,534 ;12,6 ;345,023) 7,317 ;;1,931,933) ;12,814 ;320,613 ;6,250,520 ;226,480 ;243,006 ;;;;;;;;;;;;;25,314 ;1,513 ;71,462 ;31,881 ;77,616 ;71 ;21,57² ;- ;





