Table: Table_1

;1. ;2. ;3. ;4. ;;5, ;;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14, ;;15, ;16. ;17 ;18. ;19. ;20. ;21. ;22. ;23. ;24. ;25. ;26. ;27. ;28. ;29. ;30. ;31. ;32. ;33. ;34. ;35 ;
26 ;Istrum Lundby ;8:25 25:50 ;;;4.000 2,777 ;;2,500 ;17 20 ;1.165 1,862 ;148 355 ;2,670 540 ;;;;;;;;;;160 214 ;360 550 ;60 ;100 ;;;220 ;300 422 ;30 ;150 214 ;140 ;20 ;870 788 ;40 ;500 ;3,230 2,600 ;365 ;200 ;
28 ;Skarke ;24:69 ;;;2.777 ;;;30 ;1.600 ;945 ;202 ;48 ;34 ;;;;;;;;300 ;500 ;40 ;125 ;20 ;;100 ;234 ;;280 ;40 ;14 ;1,900 ;- ;605 ;3,100 ;100 ;150 ;
29 ;Skärf ;15:81 ;;;4.397 ;;;60 ;900 ;300 ;3.137 3.332 ;- ;36 ;;;;;;;;150 125 ;230 220 ;15 ;50 ;;;100 ;200 20 ;;150 125 ;45 45 ;- ;720 580 ;- - ;180 60 ;1,800 1,900 ;;60 40 ;
30 ;Stenum ;15:88 ;;;5,092 ;;;60 ;580 ;1,120 ;;;;;;;;;;;;;10 ;;;;;;;;;;;;;;;;
;Ving ;10:13 ;;;2.083 ;;;55 ;900 ;100 ;1,000 ;;;;;;;;;;150 ;263 ;5 ;70 ;2 ;;;160 ;;150 ;25 ;- ;725 ;- ;80 ;2,000 ;;20 ;
;Oglunda ;13:56 ;38 ;18 ;3,934 ;;;7 ;600 ;550 ;600 ;6 ;28 ;5 ;;12 ;;4 ;;;80 ;320 ;20 ;50 ;;- ;;50 ;- ;80 ;30 ;- ;450 ;- ;130 ;2,500 ;350 ;100 ;
;Summa för Valle hürad ;184:41 ;457 ;480 ;3) 46,286 ;;;277 ;13,320 ;4,438 ;15,490 ;85 ;246 ;51 ;6 ;138 ;;144 ;23 ;I ;1,927 ;4,413 ;255 ;950 ;135 ;12 ;885 ;2,755 ;30 ;1,837 ;509 ;64 ;10,059 ;40 ;2,565 ;32,510 ;2,480 ;1,070 ;
38 ;Bredvik ;17:88 ;135 ;125 ;10.877 ;;10.277 ;15 ;1.895 ;60 ;2,030 ;90 ;187 ;;;;;140 ;;;325 ;565 ;12 ;240 ;;3 ;50 ;390 ;;310 ;;;1.455 ;- ;;5,620 ;;;
;Forsby ;11:00 ;40 ;;4,397 ;;2,250 ;20 ;3,277 ;340 ;760 ;;;;;;;;;;600 550 ;880 ;92 ;60 350 ;40 32 ;;440 58 ;560 ;;600 ;700 ;;2,000 2,935 ;;960 ;6,000 10,175 ;;300 ;
;Fogelãs, Norra ;38:75 ;57 ;;23,837 ;;;136 ;3.360 ;1,241 ;6.253 ;10 ;;;;;;;;;452 ;1,119 800 ;6 20 ;380 ;14 ;;150 ;740 989 ;;500 ;335 ;20 ;2.100 ;20 ;175 ;8.200 ;40 ;;
