Table: Table_1

1. ;36. ;37. ;38. ;39, ;40. ;41. ;44. ;45 ;46 ;47. ;48. ;49 ;50. ;51. ;52. ;53. ;54. ;55. ;56. ;58. ;59. ;60. ;61. ;G2. ;66. ;67. ;68. ;69. ;70. ;71. ;72. ;73. ;74. ;75. ;
Harja ;;40 ;;4,000 ;32 ;;;- ;5,800 ;180 ;;12,450 ;- ;- ;- ;160 ;;10,000 ;- ;- ;15 ;- ;600 ;- ;50 ;;180 ;;300 ;200 ;500 ;10 ;;;
Hömb ;;;;825 ;;;130 ;;3,475 ;;;3,210 ;;;;;;3,713 ;;;;;;;;;;;168 ;;;;;;
Karleby ;;140 ;;5,800 ;;;;;5,880 ;;4,740 ;31,350 ;2,450 ;520 ;;420 ;;34,800 ;;90 ;15 ;X 200 ;600 ;;100 ;;180 ;;;100 ;300 ;;;;
Kjelfvened ;;;;1,200 ;;;;;1,650 ;;1,815 ;7,054 ;720 ;252 ;;;;4.800 ;;;;;;;;;;;;;;;;;
Kongslena Korsberga ;- ;X 12 ;;3,150 3,833 ;;;1,248 ;100 ;8.190 15,908 ;;X 504 ;35,280 25,205 ;630 748 ;220 480 ;;X 50 ;;9,500 23,000 ;- ;20 ;2,05 ;;;;;;;;300 ;150 ;;;;;
Kylingared, en del ;;;;1,132 ;;;;;819 ;;175 ;8,906 ;;;;;;7,245 ;126 ;;;;;;;;;;;;;;;;
Kymbo............ ;;;;788 ;;;;;2,140 ;;65 ;10,080 ;160 ;;;;;3,152 ;- ;;;;;;;;;;;;;;;;
Luttra ;- ;;;2,500 ;;;;;4,640 ;;3,480 ;17,550 ;;;;;;7,500 ;- ;;;1,600 ;;;;;;;160 ;100 ;;;;;
Mularp ;;70 ;;1,848 ;;;120 ;;3.430 ;;2,080 ;18,600 ;980 ;625 ;;490 ;;7,392 ;- ;;;;;;;;;;;;;;;;
Nykyrks ;;;;4,368 ;;;;;3.860 ;90 ;;1,917 ;975 ;;;;;17,472 ;;;;;3,500 ;;;;;;;48 ;250 ;;;;
Nas ;;15 ;;2,570 ;;;X 63 ;;6,792 ;;966 ;14,895 ;693 ;302 ;;X 60 ;;15,420 ;- ;25 ;;;2,800 ;;;;;;108 ;;220 ;;;;
Ottrava ;- ;;;1.890 ;;;;;2,365 ;;;9,450 ;;50 ;;;;7,560 ;- ;;20 ;;130 ;;;;;;;24 ;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sandhem ;;;;10,836 ;;;;;11,836 ;;315 ;37,548 ;9,450 ;;;;;43,504 ;- ;;;;;;;;;;750 ;168 ;1,050 ;;;;
Skörstorp ;;X 126 ;;6,300 ;;;;;8,190 ;;2,268 ;14,832 ;1,512 ;200 ;;;;25,200 ;- ;;5 ;;2,000 ;;;;;;120 ;;70 ;;;;
Slöta med Faleqvarna ;;;;5.695 ;;;;;9.635 ;;4,080 ;42,890 ;756 ;350 ;;;;39,865 ;- ;;;;;;;;;20 ;500 ;270 ;290 ;;;;
Suntack ;;X 34 ;;1,470 ;;;X 60 ;;3,810 ;;;7,592 ;;;;102 ;;8,350 ;- ;9 ;5 ;;2,400 ;;;;;;116 ;;115 ;;;;
Tiarp ;;25 ;;;;;;;3.150 ;;1,000 ;18,000 ;360 ;1,000 ;;150 ;;5,000 ;- ;;;;;;;;;;;150 ;180 ;;;;
Utvängstorp ;;;;;;;;;1,030 ;;;6,800 ;300 ;;;;;12,000 ;;;;;;;;;;;;;;;;;
Welinge ;;15 ;;;;;X ;;8,549 ;;48 ;22,113 ;22 ;34 ;;;;24,393 ;3,465 ;X 42 ;;300 ;2,500 ;;;;;;;172 ;;;;;
Wistorp ;2 ;;;;;;100 ;;1,095 ;;150 ;7,980 ;1,000 ;18 ;24 ;X 20 ;;10,000 ;800 ;;;X 60 ;4,000 ;;;;;;154 ;;140 ;;;;
Wättack ;;;;;;;;;2,360 ;152 ;;6,800 ;252 ;;;;;15,120 ;;30 ;;;1,200 ;;;;;;;;120 ;;;;
Yllestad ;;;;3.800 ;;;;;5,700 ;;750 ;16,800 ;- ;;;;;11,400 ;- ;;;;3,000 ;;;;;;;50 ;300 ;;;;
Asaka ;;;;2,218 ;;;;;4,000 ;;1,480 ;20,560 ;;;;;;8,872 ;- ;;;;;;;;;;;149 ;;;;;
Asled ;;X 30 ;;4,800 ;;;X 30 ;30 ;5.040 ;;4,370 ;27,200 ;X 720 ;64 ;;X 150 ;;19,200 ;- ;51 ;;;;;124 ;;;;340 ;140 ;130 ;;;;
Summa, Wartofta härad ;20 ;743 ;;146,131 ;435 ;- ;4,650 ;476 ;232,255 ;2,438 ;39,117 ;689,865 ;30,542 ;6,598 ;71 ;1,965 ;- ;717,853 ;26,014 ;983 ;496,05 ;2,160 ;30,230 ;- ;1,995 ;362 ;5,258 ;247 ;9,795 ;4,090 ;11,401 ;16 ;3,202 ;;
Brismened ;- ;;;1,000 ;;- ;;;945 ;;528 ;2.835 ;- ;- ;;;- ;6,000 ;- ;- ;;- ;- ;- ;40 ;;24 ;;150 ;80 ;100 ;;;;
Börstig ;;;;2,268 ;;;328 ;;1,890 ;176 ;410 ;12,600 ;630 ;114 ;25 ;100 ;;15,876 ;- ;;;- ;;;;;208 ;;260 ;60 ;390 ;;;;
Grolanda ;;;;;;;;;6,050 ;1,000 ;2,500 ;12,000 ;950 ;200 ;;350 ;;6,500 ;;;;;- ;;;;;;300 ;110 ;200 ;;;;
Kinneved ;;40 ;;3,000 ;;;;;3,800 ;;4,500 ;28,000 ;;;;100 ;;15,000 ;;;12 ;800 ;;;100 ;;125 ;10 ;400 ;225 ;300 ;;;;
Smula ;;;;275 ;;;;;290 ;;272 ;1,674 ;75 ;;;;;1,650 ;- ;- ;;;1,220 ;;;;30 ;;65 ;20 ;GO ;;;;
Warkumla ;;;;610 ;12 ;;;;980 ;;756 ;7,056 ;;25 ;;;- ;3,050 ;- - ;;7 ;;;;;;;;125 ;55 ;124 ;;;;
Asarp ;;3 ;;100 ;;;;- ;132 ;12 ;60 ;1,050 ;75 ;9 ;;12 ;- ;500 ;- ;- ;;;;- ;12 ;;;;22 ;12 ;30 ;;;;
Summa, Frökinds härad ;5 ;103 ;- ;8.603 ;124 ;- ;328 ;- ;14,087 ;1,188 ;9,026 ;65,215 ;1,730 ;318 ;25 ;562 ;- ;48,576 ;X - ;- ;57 ;800 ;1,220 ;- ;337 ;98 ;627 ;34 ;1,322 ;562 ;1,204 ;;307 ;;
Amnehärad ;- ;40 ;;4,450 ;90 ;;400 ;- ;16,800 ;- ;500 ;30,000 ;- ;8,000 ;- ;;- ;26,000 ;- ;- ;15 ;400 ;20.000 ;- ;;;240 ;;650 ;300 ;G50 ;;100 ;;
Beateberg ;;;;2,300 ;;;X 1,132 ;;6,613 ;- ;;20,955 ;;384 ;;374 ;;18,400 ;- ;;40 ;;860 ;;;;;;320 ;300 ;600 ;;;;
Berg ;;;;3,200 ;;;138 ;;3,950 ;- ;920 ;14,500 ;200 ;300 ;;100 ;;24,900 ;- ;;;- ;;;;;;;190 ;120 ;200 ;;;;
Bellefors ;;;;;;;;;1,800 ;- ;;7,576 ;;;;;;2,140 ;- - ;;1 ;;;;;;;;161 ;;;;;;
Binneberg ;;;;;;;;;2,250 ;;125 ;4.000 ;250 ;100 ;;;;1,050 22,800 ;2,000 ;150 ;;500 ;;;;;;;400 ;15 200 ;250 ;;;;
Björsäter med Gullsüters rotar ;;;;;;;;120 ;6,890 ;;1,200 ;48,600 ;;960 ;180 ;700 80 ;;2,640 ;X 200 ;;40 ;4,000 ;32,000 ;;;;;;330 ;;;;;;
Bäck ;;;;;;;;;8,680 ;;320 ;35,310 ;;1,680 ;;;;;;;X ;4,000 ;6,000 ;;;;;;;55 ;;;;;
;;;;;;;;;1,764 ;;128 ;3,276 ;1,102 ;X 168 ;;113 ;;3,654 ;;75 ;;;;;;;;;;;107 ;;;;
Böja Carlsborg ;;;;;;;X ;;;;;90 ;;;;;;240 ;- ;;;;;;;;;;;;;;;;
Ek ;;;;;;;;;5,040 ;;X 630 ;9,000 ;;540 ;;;;2,940 ;3,000 ;100 ;16 ;;10,200 ;;;;;;;;;;;;
Ekby ;;;;;;;;;7,260 ;;90 ;21,225 ;;4,275 ;X ;126 ;;5,825 ;;;;500 ;3,500 ;;;;;;;;;;;;
Ekeskog ;;;;;;;;;4,000 ;;;14,000 ;;;;;;1,800 ;;;;;;;;;;;;;;;;;
