Table: Table_1

1. ;2. ;3. ;4. ;5. ;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17. ;18. ;19. ;20. ;21. ;22. ;23. ;24. ;25. ;26. ;27. ;28. ;29. ;30. ;31. ;32. ;33. ;34. ;35. ;
Torsõ ;31,44 ;97 ;176 ;8,539 ;47 ;1,488 ;559 ;6,445 ;43 ;41 ;3 ;2 ;4 ;2 ;;- ;300 ;675 ;32 ;124 ;8 ;11 ;- ;108 ;15 ;215 ;250 ;10 ;1,020 ;- ;450 ;4,230 ;;127 ;
Tiavad ;12.25 ;49 ;21 ;1,910 ;9 ;672 ;612 ;612 ;GI ;39 ;1 ;- ;;;1 ;- ;103 ;206 ;;30 ;16 ;;- ;206 ;13 ;103 ;199 ;;441 ;;- ;1,700 ;;199 ;
Tived ;13,80 ;185 ;34 ;2,14% ;2 ;869 ;1,271 ;- ;120 ;48 ;- ;- ;128 ;45 ;;- ;107 ;195 ;10 ;100 ;8 ;22 ;- ;3:0 ;- ;107 ;2 ;4 ;580 ;18 ;- ;1,000 ;40 ;35 ;
Trästena ;15,88 ;25 ;36 ;;12 ;1,679 ;10 ;;1 ;17 ;2 ;2 ;1 ;19 ;6 ;2 ;220 ;586 ;10 ;50 ;;3 ;100 ;501 ;- ;209 ;374 ;- ;760 ;- ;;5,274 ;;40 ;
Timmersdala ;9,50 ;48 ;7 ;862 ;14 ;480 ;150 ;216 ;12 ;34 ;;- ;;1 ;1 ;;78 ;120 ;15 ;45 ;7 ;5 ;100 ;218 ;- ;78 ;113 ;- ;378 ;- ;25 ;693 ;113 ;50 ;
Ullervad ;24.88 ;76 ;43 ;6,076 ;43 ;2,490 ;GG2 ;1,600 ;7 ;42 ;23 ;;2 ;51 ;23 ;;379 ;579 ;36 ;72 ;5 ;2 ;285 ;754 ;- ;379 ;354 ;;1,439 ;- ;19 ;4,487 ;;142 ;
Utby ;17,27 ;38 ;26 ;3,181 ;13 ;1,531 ;884 ;900 ;7 ;29 ;4 ;1 ;5 ;28 ;4 ;1 ;288 ;461 ;GO ;31 ;2 ;1 ;114 ;289 ;- ;287 ;300 ;14 ;723 ;;6 ;2,008 ;;230 ;
Undenäs ;43,88 ;307 ;203 ;;;5,230 ;2,245 ;;9 ;180 ;9 ;3 ;;102 ;2 ;2 ;960 ;1,340 ;50 ;315 ;;110 ;110 ;1,525 ;- ;820 ;200 ;- ;4,600 ;170 ;50 ;12,900 ;200 ;150 ;
Vad ;12,75 ;28 ;16 ;1,990 ;20 ;1,380 ;280 ;310 ;1 ;9 ;10 ;1 ;;3 ;4 ;;280 ;396 ;20 ;24 ;4 ;- ;100 ;280 ;- ;280 ;540 ;;590 ;- ;25 ;2,436 ;- ;100 ;
Väring ;24 ;100 ;60 ;4,200 ;2 ;1,810 ;50 ;2,338 ;12 ;36 ;21 ;;;;;1 ;400 ;450 ;50 ;50 ;- ;- ;680 ;- ;- ;250 ;724 ;14 ;1,135 ;- ;10 ;2,190 ;- ;160 ;
Vadsbo härad ;1.008.82 ;4.633 ;3.264 ;228,715 ;934 ;83.656 ;23,473 ;98,410 ;1,173 ;2,386 ;385 ;38 ;511 ;955 ;201 ;22 ;16,465 ;29.171 ;2,189 ;4,335 ;350 ;580 ;5,859 ;26,616 ;125 ;15.490 ;15.764 ;192 ;65,559 ;390 ;3,691 ;226,538 ;961 ;8.853 ;
