Table: Table_1

1. ;2. ;3. ;4. ;;6. ;7. ;8. ;9. ;10. ;11. ;12 ;13. ;14. ;15. ;16. ;17. ;18, ;19. ;20. ;21. ;22. ;23. ;24. ;25. ;26. ;27. ;28. ;29. ;30. ;31. ;32. ;33, ;34 ;35 ;
Hângedala ;16 ;;;;;1,285 ;219 ;;1 ;3 ;20 ;;16 ;;;;214 ;;;107 ;;;;413 ;;214 ;6 ;;1.342 ;;101 ;3,219 ;;76 ;
Härja ;13,84 ;;;;;1.145 ;1.146 ;1.810 ;;;;;;;;;;;;;;;;;;;;;1,240 ;;50 ;6.100 ;;;
Hömb ;8,75 ;;;;;972 ;649 ;718 ;;;;;;;;;;;;;;;;;;;;;;;;2,764 ;;;
Karleby ;30,19 ;;;;;2.800 ;1,377 ;39 ;;;;;;;;;1,120 ;6,117 ;;;;;;;;;;;1 ,230 ;;1,000 ;8,000 ;;200 ;
Kelfvene ;9,50 ;;;;;;100 ;;;;;;;;;;;;;;;;;;;;;;450 ;;;2,700 ;;;
Kungalena ;29,75 ;;;;;2,517 ;300 ;1,200 ;;;;;;;;;;;;;;;;;;;;;1,894 ;;189 ;6,300 ;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Korsberga Kylingared, en del ;20,69 ;;;;;2,335 150 ;1,700 49 ;3,080 200 ;;;;;X ;;;;;;;;;;;;;;;;2,704 ;;;7,554 945 ;;;
Kymbo ;13,75 ;;;;;930 ;540 ;800 ;;;;;;;;;;;;;;;;;;;;;;;;3,820 ;;;
Luttra ;20,38 ;;;;;990 ;35 ;;;;;;;;;;;;;;;;;;;;;;1,060 ;;;5,000 ;;;
Mularp. ;12,88 ;;;;;980 ;96 ;1,260 ;;;;;;;;;;;;;;;;;;;;;;;;3,300 ;;;
Nykyrka ;10,88 ;;;;;523 ;1,097 ;1,200 ;;;;;;;;;;;;;;;;;;;;;;;;2,580 ;;;
Näs ;11,25 ;;;;;1,050 ;50 ;;;;;;;;;;;;;;;;;;;;;;;;;3,000 ;;;
Ottravad ;8,94 ;;;;;580 ;250 ;300 ;;;;;;;;;;;;;;;;;;;;;500 ;;;2,425 ;;8 ;
Sandhem ;43,13 ;;;;;2,300 ;4.500 ;10,600 ;;;;;;;;;;;;;;;;;;;;;1,800 ;;;8,200 ;;;
Skörstorp ;10,88 ;;;;;1,220 ;1,040 ;;;;;;;;;;130 ;;;;;;;;;;;;;;;3.200 ;;;
