Table: Table_1

1. ;2. ;3. ;4. ;5. ;6, ;7. ;8. ;9. ;10. ;11. ;12 ;13 ;14. ;15. ;16. ;17. ;18 ;19. ;20. ;21. ;22. ;23. ;24. ;25. ;26. ;27. ;28. ;29 ;30. ;31. ;32. ;33. ;34. ;35. ;
;;;Antal ;;;;Deraf ;;;Antal ;egare af ;;Antal ;;brukare ;af ;;;o d l a d ;;egovidd ;;anvand ;till ;;;;;Hela ;;utsdidesbeloppet ;;af ;;
;Nuva- ;;Jordtorp ;Hela ego- vidden. ;trä-, humle- ;âker och annan ;naturlig ;skog- ;;o ;d ;d ;;o r ;d ;;;varsäd; ;;;andra ;spa- ;gräs och foderväxter ;andra till ;andra ;;Hvete, ;;Râg, ;;;;Bland- ;;
Kommunens namn. ;rande mantal. ;Bruk nings- delar. ;och an- dra jord- lagen- ;;och kälgard. ;odlad jord. ;äng. ;bärande mark. ;cão ;;;;;;;;höstsäd. ;strâsäd. ;balj- växter. ;potatis ;rot- frukter. ;nads växter. ;bete. ;skörd. ;vüxt- slag. ;träde. ;höst- ;vâr-. ;höst-. ;vâr- ;Korn ;llafre. ;süd. ;Ärter. ;
;;;heter. ;;T u ;n n 1 ;d. ;;;;;;;;;;;;;T u ;n n 1 ;a n ;d. ;;;;;;K ;u b ;i k f ;t. ;;;
Torsõ ;31,44 ;97 ;176 ;8.539 ;47 ;1,488 ;559 ;6.445 ;;;;;;;;;300 ;675 ;32 ;124 ;8 ;11 ;- ;108 ;15 ;215 ;250 ;10 ;1,020 ;;450 ;4,230 ;- ;127 ;
Tiavad ;12.25 ;49 ;;1.910 ;9 ;672 ;612 ;612 ;;;;;;;;;103 ;206 ;;30 ;16 ;;;206 ;13 ;103 ;199 ;;441 ;;;1.700 ;;199 ;
Tived ;13.89 ;185 ;34 ;2,142 ;2 ;869 ;1,271 ;;120 ;;;;;;;;107 ;195 ;10 ;100 ;8 ;22 ;;320 ;;107 ;;4 ;580 ;18 ;;1,000 ;40 ;35 ;
Trästena ;15,88 ;25 ;36 ;;12 ;1,679 ;10 ;;;;;;;;;;;;10 ;50 ;;;100 ;501 ;;;;;;;;5,274 ;;40 ;
Timmersdal: ;9,50 ;48 ;;862 ;14 ;480 ;150 ;216 ;;;;;;;;;;120 ;15 ;45 ;;;100 ;218 ;;;;;;;;693 ;113 ;50 ;
Ullervad ;24.88 ;76 ;43 ;6,076 ;43 ;2,490 ;662 ;1.600 ;;;;;;;;;;579 ;;72 ;;;285 ;754 ;;;;;1,432 ;;;4,487 ;;142 ;
Utby ;17,27 ;38 ;26 ;3,181 ;13 ;1,531 ;384 ;900 ;;;;;;;;;;461 ;60 ;;;;114 ;289 ;;;300) ;;;;;2,008 ;;230 ;
Undenäs ;43,88 ;307 ;203 ;;;5,230 ;2.245 ;;;180 ;;;;;;;960 ;1,340 ;50 ;315 ;;110 ;110 ;1,525 ;;820 ;200 ;;4,600 ;170 ;50 ;12,900 ;200 ;150 ;
Vad ;12,75 ;;;1.990 ;20 ;1,380 ;280 ;310 ;;;;;;;;;280 ;396 ;20 ;;4 ;;;280 ;;;540 ;;590 ;;;2,436 ;;100 ;
Väring ;24 ;100 ;60 ;4,200 ;;1,810 ;50 ;2,338 ;;;;;;;;;400 ;450 ;50 ;50 ;;;680 ;;- ;250 ;724 ;14 ;1,135 ;;10 ;2,190 ;;160 ;
Vadsbo härad ;1.008.69 ;4.633 ;3.261 ;228,715 ;934 ;83.656 ;23,473 ;99.410 ;1,173 ;2,386 ;385 ;38 ;511 ;955 ;201 ;22 ;16,465 ;29.171 ;2,189 ;4.335 ;350 ;580 ;5,858 ;26,616 ;125 ;15,490 ;15.764 ;192 ;65,559 ;390 ;3,691 ;226,538 ;961 ;8,553 ;
Summa for landsbygden ;4,717,49 ;18,043 ;12,678 ;1,079,258 ;5,588 ;456,982 ;117,853 ;361,351 ;2,588 ;9,761 ;2,624 ;220 ;2,236 ;4,449 ;1,220 ;140 ;66,958 ;177,873 ;11,143 ;22,425 ;3,156 ;1,723 ;46,664 ;99,281 ;392 ;64,951 ;50,578 ;1,316 ;288,715 ;2,693 ;52,354 ;1,255,328 ;46,646 ;37,326 ;
Mariestad ;4 ;500 ;30 ;2,435 ;26 ;780 ;8 ;700 ;28 ;20 ;3 ;- ;10 ;3 ;1 ;- ;120 ;195 ;4 ;10 ;1 ;- ;- ;350 ;- ;100 ;160 ;-- ;320 ;- ;20 ;1,300 ;- ;15 ;
Lidköping ;16 ;105 ;5 ;2,962 ;;947 ;;2,014 ;;;;;;9 ;13 ;;213 ;236 ;;15 ;10 ;;;473 ;;;;- ;745 ;- ;;2,034 ;;;
Skara ;20 ;197 ;;3,074 ;44 ;1,711 ;57 ;339 ;87) ;91 ;17 ;2 ;;;;;257 ;474 ;G4 ;86 ;20 ;2 ;195 ;456 ;5 ;253 ;210 ;;965 ;;180 ;2,414 ;287 ;114 ;
Sköfde ;4 ;64 ;22 ;1,553 ;80 ;535 ;603 ;335 ;;50 ;;;2 ;;;;100 ;214 ;31 ;91 ;27 ;;;32 ;30 ;91 ;63 ;- ;590 ;;;1,320 ;;100 ;
Falköping ;12 ;25 ;;1.906 ;9 ;1,716 ;;;;11 ;11 ;3 ;;;;;84 ;466 ;30 ;50 ;26 ;2 ;324 ;650 ;;81 ;;;;;95 ;GGO ;;;
