Table: Table_1

1. ;34. ;35. I ;36. ;;37. ;38 ;39 ;40 ;41. ;44. ;45. ;46. ;47. ;48. ;49. ;50. ;51. ;52. ;53. ;54 ;55 ;66. ;67 ;68 ;69 ;70. ;71. ;72. ;73. ;74. ;75. ;
Broddetorp ;;35 ;;;2 ;;572 ;;;160 ;;2,430 ;- ;504 ;6,120 ;;175 ;- ;6 ;- ;5,720 ;;;14 ;;86 ;46 ;87 ;;;;
Brunnhem ;378 ;110 ;;;;;1,285 ;;;104 ;;2,540 ;;1,446 ;5,251 ;1,810 ;330 ;- ;;;10,280 ;;;81 ;;140 ;70 ;;;;;
Dala ;;150 ;;;;;2,500 ;10 ;;240 ;- ;12,000 ;- ;1,600 ;16,200 ;;600 ;- ;- ;- ;20,000 ;;35 ;120 ;;220 ;150 ;250 ;;114 ;;
Edâsa ;;;;;;;1,512 ;;;133 ;;9,258 ;;;15,560 ;;48 ;;;;11,655 ;;;100 ;;270 ;118 ;;;;;
Falköpings landsförsamling ;;30 ;;;25 ;;800 ;;;;;18,000 ;-- ;2,000 ;8,500 ;300 ;280 ;--- ;300 ;- ;7,500 ;;;40 ;;100 ;;;;;;
Friggeraker ;;;;;;;1,000 ;;;50 ;;2,500 ;- ;1,200 ;16,000 ;250 ;120 ;- ;;;5,000 ;;;80 ;;170 ;;;;;;
;;;;;;;1.852 ;;;567 ;;8,113 ;- ;5,292 ;27,744 ;;160 ;;;;9,260 ;;;;;380 ;;;;;;
Gudhem Hornberga ;800 ;;;;;;2,590 ;;;150 ;25 ;2,850 ;- ;1,000 ;2,450 ;4,000 ;100 ;- - ;;;22,000 ;100 ;;70 ;;115 ;150 ;;;;;
Hâkantorp ;90 ;;;;;;900 ;;;106 ;;3,250 ;- ;380 ;4,050 ;450 ;445 ;-- ;- ;;5,600 ;;;;;;;;;;;
Högetena ;;15 ;;;;;300 ;;- ;;- ;340 ;- ;150 ;2,000 ;175 ;45 ;- ;- ;;2,200 ;;;64 ;;118 ;;;;;;
Kyrketorp ;400 ;60 ;;;;;850 ;10 ;- ;50 ;;2,000 ;- ;1,000 ;4,800 ;1,600 ;240 ;- ;- ;;7,300 ;;;;;;;;;;;
Ljunghem ;;;;;;;504 ;3 ;;264 ;;3,966 ;- ;;7,056 ;- ;;;-- ;;3,528 ;;;;;120 ;;;;;;
Râdene ;;20 ;;;;;1,312 ;;- ;98 ;- ;4,200 ;- ;420 ;13,750 ;;120 ;;;;9,184 ;;;60 ;;193 ;;;;;;
Segerstad ;132 ;30 ;;;9 ;;1,890 ;7 ;;;;4,900 ;- ;1,416 ;8,820 ;528 ;120 ;- ;36 ;;11.340 ;;16 ;92 ;;184 ;;;;;;
Stenstorp ;;50 ;;;;;1,172 ;;;124 ;- ;6,140 ;;470 ;22,115 ;- ;200 ;;;;5,860 ;;;80 ;;186 ;100 ;300 ;;100 ;;
Sjögerstad ;;250 ;- ;;60 ;- ;3,780 ;15 ;;700 ;;8,100 ;- - ;1,134 ;22,920 ;;1,500 ;;360 ;;26,460 ;;15 ;120 ;15 ;280 ;140 ;;;;;
Sätuna ;308 ;138 ;;;;;604 ;;;138 ;;3,080 ;;1,584 ;6,138 ;1,694 ;828 ;- ;31 ;;6,040 ;27 ;;36 ;;54 ;42 ;72 ;;;;
