Table: Table_1

1. ;36. ;37. ;39. ;40 ;41 ;44 ;45 ;46. ;47. ;48. ;49. ;50. ;51, ;52. ;53. ;55 ;56 ;57. ;58. ;59. ;60 ;61. ;62. ;66. ;67. ;68. ;69. ;70. ;71. ;72 ;73. ;74. ;75. ;
Levene, del ;12 ;252 ;1,701 ;31 ;- ;1,890 ;- ;7,560 ;- ;3,150 ;37,800 ;3,780 ;2,205 ;100 ;1,764 ;13,608 ;3.780 ;- ;68 ;20 ;- ;24 000 ;- ;140 ;16 ;50 ;3 ;300 ;100 ;270 ;- ;120 ;- ;
Höra ............ ;- ;250 ;930 ;12 ;- ;1,650 ;- ;3,800 ;- ;540 ;23,000 ;1,200 ;750 ;- ;1,530 ;7,440 ;18,800 ;- ;36 ;10 ;- ;9,000 ;- ;69 ;12 ;14 ;6 ;180 ;55 ;150 ;- ;75 ;- ;
Wedum ;- ;90 ;350 ;12 ;- ;900 ;- ;1,820 ;- ;315 ;7,500 ;1.500 ;378 ;- ;540 ;2,450 ;- ;- ;36 ;10 ;- ;5,000 ;-- ;56 ;10 ;- ;2 ;110 ;40 ;100 ;- ;45 ;- ;
Sumima ;X 36 ;5.909 ;23,090 ;290 ;- ;47,040 ;- ;114,760 ;236 ;40,612 ;445,616 ;20,803 ;32,063 ;249 ;34,316 ;136,425 ;121,138 ;- ;528 ;225,60 ;6,525 ;245,740 ;- ;2,737 ;444 ;966 ;101 ;5,875 ;2,636 ;6,173 ;1 ;1,895 ;- ;
Barne härad. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eling ;- ;- ;1,575 ;43 ;- ;297 ;- ;3,150 ;88 ;109 ;17,816 ;3,150 ;69 ;- ;- ;10,023 ;- ;- ;57 ;- ;- ;- ;- ;76 ;7 ;82 ;5 ;170 ;75 ;230 ;- ;80 ;- ;
Essunga ;- ;45 ;5,800 ;80 ;- ;250 ;- ;7,945 ;- ;450 ;54,500 ;1,350 ;500 ;- ;315 ;40,600 ;1,345 ;- ;240 ;- ;- ;- ;- ;180 ;20 ;22 ;4 ;500 ;170 ;495 ;- ;153 ;- ;
Foglum ;- ;- ;4,800 ;70 ;- ;240 ;- ;1,925 ;- ;1,108 ;21,032 ;540 ;80 ;- ;- ;24,000 ;- ;- ;300 ;X 40 ;- ;- ;- ;70 ;10 ;26 ;5 ;185 ;140 ;130 ;- ;65 ;- ;
Hälluin ;- ;280 ;GOO ;25 ;- ;1,180 ;- ;6,000 ;- ;1.800 ;17,000 ;1,550 ;950 ;- ;1,200 ;2,400 ;- ;- ;100 ;- ;2,000 ;4,500 ;- ;64 ;6 ;42 ;5 ;235 ;60 ;130 ;- ;45 ;- ;
Kjedum ;- ;128 ;2,208 ;91 ;- ;1,071 ;- ;6,648 ;- ;1,255 ;21,075 ;416 ;720 ;- ;384 ;13,248 ;- ;-- ;182 ;- ;- ;;- ;107 ;42 ;38 ;X 6 ;391 ;141 ;375 ;- ;106 ;- ;
Lekâsa ;X 5 ;65 ;1,440 ;42 ;- ;420 ;- ;8,500 ;50 ;1,200 ;16,720 ;1,820 ;126 ;15 ;229 ;11,520 ;800 ;- ;84 ;15,40 ;- ;X 3,000 ;- ;80 ;7 ;40 ;4 ;276 ;170 ;260 ;- ;55 ;70 ;
Long ;- ;X 350 ;1,000 ;- ;- ;1,650 ;- ;4,050 ;- ;1,050 ;28,000 ;1,000 ;600 ;- ;1,500 ;4,000 ;300 ;- ;- ;- ;- ;- ;- ;150 ;30 ;X 30 ;X 8 ;300 ;150 ;350 ;- ;125 ;- ;
Naum ;- ;- ;1,800 ;100 ;- ;240 ;124 ;7,924 ;- ;700 ;25,655 ;2,360 ;152 ;- ;- ;7,200 ;- ;- ;300 ;- ;- ;- ;- ;100 ;31 ;10 ;5 ;350 ;160 ;350 ;- ;90 ;- ;
Ryda och Half&s ;- ;X 90 ;1,200 ;75 ;- ;2080 ;200 ;11,560 ;200 ;2,088 ;48,800 ;3,000 ;3,000 ;-- ;450 ;7.200 ;- ;- ;225 ;- ;- ;-- ;- ;260 ;45 ;X 30 ;5 ;525 ;230 ;500 ;- ;260 ;- ;
Sandbück eller Kyrk&s ;-- ;- ;570 ;13 ;- ;- ;- ;1,870 ;110 ;90 ;5,600 ;80 ;- ;- ;- ;2,865 ;- ;- ;54 ;- ;- ;- ;- ;36 ;6 ;4 ;2 ;104 ;40 ;50 ;- ;20 ;- ;
Skarstad ;- ;1,842 ;1,965 ;6 ;- ;1,290 ;- ;8,888 ;- ;2,097 ;39,540 ;3.780 ;832 ;- ;5,368 ;5,895 ;-- ;- ;18 ;- ;- ;X 12,000 ;- ;190 ;26 ;14 ;5 ;295 ;210 ;600 ;- ;131 ;- ;
Wara ;- ;300 ;750 ;30 ;- ;1,400 ;- ;5,600 ;- ;637 ;31,094 ;8,500 ;200 ;- ;1,500 ;3,000 ;- ;- ;120 ;- ;- ;- ;- ;102 ;12 ;12 ;4 ;200 ;63 ;250 ;-- ;60 ;- ;
Äsaka ;- ;- ;1,500 ;75 ;- ;80 ;- ;8,500 ;- ;400 ;15,000 ;1,600 ;300 ;- ;- ;6,000 ;- ;- ;400 ;50 ;- ;- ;- ;100 ;35 ;30 ;5 ;270 ;230 ;320 ;- ;93 ;- ;
Õnum. ;- ;169 ;17,955 ;23 ;- ;720 ;- ;9,153 ;- ;614 ;25,080 ;1,638 ;1,350 ;- ;1,018 ;125,685 ;- ;- ;47 ;- ;-- ;28 ;- ;140 ;6 ;17 ;10 ;269 ;97 ;389 ;- ;59 ;- ;
Levene, del ;- ;63 ;888 ;12 ;- ;756 ;- ;1,823 ;- ;504 ;11,025 ;2,268 ;504 ;- ;441 ;7.056 ;940 ;- ;25 ;8 ;- ;8,000 ;- ;45 ;10 ;14 ;3 ;70 ;40 ;150 ;- ;80 ;- ;
Summa ;5 ;2,832 ;44,051 ;685 ;- ;11,604 ;324 ;82,536 ;448 ;14,102 ;377,937 ;28,352 ;9,383 ;15 ;12,405 ;270,692 ;3,385 ;- ;2,152 ;113,40 ;2,000 ;27,528 ;- ;1.700 ;293 ;411 ;76 ;4,140 ;1.976 ;4,579 ;- ;1,422 ;70 ;
Kinnefjerdings hlirad.c) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Broby ;- ;- ;320 ;6 ;- ;666 ;- ;2,605 ;- ;164 ;16,500 ;- ;120 ;. ;- ;1,920 ;- ;- ;- ;- ;- ;-- ;- ;35 ;G ;24 ;2 ;90 ;40 ;130 ;- ;60 ;- ;
Hangelösa ;- ;942 ;3,150 ;- ;-- ;942 ;- ;10,392 ;- ;1,260 ;25,200 ;1,260 ;9,450 ;- ;3,780 ;15,700 ;3,150 ;- ;- ;- ;- ;- ;- ;150 ;;50 ;4 ;410 ;140 ;400 ;- ;250 ;- ;
Husaby ;- ;200 ;1,600 ;- ;- ;1,848 ;X 190 ;5,442 ;- ;2,400 ;7,680 ;1,645 ;840 ;- ;- ;12,800 ;10,000 ;- ;- ;- ;- ;- ;- ;142 ;25 ;140 ;;384 ;191 ;804 ;- ;144 ;- ;
Hofby ;- ;201 ;1,360 ;50 ;3 ;1,512 ;- ;4,410 ;- ;2,016 ;42,210 ;630 ;600 ;- ;804 ;4,080 ;- ;- ;200 ;X 32 ;- ;- ;189 ;114 ;13 ;20 ;5 ;300 ;75 ;275 ;- ;50 ;- ;
Härened ;X 560 ;263 ;1,076 ;25 ;- ;3,497 ;- ;11,825 ;- ;1,402 ;96,065 ;- ;1,131 ;3,450 ;1,329 ;5,548 ;10,280 ;-- ;- ;X 30 ;- ;25,590 ;- ;194 ;29 ;36 ;13 ;348 ;161 ;736 ;- ;151 ;- ;
Källby ;- ;60 ;1,290 ;20 ;- ;650 ;150 ;3,480 ;- ;950 ;12,400 ;240 ;1,140 ;- ;240 ;9,030 ;1,200 ;- ;- ;10 ;- ;- ;- ;90 ;28 ;22 ;4 ;182 ;125 ;275 ;- ;84 ;- ;
