Table: Table_1

1. ;2. ;3. ;4. ;5. ;6. ;7. ;8. ;9. ;10. ;11 ;12 ;13. ;14. ;15. ;16. ;17. ;;18. ;19. ;20. ;21. ;22. ;23. ;24. ;25. ;26. ;27. ;28. ;29. ;30. ;31. ;32 ;33. ;34. ;35 ;
Flo ;33,78 ;64 ;;12,034 ;60 ;5,500 ;144 ;6,330 ;;16 ;;;3 ;10 ;;;;750 ;1,600 ;180 ;170 ;25 ;;850 ;1,300 ;;750 ;1,000 ;250 ;2,500 ;;800 ;12,000 ;100 ;400 ;
Friel ;11,06 ;;;8,703 ;;1,180 ;;205 ;;;;;;;;;;200 ;480 ;30 ;20 ;;;334 ;;;160 ;100 ;;1,000 ;;150 ;2,900 ;260 ;90 ;
Hâle ;12,50 ;;;2,314 ;;.800 ;;20 ;;;;;;;;;;150 ;600 ;97 ;30 ;;;100 ;150 ;;150 ;215 100 ;;675 425 ;;100 200 ;4,975 4,550 ;600 ;175 250 ;
Karaby ;;;;1,389 ;;238 ;;;;;;;;;;;;110 ;690 ;50 ;;;;200 ;210 ;- ;110 ;;;1,700 ;;;7,060 ;;140 ;
Näs ;24.18 ;;130 ;9,489 ;50 ;2,800 ;400 ;5,720 ;5 ;;;;;;;;;;1,080 ;50 ;60 ;35 ;;200 ;600 ;;410 ;120 ;;;- ;410 ;;;290 ;
Sal ;10,13 ;40 ;;1,851 ;33 ;1,700 ;;;;;;;;;;;;216 ;500 ;60 ;50 ;;;216 ;432 ;- ;216 ;70 ;;1,050 ;- ;160 ;4,230 ;;;
Särestad ;18,50 ;123 ;19 ;4,629 ;32 ;2,282 ;;71 ;2 ;;;;;;;;;288 ;582 ;70 ;76 ;10 ;10 ;254 ;570 ;32 ;288 ;205 ;40 ;1,150 ;- ;115 ;5,050 ;;400 ;
Tun ;22,38 ;36 ;52 ;4.860 ;54 ;3,146 ;212 ;1,142 ;;;;;;;;;;398 ;1,069 ;2x8 ;48 ;3² ;8 ;320 ;635 ;;4.18 ;41 ;;295 ;- ;55 ;1,058 ;175 ;68 ;
Täng ;9,75 ;;;2,777 ;;;;200 ;;;;;;;;;;;673 ;60 ;;;;;;- ;;;;;;;;;;
As ;17,88 ;in ;2 ;3,934 ;15 ;;25 ;;4 ;33 ;;3 ;;;;;;250 ;575 ;40 ;36 ;5 ;1 ;550 ;750 ;-- ;250 ;200 ;5 ;1.280 ;--- ;;;200 ;100 ;
Summa Âse härad ;169,11 ;682 ;320 ;46,980 ;288 ;23,861 ;827 ;13,688 ;X 26 ;334 ;194 ;9 ;63 ;71 ;26 ;;3 ;2,922 ;7,799 ;855 ;518 ;122 ;44 ;3,224 ;5,047 ;32 ;2,962 ;2,231 ;205 ;11,035 ;- ;2,295 ;54,073 ;1,455 ;2,273 ;
Bjerby ;8,25 ;40 ;4 ;2,314 ;16 ;1,480 ;;550 ;;;;;;1 ;- ;- ;;185 ;500 ;100 ;25 ;8 ;4 ;150 ;350 ;- ;185 ;200 ;- ;800 ;- ;100 ;4,000 ;200 ;200 ;
Bäreberg ;13,88 ;101 ;26 ;5,092 ;18 ;1,590 ;100 ;1,000 ;zub ;;;;;;;;;200 ;700 ;20 ;60 ;;10 ;200 ;350 ;- ;200 ;90 ;- ;900 ;-- ;;7,700 ;;75 ;
Flakeberg ;15,25 ;88 ;11 ;3,240 ;26 ;2,189 ;25 ;710 ;4 ;;;;;;X 23 ;;3 ;273 ;627 ;150 ;40 ;5 ;pus ;273 ;540 ;- ;273 ;409 ;- ;1,229 ;- ;300 ;5,200 ;143 ;180 ;
