Table: Table_1

1. ;2. ;3. ;4. ;;5. ;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14, ;15 ;16. ;17 ;18 ;19, ;20 ;21, ;22. ;23 ;24 ;25. ;26. ;27 ;28. ;29. ;30, ;31, ;32. ;33. ;
Härene med Skofteby ;30,75 ;70 ;58 ;;5.394 ;49 ;4.323 ;157 ;865 ;;;;;;;;;;1,589 ;;;14 ;1 ;500 ;1,069 ;;552 ;424 ;;2,175 ;;585 ;10,078 ;
Källby ;14,13 ;;;;1.920 ;;1.250 ;100 ;565 ;;;;;;;;;;;;;;;50 ;400 ;;150 ;126 ;10 ;560 ;;190 ;3,200 ;
Lindarfva ;6,50 ;;;;2,000 ;11 ;1,000 ;;200 ;;;;;;;;;;;;;11 ;;125 ;250 ;;125 ;140 ;;560 ;;72 ;9,461 ;
Skeby ;7,63 ;;;;1,770 ;8 ;850 ;;109 ;10 ;;;;;;;;;;;;6 ;;18 ;226 ;;122 ;40 ;;510 ;;40 ;3.050 ;
Skälfvum ;11,25 ;30 ;;;2,000 ;20 ;1.180 ;11 ;789 ;;;;;;;;;;;;;;r. ;;300 ;;100 ;190 ;12 ;-000 ;;150 ;3,000 ;
Säfvare, ;18.25 ;76 ;;69 ;4,947 ;40 ;3,388 ;50 ;1.469 ;13 ;;;;;;;;;;100 ;120 ;10 ;10 ;93 ;682 ;;341 ;380 ;;656 ;;120 ;6,400 ;
Ofva* ;8,25 ;14 ;;25 ;2,585 ;12 ;1,035 ;460 ;1,078 ;;;;;;;;;;;;50 ;30 ;7 ;roo ;200 ;;155 ;210 ;;640 ;;190 ;2,141 ;
Summa Kinnefjerdings härad ;169,14 ;510 ;438 ;;37,911 ;200 ;23,969 ;1,427 ;8,006 ;53 ;265 ;104 ;13 ;30 ;87 ;19 ;;2,908 ;7,123 ;352 ;779 ;187 ;39 ;2,583 ;5.932 ;S ;2,914 ;2,553 ;SG ;10,603 ;- ;2,773 ;37,083 ;
Forshem ;25,63 ;63 ;148 ;;11,000 ;54 ;3,500 ;346 ;7,000 ;;;;;;133 ;;;500 ;GOO ;;150 ;125 ;10 ;500 ;1,000 ;40 ;500 ;625 ;- ;1,875 ;- ;100 ;8,150 ;
Fullösa ;16,87 ;23 ;;26 ;3,285 ;10 ;1,675 ;50 ;1,550 ;;;;;;;;;;717 ;;;30 ;9 ;;403 ;- ;239 ;300 ;;890 ;;120 ;4,410 ;
Gôtene* ;;;;;;;;;;;;;;;;;;;;;;;;200 ;;- ;;;- ;630 ;;;;
Holmestad ;14,81 ;;;34 ;;ii ;;263 ;;12 ;;;;;;;;;;;;20 ;15 ;548 ;238 ;-- ;183 335 ;250 320 ;40 ;1,900 ;TO ;20 ;2,000 3,326 ;
Kestad ;8,50 ;18 ;;;833 ;4 ;560 ;;;;;;;;;;;;150 ;;;;4 ;;196 ;- ;- ;50 ;;300 ;- ;50 ;1,300 ;
Klefva ;12,25 ;30 ;;12 ;1,482 ;10 ;1,362 ;60 ;50 ;;;;;;;;;;;;;;;100 ;400 ;- ;180 ;100 ;- ;900 ;;-100 ;4,000 ;
