Table: Table_1

1. ;2. ;3. ;4. ;5. ;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17. ;18. ;19. ;20. ;21. ;22. ;23. ;24. ;;25. ;26. ;27. ;28. ;29. ;30. ;31. ;32. ;33. ;31. ;35. ;
Härened med Skofteby ;30.75 ;G8 ;53 ;5,394 ;51 ;4,323 ;155 ;865 ;;;;5 ;;;;- ;549 ;1,584 ;34 ;19 ;10 ;3 ;525 ;;1,045 ;- ;552 ;432 ;;3,008 ;;508 ;9,234 ;156 ;178 ;
Källby ;14,13 ;51 ;;1,920 ;;1,250 ;100 ;565 ;;;;;;;;;150 ;432 ;20 ;40 ;;;50 ;;400 ;;150 ;126 ;10 ;560 ;;190 ;3,200 ;60 ;180 ;
Linderfva ;6,50 ;14 ;;1.755 ;;1,116 ;;620 ;;;;;;;;;139 ;316 ;14 ;15 ;45 ;;13 ;;278 ;;139 ;157 ;;471 ;;63 ;1,575 ;;44 ;
Skeby ;7,63 ;30 ;;1,700 ;;810 ;80 ;112 ;;;;;;;;;120 ;312 ;12 ;40 ;8 ;;10 ;;217 ;- ;120 ;30 ;- ;480 ;;;2,800 ;;65 ;
Skjelfvum ;11.25 ;29 ;;2,000 ;14 ;1,000 ;40 ;800 ;;15 ;8 ;;;14 ;10 ;;115 ;300 ;16 ;40 ;5 ;;103 ;;315 ;- ;135 ;126 ;- ;432 ;;150 ;2,550 ;;5G ;
Säfvared ;18,25 ;73 ;;4,917 ;40 ;2,388 ;50 ;2,469 ;14 ;24 ;16 ;;As ;;;;341 ;682 ;100 ;100 ;30 ;30 ;82 ;;682 ;- ;341 ;370 ;;630 ;- ;120 ;6,700 ;;500 ;
Ofva ;8,25 ;4 ;;2,300 ;7 ;1,993 ;200 ;1,000 ;;;;;;;;;140 ;450 ;50 ;80 ;30 ;4 ;140 ;;280 ;- ;140 ;300 ;- ;500 ;- ;200 ;2,500 ;;150 ;
Summa, Kinnefjerdings härad ;169,14 ;419 ;372 ;33,355 ;177 ;21,070 ;1,168 ;8,781 ;33 ;205 ;119 ;15 ;- ;28 ;29 ;3 ;2,636 ;6,593 ;336 ;533 ;250 ;75 ;1.847 ;;5,422 ;6 ;2.648 ;2,394 ;43 ;9,965 ;33 ;2,432 ;48,709 ;1,068 ;1,693 ;
Forshem ;24,75 ;127 ;135 ;11.000 ;54 ;2,212 ;407 ;8,327 ;;;;;;;3 ;;600 ;918 ;92 ;112 ;126 ;12 ;560 ;;1,124 ;- ;457 ;156 ;- ;240 ;- ;50 ;891 ;X 100 ;70 ;
Fullösa ;16,88 ;22 ;30 ;3,285 ;;1,488 ;50 ;1,741 ;;;;;;;;;248 ;455 ;60 ;26 ;18 ;3 ;80 ;;350 ;- ;248 ;315 ;- ;850 ;- ;157 ;4,09G ;;126 ;
Götened ;;23 ;29 ;2,450 ;20 ;1,287 ;100 ;112 ;;;;;;;;;183 ;300 ;56 ;;;;183 ;;366 ;;183 ;238 ;;G40 ;;38 ;1,934 ;;102 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Holmestad ;14,81 ;91 ;31 ;5,308 ;;2,600 ;300 ;2,400 ;;;;;;;;;260 ;530 ;70 ;60 ;70 ;50 ;560 ;;700 ;80 ;220 ;150 ;X 30 ;620 ;X 100 ;90 ;4,500 ;;190 ;
Kjeatad ;8,50 12,25 ;18 30 ;12 ;833 ;4 10 ;560 ;;259 ;;;;;;;;;70 ;150 ;30 ;10 ;;;26 ;;190 ;- ;70 ;50 ;- ;300 ;- ;;1,350 ;;50 ;
Klefva ;;;;1,482 ;;1,362 ;60 ;50 ;;;;;;;;;180 ;450 ;17 ;20 ;5 ;10 ;100 ;;400 ;;180 ;100 ;;900 ;;300 ;4,000 ;;56 ;
Ledsjö ;16,88 ;56 ;53 ;;20 ;2,010 ;190 ;1,496 ;10 ;;;;;;;;275 ;200 ;15 ;315 ;8 ;6 ;253 ;;376 ;- ;370 ;220 ;X 40 ;1,110 ;- ;200 ;5,000 ;X 500 ;190 ;
Lugnas och Bresäter ;13,06 ;108 ;160 ;2,080 ;5 ;800 ;285 ;990 ;;;;;;;;;255 ;255 ;5 ;85 ;;;;;;- ;255 ;;;1,020 ;- ;;2,040 ;;15 ;
Medelplann. ;17,38 ;24 ;93 ;4,744 ;56 ;1,520 ;348 ;2,737 ;;;;;X ;;;;123 ;455 ;20 ;120 ;50 ;2 ;110 ;;526 ;- ;114 ;142 ;- ;562 ;- ;785 ;675 ;X 1,000 ;50 ;
Sil Wedum ;13,31 ;26 33 ;15 57 ;1,800 ;27 ;700 ;200 ;391 ;;;;;;;;;111 ;216 ;6 ;18 ;14 ;;391 ;;431 ;- ;111 ;108 ;- ;420 ;- ;54 ;1,863 6,633 ;;24 ;
;;;;4,074 ;;2,786 ;262 ;999 ;15 ;;;;;;;;423 ;737 ;26 ;19 ;3 ;;393 ;;786 ;- ;393 ;174 ;;1,880 ;- ;;;;80 ;
Westerplann ;10,50 ;26 ;19 ;1,410 ;;1,037 ;28 ;343 ;;;;;;;;;;303 ;20 ;46 ;;;;;391 ;- ;;;18 ;485 ;- ;465 ;770 ;735 ;;
Wattlösa. ;16,19 ;80 ;;4,200 ;20 ;1,400 ;100 ;2,600 ;;;;;;;;;200 ;380 ;;;10 ;;180 ;;380 ;;200 ;252 ;;1,008 ;;;2,520 ;;63 ;
Österplana ;17.88 ;36 ;75 ;4,513 ;25 ;700 ;100 ;1,100 ;;;;;;;;;100 ;200 ;20 ;450 ;20 ;;;;200 ;7 ;100 ;50 ;;450 ;- ;200 ;900 ;X 1,000 ;80 ;
