Table: Table_1

1. ;36. ;37. ;38. ;39. ;40. ;41 ;44. ;45. ;46. ;47. ;48. ;49. ;50. ;51. ;52. ;53. ;54. ;55. ;56. ;58. ;59. ;GO. ;61. ;62. ;66. ;67. ;68. ;69. ;70. ;71. ;72. ;73 ;74 ;75. ;
Flo ;5 ;120 ;;3,300 ;63 ;;5,700 ;250 ;13.160 ;- ;2,810 ;69,383 ;3,900 ;1,125 ;20 ;720 ;- ;13,200 ;- ;126 ;- ;;- ;- ;165 ;33 ;52 ;16 ;495 ;137 ;363 ;- ;132 ;;
Friel ;;;;545 ;;;360 ;;3,480 ;;600 ;12,640 ;700 ;450 ;;300 ;- ;3,270 ;- ;;14 ;X 3,300 ;;;60 ;;;;;;200 ;;;;
Hâle ;15 ;500 ;;700 ;43 ;;413 ;;2.538 ;- ;800 ;16,056 ;1,755 ;570 ;42 ;1,500 ;- ;1,600 ;;75 ;;;8,720 ;;;;;;;;200 ;;;;
Karaby ;;;;550 ;;;240 ;;2.430 ;- ;480 ;6,540 ;;976 ;12 ;288 ;- ;3,300 ;;;3 ;;7,200 ;;;14 ;;;;;120 ;;;;
Näs ;;;;2,270 ;;;1,560 ;;8.600 ;- ;930 ;18,000 ;;1,440 ;;240 ;;13,620 ;;60 ;15 ;;;;;;;;;;351 ;;;139 ;
Sal ;;;;400 ;;;600 ;;6,300 ;- ;930 ;18,900 ;- ;1,200 ;;1,300 ;;2,000 ;- ;30 ;;;;- ;;;;;;;195 ;;;40 ;
Särestnd ;;;;1,080 ;;;1,320 ;;4,550 ;;545 ;12,640 ;612 ;2,310 ;180 ;1,100 ;;4,320 ;;;10 ;;3,000 ;;;;;;;;350 ;;;;
Tun ;;;;1,890 ;;;3,402 ;192 ;8.820 ;- - ;2.076 ;24,570 ;1,600 ;2,240 ;;;- ;13,230 ;X 50,463 ;;;;;;;;;;;;600 ;;;;
Täng ;;50 ;;612 ;;;537 ;;2,300 ;;320 ;5,300 ;750 ;500 ;11 ;150 ;- ;1,102 ;;- ;- ;- ;;- ;;;;;;;;;;;
