Table: Table_1

Grolanda ;;83 ;;38 ;;- ;;;- ;10 ;24 ;;;18 ;67 ;9 ;- ;40 ;138 ;15 ;;s ;;;;;29 ;;;620 ;140 ;320 ;8,110 ;
Kinneved* ;30,75 ;;;;9,000 ;;1,135 ;1,563 ;;18 ;;;;20 ;59 ;;;120 ;706 ;;75 ;;4 ;1,400 ;140 ;TO ;184 ;;- ;138 ;;650 ;7.640 ;
Smula.. ;7,63 ;24 ;;3 ;856 ;2 ;138 ;331 ;381 ;;10 ;;;;;- ;;;;;;;;;;;;- ;- ;;- ;90 ;650 ;
Y&rkumla* ;18,25 ;;;;;;;;104 ;;;;;;;;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;-- ;284 ;;189 ;2,079 ;
Asarp ;4,50 ;78 ;;;978 ;;376 ;52,5 ;;- ;6 ;;;;6 ;;- ;;- ;-- ;- ;- ;;;;-- ;;- ;;51 ;5 ;24 ;;
Summa Frökinds härad ;107,51 ;331 ;154 ;;15,462 ;26 ;2,618 ;4,497 ;1,503 ;28 ;100 ;I ;1 ;38 ;136 ;3 ;I ;260 ;1,430 ;26 ;263 ;12 ;19 ;1,400 ;1S0 ;10 ;313 ;- ;50 ;2,660 ;208 ;1,489 ;17,929 ;
Amnehärad* ;32,19 ;302 ;185 ;;12,785 ;;2,660 ;;6,426 ;26 ;;;;;;- ;;;700 ;;100 ;;;20 ;8ro ;- ;358 ;100 ;;;;100 ;;
Beateberg ;16.75 ;48 ;;57 ;7.985 ;IA ;2.147 ;3.672 ;3,000 ;;;;;;;;;150 ;;;;mater ;;;600 ;;;500 ;;1.650 ;;;;
Berg ;34.44 ;107 ;;60 ;5,370 ;50 ;1,770 ;1,150 ;2,400 ;48 ;78 ;;;;;;;315 ;575 ;;150 ;;;90 ;320 ;- ;280 ;150 ;;1.732 ;;500 ;3,830 ;
Bellefors ;20.25 ;57 ;;50 ;5.875 ;6 ;1.440 ;;4,430 ;12 ;;;;;;4 ;;180 ;366 ;;50 ;10 ;4 ;170 ;434 ;- ;190 ;260 ;;640 ;;;2,550 ;
;;23 ;;;750 ;;850 ;200 ;200 ;;;;;;;;;75 ;125 ;25 ;;;;25 ;;;75 ;90 ;;200 ;;;375 ;
Binneberg ;5,50 ;;;67 ;4.968 ;18 ;2.800 ;150 ;2,000 ;;;;;;;;;400 ;588 ;135 ;;;2 ;400 ;800 ;10 ;400 ;793 ;;1,512 ;;;4,725 ;
Björkäng ;18 ;140 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Björsäter med Gullsäters rotar* Back ;28,50 14,50 ;32 ;105 ;42 ;;28 50 ;;100 ;2,888 1.500 ;62 ;;;;;X ;;;;;;;;;354 ;738 ;4 ;365 ;GOO ;;1,240 1.400 ;;;;
Böja ;8,75 ;36 ;;12 ;1,050 ;10 ;723 ;40 ;277 ;;;;;;;;;100 ;200 ;;;;5 ;108 ;202 ;;100 ;126 ;;504 ;;;1,638 ;
Karlsborg ;;13 ;;;1.069 ;5 ;35 ;4 ;1.025 ;;;;;;;;;;;;;;;;;;;;;;;;'50 ;
Ek ;11 ;39 ;;43 ;4.608 ;28 ;1.600 ;10 ;2.300 ;;;;;;;;;;;;;;;150 ;450 ;;250 ;;;1,000 ;;;3,300 ;
Ekby ;21.38 ;80 ;;10 ;3,470 ;17 ;1.826 ;323 ;1,304 ;;;;;;;;;;;;;;;100 ;315 ;;328 ;;;1,210 ;;;4,325 ;
Ekeskog ;15,13 ;56 ;;24 ;4.295 ;;2,265 ;80 ;1,900 ;;;;;;;;;;;;;;;417 ;647 ;;324 ;;;1,500 ;;;4,800 ;
Elgarãs ;19,81 ;160 ;156 ;;13.000 ;100 ;3,600 ;800 ;8,500 ;;;;;X ;;;;;;;;;;850 ;1.000 ;20 ;300 ;100 ;;2,100 ;;;3,000 ;
Fliatad* ******** ;18.75 ;;;;2,180 ;;1,400 ;6oo ;175 ;;;;;;;;;;;;;;;;400 ;;;;;1,600 1.800 ;;;1888 ;
;24,96 ;209 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Finnerödja ;36,19 ;139 ;;106 ;11,340 ;100 ;7,000 ;150 ;3,500 ;;;;;;;;;;1.600 ;;;;;500 ;2,200 ;50 ;1,100 ;2,500 ;;3.150 ;;;11,200 ;
Fägre Fredsberg ;42,69 ;252 ;133 ;;11,846 ;12 ;5,863 ;173 ;3,600 ;;;;;;;;;;1,672 ;;;;;616 ;1.672 ;4 ;837 ;1.398 ;;2,800 ;;;9,100 ;
Frösve* ;27,75 ;134 ;;;;;4,000 ;IOO ;;;;;;;;;;;;;;;;;668 ;;600 ;1.200 ;;;;;13,500 .4.815 ;
Götlunda ;13.09 ;;;;3.637 ;;1,975 ;139 ;1.613 ;;;;;;;;;;;;;;;;493 300 ;;242 ;129 ;;770 ;;;3,520 ;
Halna ;7,50 ;87 ;;50 ;4,000 ;10 ;1,353 950 ;146 300 ;2.495 465 ;;;;;;;;;;;;;;;100 ;200 ;9 ;164 ;;;710 ;;;2,080 ;
Hiälstad ;17.25 ;34 ;;18 ;1,725 ;;;;;;;;;;;;;;;;;;;;;;;1.000 ;;;;;;
Hasle, Berga och Färed* ;66.75 ;;;158 ;21,196 ;40 ;6,040 ;1,520 ;12,500 ;;;;;;;;;;1,500 ;;;;;50 ;2,000 1,800 ;;890 ;290 ;;2,600 3,982 ;;;13,500 ;
Hofva med Fagerlid ;56,13 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Horn* ;18,88 ;;;;4351 ;;1715 ;;;;;;;;;;;;;;;;;;;;;;;;;;7.200 ;
Leksberg ;17.75 ;;;;;18 ;;;;;;;;;;;;;;;;;;40 ;630 ;;325 ;210 ;;1.880 ;;;7,450 ;
;;238 ;;179 ;21.708 ;56 ;2,220 ;490 ;8,100 ;;;;;;;;;;;;;;;;;;;;;;;;;
Lyrestad ;43,75 ;;;;;;;;;;;;;;;;;;;;;;;80 ;250 ;40 ;320 ;300 ;60 ;1,350 ;;;4,200 ;
Locketorp ;16.50 ;82 ;;50 ;8,560 ;50 ;1,750 ;60 ;8,500 ;;;;;;;;;;;;;;;;338 ;;215 ;190 ;;1,200 ;;;2,600 ;
;16.44 ;37 ;;75 ;3,783 ;50 ;1,308 ;465 ;1,960 ;;;;;;;;;;;;;;;;;;;;;;;;;
Lerdala ;;;;;;;;;;;;;;;;;;125 ;;;;;;;75 ;- ;125 ;262 ;- ;526 ;;;1,600 ;
L&stad* ;11,44 ;;;27 ;1,973 ;3 ;585 ;836 ;549 ;;;;;;;;;;;;;;;so ;240 ;;1 80 ;520 ;;350 ;;;2,820 ;
Mo* ;11,25 ;;;15 ;1,804 ;34 ;1,100 ;120 ;550 ;;;;;;;;;380 ;;;;;16 ;15 ;900 ;- ;325 ;40 ;8o ;1,850 ;;;5,600 ;
Mölltorp ;21,13 ;118 ;;63 ;;;- ;- ;;;;;;;;;;;;;;;;;;;300 ;;;1.008 ;;;2,520 ;
Odensaker* ;23,63 31,44 ;295 ;;135 ;2,056 7,500 ;38 ;1,450 3,000 ;460 ;401 GOO ;;;;;;;;;;;;;;100 ;100 ;800 ;;580 ;;;2,520 ;126 ;;6,300 ;





