Table: Table_1

1. ;2. ;3. ;4. ;;5. ;6 ;7. ;8. ;9. ;10. ;11 ;12 ;13. ;14, ;15, ;16. ;17, ;18. ;19. ;20. ;21. ;22. ;23. ;24. ;25. ;26. ;27. ;28. ;29. ;30. ;31 ;32, ;33. ;
Härja ;13,69 ;106 ;23 ;;4.365 ;4 ;1,000 ;1.200 ;1,000 ;8 ;103 ;;;23 ;103 ;3 ;;190 ;460 ;;150 ;4 ;G ;;40 ;;170 ;;;4,500 ;95 ;50 ;5,100 ;
Hömb ;8,75 ;14 ;;;3,050 ;12 ;950 ;649 ;722 ;;;;;;;;;;;;;;;;;;;;;548 ;;;2,212 ;
Karleby ;30,13 ;102 ;16 ;;3,000 ;. 10 ;1,720 ;272 ;;;;;;;;;;;1,060 ;;160 ;10 ;;;;;;;10 ;1.150 ;20 ;;7,870 ;
Kelfvene ;9,50 ;28 ;;;1,233 ;4 ;605 ;180 ;;;;;;;;;;;440 ;;190 ;;;;;;;;;442 ;;;2,394 ;
Kungslena ;29,75 ;95 ;;;4.033 ;;2.600 ;433 ;;;;;;;;;;;;;;;;;;;;;;;;;;
Korsberga ;20,63 ;;;;8,331 ;7 ;2,300 ;1,700 ;3.080 ;;;;;;;;;;1,800 ;;100 ;;;;;;;;;2,835 ;;;10,804 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;175 ;132 ;2.309 ;;;7,062 ;
(ylingared, en del ;4 ;;;;400 ;;150 ;49 ;;;;;;;;;;;;;;;;;;;;;;;;;950 ;
Kymbo ;13,75 ;;;;3.350 ;4 ;950 ;670 ;900 ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,063 ;
Luttra ;20,38 ;;;;3,300 ;;940 ;;;;;;;;;;;;;;;;;;;;101 ;;;700 ;;;4,000 ;
Mularp ;12.88 ;;;;3,600 ;17 ;;103 ;;;;;;;;;;;;100 ;;;;;;;;20 ;;490 ;;;3,100 ;
Nykyrks ;10,38 ;49 ;;;4,000 ;10 ;520 ;1,100 ;1.000 ;;;;;;;;;;210 ;;;;;;;;;;- ;360 ;;;660 ;
Näs... ;11,25 ;;;;1,696 ;4 ;1.042 ;525 ;;;;;;;;;;;;10 ;;;;;;;115 ;7 ;- ;724 ;;;2,979 ;
Ottravad ;8,94 ;;;;1,411 ;;505 ;;;;;;;;;;;;;;;;;;;;100 ;- ;- ;480 ;;;2,580 ;
Sandhem ;42,68 ;130 ;106 ;;17,430 ;25 ;2,200 ;4,500 ;10,750 ;;;;;;;;;;;;;;;;;;350 ;- ;- ;2.500 ;;;5,000 ;
Skörstorp ;10,38 ;;;10 ;2,200 ;;1,718 ;100 ;;;;;;;;;;;1.070 ;;;;;;;;134 ;;;844 ;;;4,725 ;
Slöta med Faleqvarna ;45,88 ;130 ;;50 ;4,500 ;20 ;3,100 ;1,300 ;80 ;;;;;;;;;;2,000 ;50 ;;;;;200 ;400 ;985 ;10 ;10 ;1,500 ;;1,200 ;14,000 ;
Suntak* ;.9,63 ;;;;2,100 1.500 ;? ;1.000 596 ;200 300 ;1,302 ;;;;;;;;;;;;;;;;;;;10 ;;;IO ;;1,835 ;
Tiarp ;11,75 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,600 ;
Tidaholm ;9,88 ;16 ;;;4500 ;14 ;1,270 ;450 ;;;;;;;;;;;;10 ;;20 ;;125 ;;;200 ;240 ;;;;;2,740 ;
Utvängstorp ;7,44 ;44 ;;;;- ;;;;;;;;;;;;;;;100 ;;;;;;;;;220 ;;;1,200 ;
Velinge ;19,72 ;80 ;;;9,396 ;20 ;1.486 ;1.400 ;3,350 ;;;;;;;;;;;;152 ;;;;100 ;;;50 ;;1.902 ;;;5,690 ;
Visttorp ;11,50 ;30 ;;20 ;5.508 ;19 ;800 ;600 ;900 ;;X ;;;;;;;;;;;16 ;;150 ;150 ;;;;;800 ;;;3000 ;
Vättack ;9,50 ;18 ;;;2,900 ;;730 ;725 ;1,441 ;;;;;;;;;;;;;3 ;3 ;;80 ;;160 ;12 ;;670 ;;;2,800 ;
Yllestad ;21,56 ;54 ;;64 ;6,400 ;50 ;900 ;700 ;750 ;28 ;;;;;46 ;2 ;;;;;100 ;;;100 ;;;100 ;14 ;;930 ;;125 ;2,220 ;
Ásaka* ;23,50 ;3X ;;41 ;;- ;;- ;;;;;;;;;;;;;;;;;;;;;;844 ;;338 ;5,216 ;
Äsle* ;30,13 ;94 ;107 ;;2.100 ;32 ;1.218 ;390 ;318 ;;72 ;;;;;;;;;to ;no ;27 ;4. ;I20 ;;;140 ;6 ;6 ;630 ;;;5,400 ;
Summa Vartofta härad ;744,95 ;2,566 ;1,823 ;;203,852 ;491 ;52,500 ;37,700 ;64,428 ;274 ;1,304 ;278 ;32 ;407 ;777 ;137 ;II ;8,335 ;22,371 ;466 ;4.812 ;371 ;160 ;2,383 ;7,714 ;414 ;8,282 ;1,000 ;215 ;50,782 ;1,451 ;7,843 ;180,795 ;
Brismene ;12,50 ;45 ;;25 ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;-- ;- ;- ;- ;- ;- ;- ;- ;- ;270 ;;120 ;1,080 ;
Börstig* ;14,88 ;62 ;;;3,914 ;to ;904 ;2,000 ;1.000 ;;;;;;;;;100 ;;;100 ;;10 ;;;;IOO ;;50 ;630 ;;;;
