Table: Table_1

1. ;2. 1 ;3. ;4. ;5. ;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17 ;18. ;19. ;20 ;21. ;22. ;23 ;24 ;25 ;26 ;27. ;28. ;29 ;30. ;31 ;32. ;33. ;34. ;35 ;
Utby ;17,27 ;38 ;26 ;3.181 ;13 ;1,531 ;384 ;900 ;7 ;29 ;;1 ;5 ;28 ;4 ;1 ;288 ;461 ;60 ;31 ;2 ;1 ;114 ;288 ;- ;288 ;300 ;13 ;710 ;-- ;6 ;2,010 ;- ;220 ;
Undenäs ;43,88 ;290 ;201 ;- ;- ;5,195 ;2,325 ;- ;9 ;173, ;9 ;3 ;;93 ;2 ;2 ;875 ;1.390 ;60 ;260 ;- ;140 ;- ;1,600 ;- ;800 ;225 ;- ;4,050 ;155 ;- ;14,000 ;- ;292 ;
Wäring ;24 ;100 ;58 ;4,200 ;2 ;1,720 ;100 ;2,370 ;;36 ;21 ;;12 ;- ;- ;1 ;284 ;400 ;40 ;40 ;- ;- ;- ;676 ;- ;280 ;567 ;12 ;1,134 ;- ;- ;2,016 ;- ;945 ;
Wad ;12.75 ;22 ;15 ;1.990 ;20 ;1,380 ;280 ;310 ;;4 ;13 ;1 ;;2 ;2 ;;280 ;395 ;25 ;20 ;- ;;80 ;300 ;- ;280 ;441 ;- ;882 ;- ;- ;3.112 ;- ;100 ;
Summa, Wadsbo härad(a ;954,37 ;4.538 ;3.195 ;221,965 ;902 ;84.589 ;23,900 ;93,895 ;1.318 ;2.545 ;492 ;45 ;508 ;1.049 ;320 ;32 ;14.264 ;27.298 ;2.250 ;3.389 ;319 ;594 ;6.056 ;25.292 ;146 ;14.210 ;14.033 ;166 ;59,189 ;385 ;3.028 ;217.243 ;1.514 ;8.700 ;
Summa landsbygden ;4.580,68 ;17,284 ;11,975 ;951.653 ;4,872 ;425,278 ;113.394 ;327,993 ;2.658 ;9,837 ;2,363 ;232 ;2.000 ;4,016 ;1,140 ;127 ;57,302 ;161,606 ;10.595 ;17.641 ;2,325 ;1,692 ;40.266 ;89,795 ;382 ;58.095 ;43.223 ;1,008 ;263,388 ;2,565 ;54.671 ;1.212.317 ;52.458 ;35,705 ;
Städerna: ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mariestad ;4 ;500 ;10 ;2,435 ;26 ;780 ;8 ;900 ;24 ;22 ;4 ;- ;10 ;2 ;- ;- ;110 ;185 ;4 ;10 ;- ;- ;- ;888 ;- ;90 ;110 ;- ;350 ;- ;16 ;1,200 ;- ;15 ;
Lidköping ;16 ;91 ;- ;2,600 ;12 ;900 ;- ;1,708 ;44 ;44 ;3 ;- ;;- ;- ;- ;180 ;200 ;- ;20 ;- ;- ;- ;500 ;- ;- ;;- ;720 ;- ;- ;1,440 ;- ;;
Skara ;20 ;143 ;- ;2,975 ;23 ;1,673 ;61 ;413 ;80 ;59 ;9 ;- ;;- ;- ;- ;248 ;455 ;68 ;72 ;14 ;2 ;204 ;426 ;- ;249 ;285 ;- ;881 ;- ;409 ;2,028 ;431 ;170 ;
Sköfde ;4 ;63 ;22 ;1,553 ;80 ;535 ;603 ;335 ;7, ;50 ;6 ;- ;2 ;5 ;- ;- ;102 ;195 ;31 ;82 ;- ;- ;- ;37 ;- ;88 ;60 ;- ;580 ;- ;- ;1,255 ;- ;120 ;
Falköping ;12 ;38 ;- ;2,000 ;10 ;1,700 ;- ;- ;6 ;18 ;4 ;2 ;- ;- ;2 ;- ;100 ;500 ;60 ;100 ;70 ;- ;240 ;530 ;- ;100 ;- ;- ;472 ;- ;630 ;3,780 ;- ;;
Hjo ;3.95 ;;4 ;1,677 ;3 ;716 ;50 ;206 ;8 ;20 ;9 ;- ;;13 ;1 ;- ;110 ;200 ;4 ;150 ;14 ;- ;34 ;140 ;-- ;125 ;;20 ;600 ;60 ;- ;1.800 ;- ;20 ;
Summa för Städerna ;59.25 ;835 ;36 ;13.240 ;154 ;6.304 ;722 ;3.562 ;169 ;213 ;35 ;2 ;12 ;20 ;3 ;- ;850 ;1,735 ;167 ;434 ;98 ;2 ;478 ;2.021 ;- ;652 ;455 ;20 ;3.603 ;60 ;1.055 ;11,503 ;431 ;325 ;
Summa för hela ;;18.119 ;12.011 ;964.893 ;5026 ;431.582 ;114,116 ;331.555 ;2.827 ;10,050 ;2,398 ;234 ;2.012 ;4.036 ;1.143 ;127 ;58,152 ;163.341 ;10,762 ;18,075 ;2.423 ;1,694 ;40,744 ;91,816 ;382 ;58.747 ;43,678 ;1,028 ;266,991 ;2,625 ;55,726 ;1,223,820 ;52,889 ;36.030 ;





