Table: Table_1

1. ;2. ;3. ;4. ;5. ;;6. ;7. ;8. ;9. ;10. ;11. ;12 ;13. ;14. ;15. ;16. ;17 ;18. ;19. ;20 ;21. ;22. ;23. ;24. ;25. ;26. ;27. ;28. ;29. ;30 ;31 ;32. ;33. ;34. ;35. ;
Hângedala ;16.00 ;25 ;13 ;2,083 ;1,964 ;10 ;1,285 ;219 ;;;5 ;;;;;20 ;;214 ;307 ;7 ;107 ;5 ;8 ;15 ;413 ;- ;214 ;6 ;- ;1,842 ;;101 ;3,219 ;;;
Härja ;13:34 ;;;12,265 ;;5 ;1,315 ;1,480 ;9,465 ;;;;;;;;;;;;100 ;;;;;;;;;1,323 ;20 ;50 ;7,842 ;;;
Hömb ;8:75 ;;;3,008 ;;30 ;1,010 ;640 ;1,328 ;;;;;;;;;;;;;;;;;;;;;800 ;;;2,100 ;;;
Karleby Kelfvene ;30'13 ;102 ;13 ;3,471 ;;13 ;2.113 ;408 ;;;;;;;;;;;;;160 ;;;;;;;;;1,240 504 ;;600 ;10,800 5,000 ;;140 ;
Kungslena ;9:50 29:75 ;;;1,889 4,397 ;4,033 ;25 ;909 2,772 ;100 300 ;1,300 ;;;;;;;;;;;;;;;110 ;;;;;;1,950 ;;200 ;6,350 ;;;
Korsberga ;20:63 ;94 ;;8,563 ;;;2,365 ;1,700 ;3,080 ;;;;;;;;;;;;;;;;;;;;;2,510 ;;;7,809 ;;;
Kylingared (länsdel) ;4:00 ;15 ;;2,546 ;;;200 ;;2,295 ;;;;;;;;;;;;;;;;;;;;;100 ;;;900 ;;;
Kymbo ;13:75 ;34 ;;4,166 ;3,000 ;;940 ;500 ;800 ;;;;;;;;;;;;;;;;;;;;;670 ;;;3,830 ;;;
Luttra ;20-88 ;51 ;;3,240 ;;5 ;1,200 ;40 ;;;;;;;;;;;;;;;;;;;;;;900 ;;600 ;5,200 ;;;
Mularp ;12:88 ;23 ;;2,314 ;;16 ;1,000 ;105 ;230 ;;;;;;;;;;;;;;;;;;;;;485 ;;205 ;3,105 ;;250 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nykyrka Nas ;10:38 11:25 ;47 30 ;;5,786 2,083 ;;10 ;700 1,200 ;1,200 678 ;1,250 200 ;;;;;;;;;;;;;;;;;;;;;500 700 ;30 ;75 ;2,500 3,000 ;;;
Ottravad ;8:94 ;22 ;;2,546 ;;6 ;563 ;250 ;300 ;;;;;;;;;;;;;;;;;;;;;620 ;12 ;24 ;2,500 ;;10 ;
Sandhem ;43:13 ;130 ;120 ;20,828 ;;20 ;2,300 ;4,500 ;10,600 ;;;;;;;;;;;;;;;;;;;;;1,750 ;100 ;100 ;7,600 ;;;
Skörstorp ;10:67 ;25 ;;2,265 ;;5 ;1,220 ;1,040 ;;;;;;;;;;;;;;;;140 ;;;;;;832 ;;250 ;3,500 ;150 ;80 ;
Slôta med Faleqvarna ;45.88 ;129 ;;7,868 ;;60 ;5,850 ;1,868 ;90 ;;;;;;;;;;;;;;;300 ;1,000 ;;;;;2,900 ;10 ;1,400 ;24,200 ;190 ;115 ;
Suntak ;9:63 ;20 ;;2,777 ;;8 ;800 ;200 ;1,769 ;;;;;;;;;;;;;;;;;;;;;475 ;35 ;;3,465 ;;;
Tiarp ;11:75 ;38 ;;1,620 ;;5 ;1,000 ;420 ;195 ;;;;;;;;;;;;;;;;;;;;;500 ;;200 ;2,600 ;150 ;65 ;
Utvängstorp ;7:44 ;43 ;;5,554 ;;4 ;412 ;135 ;50 ;;;;;;;;;;;;;;;;;;;;;242 ;35 ;5 ;1,355 ;34 ;;
Velinge ;19:72 ;68 ;135 ;9,720 ;;20 ;;1,380 ;6,670 ;;;;;;;;;;;;;;;;;;;18 ;;2,136 ;180 ;;5,270 ;;;
Visttorp ;11:50 ;28 ;;6,480 ;;20 ;1,650 875 ;530 ;800 ;;;;;;;;;;;;;;;115 ;140 ;;;;4 ;450 ;20 ;45 ;3,700 ;80 ;;
Vättak ;9:50 ;23 ;;2,546 ;;;753 ;725 ;1,064 ;;;;;;;;;;;;;;;;40 ;;170 ;;;756 ;32 ;76 ;3,150 ;13 ;;
Yllestad ;21.56 ;56 ;;6,480 ;;25 ;750 ;450 ;300 ;;;;;;;;;;;;;;;;75 ;;100 ;15 ;- ;616 ;- ;125 ;3,700 ;;;
Asaka (länsdel) ;23:50 ;31 ;;3,934 ;;;1.415 ;150 ;100 ;;;;;;;;;;;;;;;100 ;200 ;;150 ;;;900 ;;450 ;6,000 ;;;
Asle ;30:13 ;106 ;120 ;5,323 ;;33 ;1,612 ;1,049 ;318 ;10 ;;;;;;;;;;;;;;90 ;270 ;;140 ;;;685 ;- ;520 ;5,700 ;70 ;18 ;
Summa för Vartofta härad ;742'85 ;2,454 ;1,700 ;279,565 ;;580 ;68,251 ;41,261 ;81,955 ;248 ;1,195 ;37° ;38 ;376 ;653 ;164 ;16 ;9,150 ;25,318 ;510 ;5,002 ;424 ;139 ;5,681 ;12,683 ;25 ;9,195 ;1,191 ;308 ;49,577 ;1,220 ;7,127 ;220,693 ;3,750 ;1,454 ;
Brismene ;12:50 ;50 ;;5,091 ;;10 ;710 ;690 ;8 ;;49 ;1 ;;;;;;;410 ;10 ;100 ;;5 ;;105 ;;40 ;;- ;240 ;;200 ;4,250 ;;30 ;
Börstig ;13:94 ;66 ;;4,166 ;;8 ;1,080 ;1,400 ;1,500 ;;64 ;;;;;;;100 ;470 ;;300 ;25 ;;;70 ;2 ;78 ;35 ;20 ;500 ;60 ;130 ;3,000 ;180 ;25 ;
Grolanda ;19:00 ;85 ;;;;;750 ;460 ;20 ;;38 ;;;;;;;;447 ;;70 ;10 ;;;50 ;;70 ;;- ;444 ;6 ;228 ;3,780 ;- ;18 ;
;;;;38,100 ;;10 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kinneved ;30-75 ;93 ;28 ;8,563 ;;;1,165 ;1,560 ;10 ;;;4 ;;;;;;;731 ;;75 ;8 ;4 ;12 ;44 ;- ;152 ;- ;- ;831 ;- ;312 ;8,635 ;- ;;
Smula ;7:63 ;24 ;;926 ;;2 ;226 ;248 ;8 ;;;;;;;;;;150 ;;16 ;;;4 ;4 ;- ;24 ;- ;- ;144 ;- ;72 ;828 ;- ;6 ;
Yârkumla ;18:25 ;30 ;;2,546 ;;3 ;642 ;901 ;1,000 ;2 ;21 ;;;;;;;;384 ;;60 ;3 ;;;34 ;- ;75 ;- ;- ;441 ;- ;170 ;2,249 ;;18 ;
Asarp ;4:50 ;12 ;;1,157 ;978 ;3 ;113 ;65 ;15 ;;9 ;;;;;;;;56 ;;10 ;;;1 ;1 ;- ;19 ;- ;- ;114 ;- ;30 ;450 ;6 ;;
