Table: Table_1

1. ;2. ;3. ;4. ;5. ;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;;14. ;15. ;16. ;17. ;18. ;19. ;20. ;21. ;22. ;23. ;24. ;25. ;26. ;27. ;28. ;29. ;30 ;31. ;32. ;33, ;34. ;35. ;
Svenneby ;8,13 ;;;2.546 ;;1,150 ;48c ;760 ;;;;;;;;;;120 ;240 ;;20 ;20 ;;ro5 ;48c ;5 ;120 ;380 ;- ;250 ;- ;6o ;1,500 ;60 ;100 ;
Säter ;22,81 ;46 ;;5,786 ;30 ;1.245 ;1,035 ;2.002 ;4 ;20 ;4 ;2 ;;2 ;;;;312 ;410 ;30 ;119 ;10 ;{ ;160 ;- ;;200 ;50 ;- ;1,660 ;- ;510 ;2,735 ;;150 ;
Torsö. ;31,44 ;;175 ;18,514 ;;2,039 ;730 ;7,000 ;57 ;;3 ;2 ;;5 ;2 ;;;304 ;690 ;4° ;132 ;20 ;5 ;557 ;- ;- ;291 ;207 ;;1,600 ;- ;;4,562 ;;130 ;
Tidavad ;12,25 ;47 ;;2,777 ;18 ;686 ;612 ;612 ;;;;;;;;;;247 ;;;66 ;16 ;;;;22 ;;189 ;31 ;346 ;;;1,606 ;;126 ;
Tived ;13,89 ;85 ;34 ;2.142 ;5 ;1,093 ;1.044 ;- ;10 ;171 ;;;;;;;;;270 ;12 ;85 ;15 ;25 ;;;;143 ;65 ;50 ;950 ;25 ;25 ;2,200 ;30 ;40 ;
Trästena ;15,88 ;25 ;35 ;5,323 ;13 ;1,705 ;100 ;- ;1 ;16 ;;;;;;;;235 ;262 ;27 ;50 ;15 ;3 ;94 ;505 ;;215 ;350 ;;800 ;;;5,000 ;100 ;50 ;
Timmeradala² ;;46 ;12 ;;;;;;P ;? ;;;;;;;;;120 ;;;;;100 ;218 ;;80 ;114 ;;380 ;;25 ;720 ;108 ;50 ;
Ullervad ;9,50 ;91 ;;6,480 ;50 ;550 3.245 ;50 ;1,760 ;13 ;52 ;27 ;;;10 ;;;;;700 ;10 35 ;40 ;6 ;4 5 ;;;;;800 ;;2,200 ;;150 ;5,650 ;;150 ;
;24,88 ;;63 ;;;;;;;;;;;;;;;505 ;;;90 ;12 ;;250 ;1.148 ;;400 ;;;;;;;;;
