Table: Table_1

Ekby ;;;;1.169 ;;1.940 ;;6,050 ;- - ;108 ;21,625 ;;1,900 ;24 ;56 ;- - ;7,014 1.600 ;;;;;;;;160 ;;225 ;100 ;190 ;;;;
Ekeskog ;;;;400 ;;585 ;;800 ;;- ;28,800 ;;300 ;;;;;;;;;;;;120 ;;225 ;125 ;200 ;;;;
Elgar&s ;;;;1,200 ;;360 ;48 ;8,280 ;240 ;;18,000 ;;480 ;;150 ;;9.600 ;;;X 20 ;400 ;16.000 ;;;100 ;5 ;160 ;100 ;200 ;;;;
Flistad ;;;;504 ;;1.888 ;;2.896 ;;93 ;13,860 ;3,150 ;1.416 ;;;;2,016 ;;;;;;;;144 ;2 ;85 ;90 ;150 ;;;;
Finnerödja ;;;;1,800 ;150 ;200 ;60 ;9,000 ;120 ;300 ;25,000 ;45 ;375 ;;120 ;;9.000 ;;;;;;;;300 ;12 ;850 ;300 ;800 ;;;;
Fägre ;;100 ;;5,000 ;;22,000 ;300 ;33,000 ;- ;400 ;96,000 ;;6.600 ;;800 ;;40,000 ;;;;;;150 ;50 ;550 ;20 ;1.200 ;700 ;800 ;;;;
Fredsberg ;;100 ;;1.750 ;20 ;9,765 ;;22,320 ;- ;;64,225 ;;2,000 ;200 ;100 ;;17,500 ;950 ;;35 ;X ;46,000 ;;;;;735 ;200 ;630 ;;;;
Frösve ;;50 ;;1.800 ;20 ;1,745 ;;11,320 ;- ;1.134 ;33,705 ;;1.180 ;;150 ;;14,400 ;;;5 ;1,500 ;15,000 ;;;170 ;;250 ;85 ;175 ;;;;
Götlunda ;;;;1,100 ;;3,000 ;;16,200 ;- ;;75,000 ;;6,000 ;100 ;325 ;;6,000 ;;;;;;;;270 ;;450 ;150 ;;;;;
Halna ;;;;2.292 ;X ;540 ;;4,000 ;- ;24 ;21,000 ;;840 ;76 ;84 ;;13,752 ;;;10 ;;6,500 ;;;;;224 ;280 ;;;;;
Hjälstad ;;;;;;1,625 ;;6.040 ;- ;;14.245 ;;840 ;;;- ;1,280 ;;;;;;;;;;160 ;;;;;;
Hasle. Berga och Färed ;;270 ;;6.600 ;;7.200 ;;27,000 ;;550 ;70.350 ;400 ;2,800 ;125 ;810 ;- ;39.600 ;390 ;30 ;;;;;;;;;275 ;664 ;;;;
Hofva och Fagerlid ;;;;6.000 ;;2.400 ;400 ;32.000 ;600 ;720 ;65,472 ;400 ;1,200 ;;300 ;- ;60,000 ;100 ;100 ;;;90,000 ;;;500 ;300 ;1.320 ;800 ;1.450 ;;;;
;;;;;10 ;;;;;;20,500 ;;1,390 ;153 ;180 ;;8,000 ;;50 ;;;;;;;;;;;;;;
Horn ;;;;1,500 ;;1,380 ;;5,950 ;;610 ;;;;;;;;;;;;;;;136 ;;240 ;100 ;100 ;;;;
Leksberg ;;;;800 ;;2.500 ;;8.000 ;- - ;70 ;19,000 ;- ;560 ;;80 ;;9,000 ;3.900 ;;;18,500 ;;;;142 ;;342 ;60 ;;;;;
Lyrestad ;;;;4,668 ;50 ;2.592 ;- ;23,280 ;- ;480 ;70,524 ;;1,908 ;- ;180 600 ;- ;23,340 ;;;50 ;34,400 ;;50 ;;487 ;;739 ;588 ;;;;;
Locketorp ;;;;3,600 ;20 ;2,700 ;300 ;10,400 ;;350 ;26,400 ;400 ;2.400 ;;;- ;28,800 ;500 ;;20 ;3,000 ;18,000 ;;;140 ;;300 ;170 ;;;;;
Lerdala ;;;;2,935 ;4 ;1,200 ;- ;6.600 ;X 100 ;1.000 ;13,825 ;250 ;800 ;;;- ;23,480 ;- ;;;;;56 ;;;;350 ;120 ;200 ;;;;
L&stad ;;;;980 ;- ;1.310 ;- ;1.180 ;- ;120 ;6,400 ;- ;490 ;64 ;48 ;;5,880 ;- ;;;;10,000 ;50 ;;130 ;;170 ;40 ;;;;;
Mo ;;;;1,260 ;;4.320 ;;4.368 ;;- ;16,100 ;;1.200 ;;;;7.000 ;- ;;;;18,600 ;19 ;;90 ;;205 ;46 ;;;;;
Mölltorp ;;;;6,000 ;40 ;300 ;400 ;12.000 ;150 ;;22,400 ;300 ;100 ;;;- ;36,000 ;;160 ;X 40 ;;20,000 ;43 ;;240 ;;600 ;200 ;300 ;;;;
Odensaker ;;;;630 ;;780 ;- ;5,670 ;;315 ;15,120 ;;189 ;54 ;270 ;;3.780 ;;;;;;45 ;12 ;150 ;;230 ;78 ;184 ;;;;
Ransberg ;;;;6.300 ;315 ;200 ;;12,600 ;504 ;;28,350 ;;252 ;;;- ;31,500 ;;945 ;;;;80 ;10 ;300 ;10 ;400 ;300 ;1,000 ;;;;





