Table: Table_1

1. ;36. ;37. ;38. ;39, ;40. ;44. ;45. ;46. ;47. ;48. ;49. ;50. ;51. ;52. ;53 ;54. ;55. ;56. ;58. ;59. ;60 ;61. ;66. ;67 ;68 ;69. ;70. ;71. ;72 ;73. ;74. ;75. ;
Härja ;;;;4.850 ;36 ;;;4,800 ;90 ;200 ;24,200 ;90 ;- ;;- ;- ;34,500 ;;16 ;- ;- ;;;;124 ;;325 ;210 ;;;;;
Hömb ;;;;1.500 ;;760 ;;5,456 ;;;16,800 ;;;- ;;;13,500 ;5,760 ;;;;;;;;;;;;;;;
Karleby ;;;;5.900 ;20 ;28 ;;3,660 ;40 ;7,000 ;31,600 ;1,800 ;700 ;- ;600 ;- ;35,400 ;600 ;60 ;12 ;150 ;6.000 ;;;170 ;;;;;;;;
Kelfvene ;;;;1,824 ;- ;;;1.950 ;;475 ;10.100 ;975 ;90 ;- ;;- ;10.944 ;130 ;;;2,025 ;650 ;;;;;;;;;;;
Kungslena ;;;;3,150 ;- ;600 ;;12.000 ;;1,000 ;40,000 ;1,100 ;378 ;- ;- ;- ;20,000 ;;;;;;;;;;;;;;;;
Korsberga ;;116 ;;3.445 ;;1,569 ;132 ;14,742 ;239 ;;41,221 ;328 ;413 ;- ;- ;- ;26,586 ;974 ;;;;26,300 ;;;;;;;;;;;
Kylingared, del ;;;;1,100 ;3 ;;24 ;600 ;125 ;125 ;5.000 ;- ;;- ;- ;;8,800 ;100 ;6 ;2 ;- ;;;;;;;;;;;;
Kymbo ;;;;1,890 ;- ;;;3,300 ;- ;120 ;17,500 ;;15 ;;;- ;13,230 ;;;;;;;;;;;;;;;;
Luttra ;;;;3,000 ;;;;6,400 ;;5,400 ;28,200 ;1,200 ;140 ;;192 ;;15,000 ;;;;;;;;;;;;;;;;
Mularp ;X ;;;1,800 ;15 ;250 ;;2,600 ;;1,250 ;15,300 ;450 ;400 ;8 ;210 ;;15,100 ;3,000 ;18 ;;;;;;;;;;;;;;
Nykyrka ;;;;5,650 ;;;;1,440 ;180 ;;7,000 ;2,800 ;;;;- ;33,900 ;;;;;2,000 ;;;;;;;;;;;
Nas.... ;;;;1,250 ;- ;150 ;;6,300 ;;800 ;11,000 ;;240 ;- ;72 ;- ;11,700 ;;;;;;;;;;;;;;;;
;;;;;;;;;;;;80 ;;;;;;;;;;;;;;;;;;;;;
Ottravad ;;;;1,950 ;- ;50 ;20 ;2,250 ;X 40 ;72 ;16,800 48,000 ;X 1,200 ;36 ;;- ;- ;10,000 ;2,000 ;;;;2,400 ;X ;;;;;;1.100 ;;;;
Sandhem ;;;;14,000 ;- ;;- ;14,400 ;400 ;300 ;;;;- ;;;140,000 ;;20 ;;;45,000 ;;;;;;;;;;;
Skörstorp ;;;;400 ;;;;780 ;- ;180 ;3,000 ;180 ;18 ;- ;;- ;2,500 ;500 ;;9 ;5,000 ;;;;;;;;;;;;
Slöta med Faleqvarna ;;150 ;;9,600 ;12 ;40 ;40 ;6,820 ;96 ;6,000 ;76,000 ;1,000 ;480 ;;600 ;;67,200 ;6,500 ;;;800 ;12,000 ;200 ;;;;;;1,250 ;;;;
Suntak ;;12 ;;1,750 ;;140 ;;4,760 ;- ;192 ;10,128 ;;;- ;;- ;14,000 ;;;4 ;;;;;;;;100 ;200 ;;;;
Tiarp ;;;;1,450 ;15 ;60 ;;3,150 ;- ;1,000 ;14,400 ;1,600 ;800 ;;75 ;;9,800 ;;;;;;;;;;140 ;;;;;;
Tidaholm ;;;;2,200 ;25 ;1,420 ;;4.550 ;;225 ;17,500 ;150 ;150 ;;;;13,200 ;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Utvängstorp ;;;;3,050 ;;;;1,200 ;172 ;35 ;2,100 ;225 ;;;;;18,300 ;;;;;2,600 ;;;;;;;;;;;
Velinge ;;;;5,735 1,200 ;26 3 ;338 24 ;X 10 25 ;10,494 3,000 ;45 ;60 375 ;31,405 24,500 ;X 36 800 ;84 100 ;18 ;200 18 ;;34,670 9,600 ;;60 ;;2,100 ;6,000 700 ;66 30 ;13 ;;;200 ;;;;;;
Visttorp ;;;;;;;;2,250 ;150 ;60 ;;;30 ;8 ;18 ;- ;24,000 ;100 ;20 ;10 ;50 ;3,000 ;18 ;;;;;;150 ;;;;
Vättak ;;;;3,000 ;10 ;20 ;;;40 ;;18,000 ;60 ;;;;;;;;;X ;;;;;;;;;;;;
Yllestad ;;;;5,400 ;;112 ;- ;7.000 ;- ;725 ;17,500 ;- ;30 ;;;;43,200 ;;;;;2,500 ;60 ;30 ;110 ;;;;;;;;
Asaka ;;;;2,898 ;;;;5.328 ;- ;2,205 ;29,610 ;;190 ;;;- ;17,388 ;;;;;;70 ;;;;;;;;;;
Asle ;;30 ;;5,050 ;8 ;24 ;6 ;4.550 ;- ;3.360 ;28,050 ;X 480 ;112 ;;60 ;- ;30,306 ;;24 ;;;- ;15% ;;104 ;10 ;;130 ;110 ;;;;
Summa Vartofta härad ;16 ;1,084 ;- ;101,815 ;X 303 ;8,343 ;839 ;242,154 ;3,737 ;48,230 ;1,025,501 ;21,726 ;7,010 ;94 ;3,058 ;- ;1,143,697 ;37,263 ;908 ;243,80 ;22,450 ;189,070 ;2,117 ;645 ;6,425 ;270 ;11,750 ;5,313 ;12,869 ;;3,818 ;;
Brismene ;;;;1,000 ;6 ;- ;- ;625 ;- ;360 ;6,000 ;140 ;- ;- ;;- ;6,000 ;;16 ;- ;- ;- ;40 ;30 ;70 ;8 ;140 ;85 ;160 ;;;;
Börstig. ;;;;1,470 ;12 ;- ;180 ;2.520 ;250 ;550 ;9.000 ;X 750 ;60 ;- ;30 ;- ;1,050 ;;;;;- ;45 ;;;;204 ;;180 ;;;;
Grolanda ;;40 ;- ;1.600 ;25 ;- ;- ;4.400 ;1,200 ;1.750 ;15,000 ;950 ;120 ;- ;160 ;- ;12,800 ;;;;- ;;70 ;;160 ;;300 ;100 ;;;;;
Kinneved ;;;;3,050 ;50 ;- ;- ;5,642 ;- ;2,170 ;41,950 ;;80 ;;;;21,350 ;800 ;100 ;25 ;;5,000 ;100 ;30 ;140 ;10 ;420 ;225 ;360 ;;;;
Smula ;;;- ;400 ;;;- ;700 ;- ;540 ;2,800 ;X 80 ;40 ;;;- - ;3,200 ;;;;;;24 ;;44 ;;85 ;30 ;;;;;
Varkumla ;;;;1.076 ;13 ;;;1,288 ;;945 ;8,316 ;;30 ;;;;9,600 ;;;;;;50 ;12 ;72 ;;150 ;35 ;140 ;;;;
Asarp ;- ;;- ;200 ;23 ;- - ;- ;528 ;12 ;210 ;1,750 ;60 ;25 ;- ;;- ;1,600 ;100 ;4 ;3 ;- ;200 ;10 ;4 ;22 ;1 ;40 ;10 ;20 ;;;;
Summa Frökinds härad ;- ;40 ;- ;8,796 ;129 ;- ;180 ;15,703 ;X 1,462 ;6,525 ;84,816 ;1,980 ;355 ;- ;X 190 ;- ;55,600 ;900 ;170 ;28 ;- ;5,200 ;339 ;140 ;596 ;38 ;1,339 ;575 ;1,150 ;- ;317 ;;
Amnehärad ;;20 ;- ;4,200 ;30 ;1.000 ;;24,500 ;- ;400 ;33,400 ;- ;350 ;;80 ;- ;29,400 ;;- ;X 25 ;- ;24,000 ;60 ;2 ;200 ;8 ;520 ;300 ;400 ;;250 ;;
Beateberg ;;200 ;;4,000 ;;3,000 ;;11,550 ;- ;;32,400 ;;805 ;;1.400 ;;20,000 ;10.000 ;;50 ;;;;10 ;200 ;10 ;400 ;400 ;500 ;;;;
Berg. ;;;;5,400 ;10 ;1,050 ;- ;10,405 ;- - - ;3,510 ;19,150 ;X 450 ;600 560 ;;80 ;- - ;37,800 9,000 ;;;4 ;;;35 ;8 ;160 126 ;? 4 ;360 ;130 ;120 ;;;;
Bellefors ;;;;850 ;;1,400 ;;4,300 ;;;8,650 ;;300 ;60 ;320 ;- ;3.000 ;;;;;;;;40 ;;150 ;25 30 ;100 ;;;;
Binneberg ;;;;300 ;2 ;375 ;- ;2.440 ;- ;210 ;5,400 ;- ;;X ;;;;;;;;;;;;;55 ;;50 ;;;;
Björkäng ;;200 ;;1,500 ;5 ;3,600 ;;9.000 ;- ;350 ;24,000 ;- ;2,500 ;15 ;1.200 ;- ;10,000 ;1.800 ;20 ;10 ;X 500 ;40.000 ;;;260 ;10 ;500 ;150 ;200 ;;;;
Biörsäter med Gullsäters rotar. ;;100 ;;3,000 ;90 ;4,230 ;140 ;11,150 ;- ;1,600 ;39,200 ;- ;900 ;X 120 ;800 ;- ;30,000 ;17,000 ;180 ;;5,000 ;35,000 ;150 ;;300 ;10 ;500 ;200 ;300 ;;;;
Back ;;50 ;;560 ;10 ;2,800 ;;9,600 ;- ;;28,175 ;- ;960 ;100 ;50 ;- - ;5,600 ;1,800 ;;;X 250 ;20,000 ;;;144 ;;270 ;166 ;200 ;;;50 ;
Böja ;;;;2,250 ;25 ;678 ;- ;3,102 ;- ;150 ;9,450 ;- ;186 ;;;;13,500 ;;150 ;;;;;;40 ;1 ;100 ;100 ;130 ;;;;
Karlsborg ;;;;;;;;;- ;;164 ;- ;466 ;;;- ;466 ;;;;;;;;;;;;;;;;
Ek ;;200 ;;800 ;25 ;1.200 ;X 560 ;5,000 ;- ;1,000 ;25,600 ;;750 ;;400 ;- ;6,500 ;13,000 ;50 ;10 ;;2,500 ;;;140 ;;260 ;65 ;120 ;;;;
