Table: Table_1

Larf ;- ;- ;- ;600 ;;;;;- ;120 ;;600 ;- ;60 ;12,000 ;;50 ;;- ;- ;2,400 ;- ;- ;;;- ;- ;- ;250 ;50 ;X 300 ;10 ;500 ;250 ;300 ;- ;500 ;- ;
Lundby ;- ;65 ;- ;3,600 ;5 ;;;- ;- ;330 ;;2,700 ;- ;880 ;34,500 ;2,800 ;400 ;;X 280 ;- ;18,000 ;- ;;;- ;;- ;;131 ;33 ;X 50 ;6 ;335 ;X 165 ;300 ;- ;150 ;- ;
Trâfva ;- ;- ;- ;500 ;5 ;- ;;- ;- ;150 ;;1,230 ;- ;262 ;25,600 ;450 ;270 ;- ;- ;- ;1,500 ;- ;- ;- ;- ;- ;- ;- ;60 ;7 ;;;128 ;54 ;140 ;- ;45 ;- ;
Wedum ;X - ;;- ;400 ;10 ;;;;;- ;;360 ;- ;;3,000 ;- ;- ;;;- ;2,000 ;;;10 ;;- ;;- ;150 ;5 ;9 ;;360 ;70) ;400 ;- ;20 ;- ;
Summa, Laske härad ;X 17 ;1,017 ;- ;7,638 ;101 ;- ;;- ;- ;1,897 ;123 ;12,660 ;228 ;3,296 ;112,693 ;7,250 ;1,379 ;64 ;3,206 ;- ;37,402 ;150 ;15 ;216 ;19 ;160 ;10,863 ;- ;874 ;130 ;545 ;35 ;2,194 ;925 ;1,810 ;- ;948 ;15 ;
Floby ;- ;X GO ;- ;2,376 ;18 ;- ;;- ;- ;- ;- ;2,880 ;X 150 ;3,060, ;7,680 ;150 ;216 ;- ;X 360 ;- ;11,880 ;- ;- ;72 ;- ;- ;- ;- ;112 ;28 ;56 ;5 ;336 ;112 ;280 ;- ;112 ;- ;
Gökhem ;- ;X 189 ;- ;4,410 ;;- ;;- ;- ;157 ;X 126 ;4,410 ;;9,450 ;6,930 ;5,670 ;504 ;- ;X 630 ;- ;12,600 ;- ;- ;- ;- ;- ;- ;- ;150 ;30 ;130 ;10 ;350 ;250 ;500 ;- ;200 ;;
Göteved ;- ;- ;- ;2,520 ;12 ;;;;- ;- ;- ;1,575 ;;2,520 ;15,750 ;1,260 ;25 ;- ;;- ;7,560 ;- ;- ;X 37 ;- ;- ;- ;- ;96 ;10 ;96 ;3 ;250 ;120 ;250 ;- ;100 ;- ;
Jäla ;- ;25 ;X - ;2,520 ;;- ;;- ;- ;- ;- ;;- ;;;;;;- ;- ;- ;- ;;- ;;- ;;- ;75 ;20 ;160 ;6 ;250 ;100 ;X 300 ;- ;25 ;- ;
Klefva ;X - ;100 ;- ;1,800 ;15 ;;;- ;- ;120 ;X 100 ;3,900 ;- ;5,400 ;36,000 ;3,000 ;300 ;- ;300 ;- ;12,600 ;- ;- ;X 20 ;X 6 ;- ;1,200 ;- ;130 ;15 ;140 ;4 ;220 ;X 260 ;X 400 ;- ;100 ;- ;
Marka ;X - ;X 25 ;X - ;756 ;6 ;X - ;;- ;- ;- ;- ;302 ;- ;932 ;4,536 ;302 ;37 ;- ;75 ;;1,512 ;- ;- ;- ;- ;- ;- ;;6 ;1 ;4 ;1 ;12 ;6 ;8 ;- ;2 ;;
Sörby ;- ;;- ;63 ;- ;- ;;- ;;- ;- ;75 ;- ;100 ;604 ;- ;- ;- ;;- ;189 ;25 ;- ;- ;- ;- ;200 ;- ;4 ;1 ;4 ;3 ;12 ;8 ;12 ;- ;;- ;
Trevattna ;- ;4 ;- ;1,260 ;- ;- ;;- ;;X 50 ;145 ;2,383 ;- ;355 ;12,020 ;575 ;106 ;- ;14 ;- ;6,949 ;500 ;- ;- ;- ;10 ;1,700 ;;60 ;1 ;88 ;2 ;166 ;129 ;262 ;- ;60 ;- ;
Ullened ;- ;;- ;800 ;;- ;;- ;- ;- ;- ;900 ;;300 ;6.000 ;150 ;64 ;- ;- ;- ;8.000 ;- ;- - ;- ;- ;- ;1,800 ;- ;52 ;1 ;48 ;1 ;140 ;100 ;240 ;- ;30 ;- ;
Summa, Wilske härad ;- ;X 403 ;- ;16.505 ;51 ;- ;;- ;- ;327 ;371 ;16,425 ;150 ;22.117 ;89,520 ;11,107 ;1,252 ;- ;1.379 ;- ;61,290 ;525 ;- ;129 ;X 6 ;10 ;4,900 ;- ;685 ;107 ;726 ;35 ;1,736 ;1,085 ;2,252 ;- ;633 ;- ;
Bjerka ;- ;- ;X 6 ;2,700 ;X 50 ;- ;;- ;- ;- ;- ;4,288 ;- ;240 ;8,640 ;- ;120 ;- ;- ;12 ;16.200 ;1,800 ;- ;- ;- ;- ;- ;- ;X 55 ;- ;110 ;4 ;200 ;100 ;200 ;- ;X 60 ;- ;
Bjurum eller Ilânger och) Mârby ;- ;- ;- ;7.875 ;- ;- ;;- ;- ;- ;- ;6.930 ;- ;378 ;15.120 ;- ;756 ;- ;- ;- ;55,125 ;3,150 ;- ;- ;- ;- ;- ;- ;X 60 ;30 ;X 80 ;5 ;240 ;X 80 ;200 ;- ;100 ;- ;
Borgunda ;- ;- ;- ;3,200 ;15 ;- ;;- ;- ;- ;- ;4.400 ;- ;1,000 ;12,284 ;1,300 ;- ;- ;- ;- ;12,000 ;- ;- ;15 ;7 ;- ;- ;- ;X 66 ;33 ;X 198 ;8 ;X 330 ;X 198 ;500 ;- ;X 132 ;- ;
Broddetorp ;- ;X 11 ;- ;850 ;6 ;;;;;136 ;- ;3,352 ;- ;227 ;9,000 ;- ;79 ;- ;24 ;- ;4,250 ;850 ;- ;- ;1.60 ;2,355 ;- ;- ;31 ;;X 28 ;2 ;X 82 ;40 ;58 ;- ;24 ;- ;
Brunnhem ;- ;- ;- ;1,285 ;6 ;;;- ;;- ;- ;2.419 ;- ;1,587 ;7,749 ;1,890 ;113 ;- ;-- ;- ;5,000 ;;- ;3 ;- ;- ;3 ;- ;43 ;10 ;78 ;2 ;128 ;64 ;170 ;- ;32 ;- ;
Dala ;;;- ;1,575 ;10 ;;;- ;;150 ;- ;5,600 ;- ;1,760 ;32,100 ;- ;260 ;- ;;- ;4,725 ;5,670 ;- ;- ;- ;- ;- ;- ;X 60 ;X 20 ;150 ;6 ;X 280 ;X 80 ;275) ;- ;112 ;- ;





