Table: Table_1

1. ;2. ;3. ;4. ;5 ;6. ;7 ;;8. ;9. ;10. ;11. ;12 ;13. ;14. ;15. ;16. ;17. ;18. ;19. ;20. ;21. ;22. ;23. ;24 ;25 ;26 ;27 ;28. ;29 ;30, ;31. ;32. ;33. ;34. ;35. ;
Edevära ;29.50 ;104 ;121 ;12,058 ;25 ;;5,355 ;200 ;6,478 ;9 ;79 ;44 ;8 ;19 ;102 ;96 ;8 ;600 ;1,620 ;40 ;200 ;5 ;10 ;2,000 ;10 ;- ;870 ;315 ;- ;2,142 ;63 ;378 ;12,001 ;252 ;94 ;
Pyrunga ;13 ;61 ;29 ;2,751 ;14 ;;2,405 ;10 ;154 ;10 ;40 ;4 ;1 ;;3 ;3 ;;249 ;1,014 ;156 ;39 ;4 ;6 ;230 ;462 ;- ;295 ;315 ;- ;1,050 ;- ;200 ;5,338 ;256 ;260 ;
Gerum ;13,88 ;19 ;51 ;2,679 ;26 ;;1,588 ;215 ;810 ;;10 ;4 ;2 ;19 ;25 ;1 ;;202 ;586 ;13 ;26 ;33 ;4 ;43 ;466 ;- ;215 ;138 ;- ;793 ;- ;56 ;5,040 ;- ;25 ;
Hendened ;12 ;53 ;49 ;4,500 ;44 ;;1,668 ;288 ;2,500 ;6 ;41 ;5 ;2 ;6 ;41 ;1 ;;278 ;462 ;4 ;45 ;45 ;8 ;- ;556 ;- ;278 ;56 ;- ;1,550 ;- ;21 ;4,466 ;- ;21 ;
Härlunda ;17,56 ;152 ;151 ;5,692 ;42 ;;800 ;1.015 ;3,835 ;6 ;40 ;2 ;;92 ;11 ;- ;- ;200 ;250 ;10 ;80 ;;10 ;25 ;25 ;- ;200 ;21 ;- ;850 ;- ;10 ;3,220 ;70 ;24 ;
Härjevad ;8,63 ;35 ;23 ;1,683 ;17 ;;1,638 ;38 ;- ;3 ;25 ;9 ;1 ;- ;2 ;1 ;- ;201 ;615 ;45 ;10 ;- ;2 ;193 ;387 ;- ;175 ;189 ;- ;453 ;- ;400 ;3,690 ;;92 ;
Jung ;16,69 ;87 ;24 ;3,101 ;32 ;;3,061 ;8 ;- ;6 ;29 ;43 ;2 ;;5 ;5 ;1 ;378 ;1,035 ;100 ;32 ;1 ;3 ;378 ;756 ;- ;378 ;378 ;- ;1,950 ;63 ;378 ;8,537 ;787 ;252 ;
Marum ;10,28 ;9 ;45 ;2,526 ;7 ;;1,005 ;141 ;1,373 ;- ;2 ;6 ;1 ;X 8 ;6 ;- ;- ;95 ;420 ;10 ;20 ;20 ;2 ;320 ;323 ;- ;95 ;97 ;- ;704 ;-- ;60 ;2,420 ;- ;35 ;
Qvänum ;20,63 ;66 ;50 ;5,628 ;150 ;;3,800 ;200 ;150 ;7 ;18 ;42 ;4 ;7 ;19 ;42 ;5 ;400 ;1,500 ;120 ;40 ;- ;10 ;300 ;700 ;- ;730 ;300 ;- ;1,500 ;- ;240 ;10,730 ;480 ;240 ;
Saleby ;36,38 ;149 ;51 ;8,872 ;36 ;;8,610 ;172 ;54 ;13 ;68 ;58 ;- ;9 ;44 ;5 ;4 ;1,079 ;2,885 ;227 ;98 ;2 ;15 ;1,075 ;2,151 ;- ;1,075 ;1,343 ;- ;4,050 ;- ;900 ;16,362 ;1,600 ;966 ;
Skallmeja och 11 m:t. af Gerom ;17,25 ;63 ;24 ;3,363 ;25 ;;2,838 ;200 ;- ;- ;29 ;26 ;2 ;- ;16 ;6 ;;260 ;950 ;GO ;25 ;;3 ;530 ;425 ;- ;300 ;256 ;- ;1,024 ;- ;320 ;7,040 ;192 ;256 ;
Synnerby ;19 ;93 ;123 ;5,600 ;41 ;;3,956 ;93 ;1,410 ;38 ;56 ;32 ;2 ;43 ;41 ;4 ;- ;441 ;1,530 ;24 ;47 ;2 ;5 ;584 ;882 ;- ;441 ;355 ;X 6 ;1,835 ;- ;120 ;12,088 ;- ;90 ;
