Table: Table_1

1. ;36. ;37. ;38. ;39. ;40. ;44. ;45. ;46. ;47. ;48. ;49. ;50. ;51. ;52 ;53 ;54. ;55. ;56. ;58. ;59. ;60 ;61. ;66. ;67. ;68. ;69. ;70. ;71. ;72. ;73. ;74. ;75. ;
Härene med Skofteby ;;200 ;;690 ;;2,670 ;;9,807 ;;2,380 ;35,050 ;535 ;760 ;;1,513 ;;7.180 ;;;;;;176 ;19 ;38 ;11 ;412 ;160 ;120 ;;136 ;;
Källby ;4 ;90 ;;800 ;;700 ;25 ;3,000 ;;750 ;7,200 ;200 ;350 ;12 ;160 ;;4,050 ;;15 ;5 ;;;80 ;20 ;;;;;100 ;;;;
Lindärfva ;;120 ;;;;840 ;;4,480 ;- ;432 ;11.044 ;432 ;210 ;;720 ;;2,160 ;8.000 ;;;;12,000 ;;;;;;;;;;;
Skeby ;;45 ;;500 ;;312 ;47 ;3,716 ;- ;750 ;13,380 ;;985 ;7 ;315 ;;5,000 ;420 ;20 ;2 ;40 ;1.400 ;46 ;;;;;;;;;;
Skelfvum ;;;;900 ;10 ;700 ;60 ;5,600 ;;480 ;12,000 ;;200 ;----- ;;;6,300 ;200 ;;- ;;20,000 ;45 ;12 ;;;;100 ;200 ;;;;
Säfvare ;;;;;;3,040 ;;4,236 ;- ;500 ;25,650 ;950 ;2.000 ;- ;;;2.204 ;;240 ;- ;;;130 ;16 ;;;320 ;65 ;250 ;;;;
Ofva ;=== ;;;600 ;;1,530 ;- ;4.200 ;- ;1,750 ;9,800 ;2,450 ;150 ;- ;1.580 ;;3,600 ;23,000 ;- ;- ;- ;- ;50 ;20 ;;;130 ;50 ;50 ;;;;
Summa Kinnefjerdings härad ;7 ;1,236 ;3 ;16,846 ;75 ;16,812 ;372 ;61,631 ;45 ;12,837 ;232,034 ;6,457 ;8,430 ;31 ;6,438 ;12 ;104,654 ;54,550 ;318 ;47 ;640 ;52,000 ;1,079 ;216 ;448 ;65 ;3,135 ;1,003 ;1,970 ;;757 ;;
Forshem ;- ;115 ;;1,900 ;;13,500 ;- ;16,000 ;- ;250 ;20,650 ;- ;3,600 ;- ;500 ;- ;12.500 ;65,000 ;20 ;5 ;42,000 ;60,000 ;120 ;20 ;180 ;12 ;550 ;150 ;400 ;;100 ;;
Fullösa ;;;;946 ;24 ;1,575 ;;5,100 ;;750 ;20,480 ;;504 ;;375 ;;4,730 ;;50 ;;;;;;;;;35 ;105 ;24 ;;;
Götene ;;;;450 ;;1,260 ;55 ;4,060 ;30 ;250 ;13,300 ;24 ;840 ;30 ;;- ;4,050 ;400 ;;3,20 ;;2,900 ;40 ;;;;;;135 ;;;;
Holmestad ;10 ;100 ;;2,085 ;60 ;1,668 ;200 ;14,512 ;315 ;125 ;40,300 ;75 ;288 ;40 ;500 ;- ;12,510 ;16,000 ;240 ;;4,000 ;50,000 ;120 ;;128 ;;300 ;150 ;820 ;;120 ;;
Kestad ;;;;300 ;10 ;150 ;;1,200 ;- ;200 ;5,200 ;;150 ;;;;1,500 ;;20 ;3 ;;1,000 ;28 ;;;;;;;;;;
Klefva Ledsjö ;- ;;;1,000 10,600 ;35 ;645 1,500 ;- - ;4,800 7,500 ;900 ;1,250 1,600 ;8,400 26,000 ;--- ;150 510 ;- - ;- ;;8,000 74,200 ;;- ;;;;45 ;20 ;;;140 ;60 150 ;150 ;;;;
Lugnas och Bredsäter ;;100 ;;1,500 3,000 ;15 ;370 ;100 ;3,800 5,600 ;;120 8,640 ;20,000 ;30,000 ;270 1,200 ;- ;;- ;12,000 ;1.500 ;60 ;6 ;;10,500 ;;;140 ;;358 560 ;200 ;300 600 ;;;;
Medelplans ;;;;;;1,120 550 ;;;- ;;7,452 ;;;- ;600 ;- ;30,000 ;30,000 ;;;;;;;40 ;6 ;250 ;120 ;200 ;;;400 ;
Sil ;;;;648 ;;;18 ;2,650 ;15 ;300 ;;;;- ;50 ;;3,402 ;;- ;8 ;- ;- ;;;;3 ;125 ;45 ;140 ;;;;
Vedum ;;;;720 ;12 ;2,400 ;;31,100 ;;;39,504 ;;502 ;- ;280 ;- ;5,760 ;1,000 ;;6 ;;- ;;;80 ;;410 ;100 ;350 ;;;;
Vesterplana ;- ;;;505 ;;510 ;100 ;4,100 ;- - ;3,500 ;1,605 ;3,680 ;690 ;- ;370 ;- ;3,420 ;425 ;56 ;- ;- ;- ;;;14 ;;;68 ;84 ;;;;
Vättlösa ;;;;1,500 ;12 ;1,460 ;- ;4.550 ;;320 ;12,000 ;80 ;400 ;- ;500 ;- ;3.900 ;;40 ;;;;;;100 ;;350 ;100 ;150 ;;;;
Osterplana ;1 ;;- ;1.600 ;10 ;240 ;;2,500 ;- ;1,000 ;800 ;7,500 ;400 ;4 ;40 ;-- ;8,000 ;4,000 ;30 ;5 ;10 ;9.000 ;;10 ;30 ;;200 ;85 ;170 ;;;;
Summa Kinne härad ;X 16 ;628 ;- ;26,754 ;212 ;26,948 ;473 ;107,472 ;1,260 ;J8,305 ;215,691 ;41,359 ;9,576 ;74 ;3,255 ;- ;183,972 ;118,325 ;531 ;36,20 ;46,010 ;133,400 ;909 ;220 ;978 ;63 ;3,786 ;1,343 ;3,644 ;26 ;998 ;;
Edsvära ;;;- ;7,623 ;;2.338 ;- ;12,285 ;504 ;2,400 ;47,376 ;1,132 ;564 ;- ;250 ;- ;38,115 ;- ;;- ;- ;;156 ;;;;;100 ;200 ;;;;
Fyrunga ;;;;975 ;10 ;3.138 ;- ;6,312 ;- ;500 ;14,244 ;768 ;800 ;- ;2,912 ;- ;4,875 ;- ;30 ;;;7,800 ;110 ;;;;216 ;80 ;320 ;;;;
Gerum ;;150 ;;900 ;6 ;1,320 ;;6,100 ;;560 ;35,140 ;;264 ;- ;1,200 ;;9,010 ;;;45 ;4,500 ;;;;;;213 ;;329 ;;;;
Händene ;;21 ;;1,848 ;48 ;350 ;- ;10,506 ;- ;;17,380 ;;105 ;- ;105 ;;11.088 ;2,000 ;48 ;36 ;;13,344 ;126 ;;;;;60 ;200 ;;;;
Härlunda ;;;;10,000 ;;180 ;- ;7,000 ;- ;240 ;20,000 ;300 ;180 ;;;;70,000 ;;;;- ;2,000 ;;;;;300 ;200 ;260 ;;;;
Härjevad ;2 ;157 ;;630 ;6 ;1,000 ;- ;7,000 ;;1,250 ;16,500 ;605 ;1,424 ;16 ;1,099 ;- ;2,520 ;;12 ;;100 ;5,500 ;;;;;150 ;75 ;140 ;;;;
Jung. ;- ;325 ;;1,200 ;24 ;2,400 ;- ;14,000 ;75 ;1,50 ;41,625 ;2,000 ;2,940 ;- ;1,625 ;;9,600 ;3,000 ;60 ;;;23.100 ;200 ;;;;300 ;200 ;425 ;;;;
Marum ;- ;;;500 ;;520 ;- ;4,900 ;;300 ;14,520 ;;180 ;- ;100 ;;3,000 ;;;5 ;- ;20,000 ;25 ;;;;200 ;85 ;;;;;
Qvänum ;- ;550 ;;1,400 ;40 ;1,800 ;-- ;8.000 ;75 ;1,800 ;64,500 ;2,000 ;1,500 ;- ;2,200 ;- ;3,500 ;- ;80 ;;;;130 ;;;;325 ;130 ;;;130 ;;
Saleby ;;700 ;;3.500 ;40 ;7,535 ;- ;29,771 ;- ;3,900 ;140,000 ;3,900 ;6,000 ;- ;3,500 ;;21,000 ;- ;;25 ;- ;32,160 ;382 ;59 ;;13 ;787 ;212 ;;;;;
Skara landsförsamling ;;;;421 ;;670 ;;5,062 ;-- ;822 ;15,410 ;;421 ;;;- ;2,807 ;- ;;;- ;6,130 ;67 ;;;;194 ;;;;;;
Skallmeja och 1+ mtl af Gerum ;10 ;300 ;;200 ;20 ;2,480 ;60 ;3,500 ;;2,000 ;16,500 ;400 ;900 ;30 ;1,000 ;- ;1.100 ;- ;;;;2.000 ;130 ;50 ;;;350 ;160 ;;;;;
;5 ;100 ;;200 ;20 ;4,800 ;125 ;15,858 ;- ;1,600 ;64,800 ;;1,088 ;25 ;800 ;;2,000 ;;60 ;20 ;;;;;40 ;;500 ;;;;;;
Synnerby Travad, del ;;68 ;- ;635 ;11 ;414 ;10 ;3,740 ;;144 ;18,468 ;182 ;144 ;- ;136 ;;4,445 ;- ;;;4,000 ;24,000 ;120 60 ;;;;155 ;300 ;;;;;
Trässberg ;;150 ;;210 ;;1,500 ;;6,800 ;;1,500 ;25,000 ;;1,100 ;;500 ;- ;1,700 ;- ;33 ;3 ;;;130 ;50 ;20 ;;230 ;125 ;;;;;
Vinköl ;10 ;80 ;- ;1,250 ;25 ;1,425 ;150 ;13,800 ;300 ;1.000 ;77,000 ;570 ;500 ;30 ;450 ;- ;5,500 ;;125 ;25 ;- ;5,300 ;140 ;35 ;100 ;;375 ;150 ;;;;;
Vanga ;- ;1.000 ;- ;5,000 ;40 ;2,750 ;;25,120 ;;1,520 ;53,650 ;16,020 ;425 ;- ;3,500 ;- ;15,020 ;;120 ;;;;210 ;80 ;180 ;;610 ;250 ;;;;;
Asaka ;5 ;60 ;;1,500 ;10 ;1.800 ;78 ;14,500 ;100 ;1,200 ;30,000 ;550 ;700 ;20 ;300 ;- ;12,000 ;- ;;25 ;20,000 ;30,000 ;110 ;so ;150 ;;350 ;100 ;375 ;;;;
Ottum ;- ;900 ;- ;348 ;5 ;3.200 ;;10,500 ;;528 ;55,000 ;5,000 ;1,800 ;;4,500 ;- ;2,436 ;- ;- ;10 ;;;130 ;44 ;24 ;5 ;220 ;120 ;180 ;;;;
Summa Skanings härad ;32 ;5,399 ;- ;38,340 ;310 ;39,620 ;423 ;204,754 ;1,054 ;22,764 ;767,113 ;33,427 ;21,035 ;121 ;24,201 ;-- ;219,716 ;5.000 ;568 ;213 ;28,600 ;171,334 ;2,408 ;636 ;1,025 ;114 ;6,225 ;2,434 ;5,672 ;;1,859 ;;
Bitterna, Vester- ;3 ;15 ;- ;1,392 ;36 ;324 ;55 ;4,050 ;60 ;1,200 ;21,400 ;1,400 ;100 ;24 ;60 ;- ;8.352 ;- ;108 ;;- ;- ;75 ;10 ;50 ;2 ;168 ;150 ;280 ;;;;
Bitterna, Öster- ;- ;200 ;;7.000 ;;600 ;60 ;8.160 ;120 ;400 ;43.200 ;1,400 ;160 ;- ;2,000 ;;56,000 ;- ;;- ;;;100 ;10 ;30 ;2 ;200 ;100 ;250 ;;;;
Larf ;- ;200 ;- ;4,800 ;40 ;1,200 ;240 ;9,000 ;400 ;1,250 ;84,000 ;1,280 ;520 ;- ;800 ;- ;28,800 ;- ;120 ;- ;- ;;250 ;50 ;300 ;10 ;700 ;500 ;600 ;2 ;300 ;;
Längjum med Vessby ;- ;;- ;800 ;24 ;600 ;;2,500 ;;400 ;7,800 ;1,200 ;400 ;- ;;- ;5,000 ;;;- ;;;100 ;10 ;26 ;5 ;250 ;75 ;150 ;;;;
Lundby ;- ;90 ;- ;4,000 ;15 ;540 ;25 ;3.500 ;200 ;1,500 ;40,000 ;3,700 ;350 ;- ;720 ;- ;24,000 ;;;;- ;- ;125 ;25 ;40 ;5 ;250 ;150 ;300 ;;;;
Travad, del ;;15 ;- ;477 ;6 ;162 ;;1.805 ;18 ;54 ;16,545 ;60 ;72 ;- ;30 ;- ;3,339 ;-- ;18 ;2 ;;- ;54 ;9 ;8 ;;105 ;28 ;124 ;;;;
Vedum ;- ;;- ;3,000 ;- ;- ;- ;7.200 ;;;60,000 ;;75 ;- ;;;24,000 ;- - ;- ;- ;- ;- - ;130 ;15 ;30 ;5 ;360 ;50 ;250 ;;110 ;;
Summa Laske härad ;3 ;520 ;- ;21,469 ;121 ;3,426 ;380 ;36,215 ;798 ;4,804 ;272,945 ;9,040 ;1,677 ;24 ;3,610 ;- ;149,491 ;- ;246 ;2 ;- ;- ;834 ;129 ;484 ;30 ;2,033 ;1,053 ;1,954 ;2 ;754 ;- ;
Floby ;- ;575 ;- ;2,600 ;8 ;80 ;125 ;6,750 ;;2.880 ;4,050 ;750 ;160 ;- ;575 ;- ;2.600 ;- ;;;;- ;80 ;67 ;88 ;6 ;340 ;173 ;220 ;;95 ;;
Gökhem ;- ;90 ;- ;4,780 ;;200 ;50 ;9,300 ;150 ;8,700 ;74,400 ;3,300 ;920 ;- ;540 ;;38,240 ;460 ;60 ;30 ;250 ;1,250 ;160 ;50 ;180 ;4 ;480 ;120 ;325 ;;175 ;;
Göteve ;- ;20 ;- ;610 ;20 ;- ;;6,255 ;;2,030 ;16,138 ;;80 ;- - ;100 ;;9,235 ;210 ;20 ;6 ;100 ;9,609 ;85 ;20 ;75 ;3 ;250 ;65 ;200 ;- ;75 ;;
Jäla ;- ;;- ;1,092 ;63 ;;96 ;250 ;96 ;760 ;1,920 ;384 ;120 ;- ;144 ;;2.012 ;- ;20 ;20 ;;;70 ;32 ;128 ;3 ;230 ;225 ;375 ;;70 ;;
Klefva ;;100 ;- ;2.000 ;5 ;210 ;100 ;12,150 ;;6,300 ;57,050 ;3,850 ;600 ;;600 ;;16,000 ;- ;10 ;16 ;;5,000 ;105 ;30 ;100 ;5 ;190 ;200 ;400 ;- ;80 ;200 ;
;;;- ;;;;;;- ;3,200 ;37,300 ;1,600 ;192 ;;;;;;;;;;;;;;;;;;;;
Marka ;;60 ;;2,280 ;;- ;;5,472 ;- ;;;;;;512 ;;18,040 ;- ;;;;;90 ;30 ;100 ;15 ;275 ;175 ;240 ;- ;120 ;;
Sörby ;;;;1,512 ;- ;;;1,953 ;;756 ;20,000 ;;500 ;- ;;- ;9.072 ;- ;;;;;70 ;15 ;70 ;15 ;180 ;70 ;140 ;- ;30 ;;
Trevattna ;;12 ;- ;1,300 ;- ;45 ;108 ;4.800 ;120 ;280 ;18,000 ;650 ;650 ;;50 ;;10.400 ;;30 ;;10 ;3,000 ;75 ;20 ;75 ;10 ;300 ;175 ;150 ;- ;;200 ;
Ullene ;- ;;- ;;- - ;12 ;- ;2,000 ;;300 ;6,000 ;30 ;12 ;- ;;- ;8.000 ;;;- ;1,300 ;;50 ;4 ;48 ;2 ;130 ;125 ;125 ;- ;;;
Summa Vilske härad ;- ;881 ;- ;16,174 ;X 96 ;547 ;470 ;48,930 ;366 ;25,206 ;234,858 ;10,564 ;3,234 ;- ;2,521 ;- ;113,599 ;670 ;148 ;72 ;1,660 ;18,859 ;785 ;268 ;864 ;63 ;2,375 ;1,328 ;2,175 ;- ;695 ;;
Bjerka ;;;;10.697 ;- ;;;9,450 ;504 ;600 ;18.900 ;- ;95 ;- ;;;75,600 ;- ;;- ;- ;- ;40 ;5 ;136 ;4 ;240 ;80 ;150 ;- ;70 ;;
Bjurum ;- ;;;12,500 ;;;;8.000 ;;900 ;24,000 ;;480 ;- ;- ;;108,000 ;;;- ;- ;;40 ;12 ;120 ;3 ;200 ;100 ;100 ;- ;100 ;;
Borgunda ;- ;- ;- ;2,200 ;15 ;;- ;2,700 ;- ;1,200 ;16,000 ;1.600 ;300 ;- ;- ;;8,000 ;- ;25 ;- ;- ;27,000 ;65 ;45 ;118 ;6 ;350 ;140 ;300 ;;100 ;;





