Table: Table_1

;1. ;2. ;3. ;4. ;;5. ;;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13 ;14. ;15. ;16. ;17. ;18. ;19. ;20. ;21, ;22. ;23. ;24. ;25. ;26. ;27. ;28. ;29. ;30. ;31. ;32. ;33. ;34. ;35. ;
;Härene med Skofteby 2) ;30:75 ;71 ;60 ;;5,786 ;;51 ;4.360 ;140 ;843 ;2 ;27 ;18 ;4 ;;6 ;18 ;1 ;558 ;1,590 ;35 ;30 ;15 ;2 ;530 ;1,050 ;- ;550 ;450 ;25 ;2.400 ;- ;650 ;10.250 ;230 ;120 ;
;Källby ;14:18 ;41 ;;;2.777 ;;;1,250 ;100 ;365 ;;;;;;;;;150 ;432 ;20 ;40 ;4 ;4 ;50 ;400 ;;150 ;125 ;10 ;600 ;- ;200 ;3,200 ;;100 ;
;Lindärfva ;6:50 ;;;;3.009 ;;11 ;1.000 ;3 ;200 ;;;;2 ;;;;1 ;143 ;355 ;50 ;12 ;9 ;2 ;143 ;143 ;- ;143 ;50 ;;560 ;- ;75 ;2,700 ;;200 ;
;Skeby ;7:63 ;30 ;;;2.083 ;;;1.000 ;60 ;703 ;;;;;;;;;160 ;400 ;10 ;30 ;8 ;2 ;25 ;205 ;- ;160 ;50 ;10 ;640 ;- ;60 ;3,200 ;;45 ;
;Skelfvum ;11:25 ;;;;3,009 ;;10 ;1,650 ;5 ;335 ;;;;;10 ;14 ;10 ;- ;240 ;450 ;10 ;30 ;5 ;;190 ;500 ;- ;220 ;60 ;10 ;860 ;- ;50 ;3.000 ;;40 ;
;Säfvare Ofva ;18:25 ;;38 ;;6,017 ;4,947 ;40 ;2.457 ;50 ;2.400 ;;;;;7 ;;;1 ;347 ;728 ;100 ;130 ;10 ;10 ;100 ;685 ;;347 ;390 ;;750 ;- ;120 ;6.500 ;300 ;500 ;
;;8:25 ;38 ;;;2,546 ;;12 ;1.119 ;- ;1.415 ;;;3 ;;;20 ;;- ;215 ;387 ;G6 ;40 ;25 ;;40 ;210 ;===== ;135 ;604 ;- ;269 ;- ;174 ;2,647 ;;63 ;
;S:a för Kinnefjerdings härad ;169.39 ;556 ;467 ;43,509 ;;;218 ;24,302 ;799 ;8,061 ;84 ;263 ;139 ;13 ;33 ;80 ;52 ;7 ;3,172 ;8,485 ;434 ;689 ;171 ;30 ;2,616 ;5,599 ;- ;3,043 ;2,975 ;195 ;11,573 ;10 ;2,311 ;64,572 ;915 ;1,520 ;
;Bredsäter ;9:88 ;;;;6,711 ;;;1,542 ;P ;P ;;;;;;2 ;;- ;210 ;450 ;;14 ;;;210 ;420 ;- ;210 ;30 ;X 30 ;1,025 ;- ;60 ;3,960 ;;52 ;
