Table: Table_1

;Forshem ;25.63 ;;153 ;12.960 ;;;50 ;4,280 ;300 ;8.330 ;15 ;;;;19 ;122 ;;- ;630 ;975 ;;100 ;80 ;;300 ;1,525 ;5 ;610 ;650 ;;2,500 ;- ;50 ;6,600 ;150 ;100 ;
;Fullösa ;16:88 ;24 ;64 ;;3,934 ;;22 ;2.060 ;42 ;1,810 ;;;;;;;;P ;295 ;540 ;;51 ;67 ;;160 ;G47 ;;280 ;164 ;;1,270 ;- ;450 ;2,981 ;312 ;60 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Götene ;7:00 ;;32 ;;2,314 ;;24 ;1,724 ;20 ;546 ;;;;;;;;;240 ;450 ;;;;;217 ;490 ;;240 ;290 ;;1,050 ;8 ;40 ;2.870 ;10 ;140 ;
;Holmestad ;14:81 ;102 ;82 ;;8,332 ;;14 ;2,900 ;120 ;5,319 ;19 ;;;;;;;;385 ;800 ;;180 ;;;400 ;;;;480 ;10 ;1,560 ;- ;50 ;7,000 ;50 ;100 ;
;Kestad ;8:50 ;18 ;;;1.620 ;;;800 ;;;;;;;;;;;100 ;264 ;;;;;;;;;;;500 ;;150 ;2.200 ;;30 ;
;Klefva ;12:25 ;23 ;;;1,851 ;1,608 ;10 ;1,300 ;50 ;40 ;;;;;;;;;180 ;500 ;;;;;100 ;;;;100 ;;800 ;;250 ;3,000 ;;60 ;
;Ledsjö 2) ;16:87 ;58 ;69 ;;5,554 ;;20 ;2,150 ;150 ;1,400 ;;;;;;;;;300 ;;;200 ;10 ;;145 ;;;;150 ;;1,260 ;- ;450 ;5,220 ;;160 ;
16 ;Lugnas ;13:06 ;110 ;125 ;10,646 ;;2,080 ;;912 ;245 ;915 ;67 ;;;;;;;;152 ;;;;;;;;;;;;750 ;;20 ;4,000 ;;45 ;
17 ;Medelplana ;17:38 ;19 ;61 ;;4,629 ;;80 ;1,600 ;500 ;2,300 ;;;;;;;;;;;;120 ;;;;;;;;40 ;760 ;- ;900 ;150 ;3,000 ;150 ;
18 ;Sil ;9:00 ;26 ;15 ;;1,389 ;;10 ;1,179 ;;200 ;;;;;;;;;;;;;;;;;;;;;592 ;- ;365 ;1,350 ;;45 ;
19 ;Vedum ;13:31 ;42 ;75 ;;4,397 ;4,074 ;27 ;3.083 ;;987 ;25 ;;;;;;;;;;;;;;;;;;300 ;;2,300 ;- ;;7,000 ;;100 ;
;Vesterplana ;11:50 ;28 ;19 ;;1,389 ;;3 ;1,058 ;;342 ;;;;;;;;;;;;;;;;;;;;2 ;733 ;- ;740 ;146 ;1,300 ;90 ;
21 22 ;Vättlösa Osterplana ;16:81 17:88 ;93 35 ;65 109 ;;6,480 3,703 ;;40 40 ;2,680 1,200 ;60 130 ;3,700 800 ;;;;;;;;2 ;;;;;;;;;;;80 ;10 ;1,250 1.100 ;- ;126 560 ;5,000 560 ;1.030 ;190 80 ;
;Summa för Kinne härad ;210-26 ;690 ;909 ;75,909 ;;;352 ;28,468 ;1,635 ;26,682 ;227 ;465 ;162 ;15 ;109 ;229 ;32 ;3 ;4,081 ;7,772 ;353 ;1,051 ;383 ;55 ;2,682 ;8,083 ;5 ;4,023 ;3,272 ;126 ;17,450 ;3 ;4,217 ;52,037 ;5,902 ;1,402 ;
23 ;Edsvära ;30:50 ;101 ;125 ;;8,100 ;;28 ;5.550 ;175 ;2,347 ;;;;;;;;;;1,550 ;;215 ;15 ;10 ;1.795 ;135 ;;;;;2.520 ;126 ;315 ;11,844 ;284 ;94 ;
24 ;Fyrunga ;9:75 ;76 ;29 ;;2.546 ;2,578 ;14 ;2.408 ;;116 ;16 ;;;;;;;;;1,000 ;;;;;;485 ;;;;;1,060 ;- ;126 ;4,863 ;257 ;201 ;
;Gerum ;13:38 ;19 ;51 ;;3,934 ;;126 ;2.193 ;515 ;1.000 ;;;;;;;;;;817 ;;;;;;601 ;;;;;1.000 ;- ;90 ;6,420 ;;100 ;
;Händene ;12:00 ;55 ;40 ;;5,091 ;;44 ;1.668 ;288 ;3.091 ;;;;;;;;;;;;;;;;540 ;;;;;1,751 ;;;4,345 ;;21 ;
;Härlunda ;17:81 ;167 ;160 ;;6,249| ;5.691 ;30 ;1.200 ;450 ;4,011 ;;;;;;;;;;;;;;;;;;;;;1.600 ;50 ;50 ;4,000 ;100 ;50 ;
;Härjevad ;8:38 ;36 ;30 ;;;2,314/1,824 ;22 ;2,254 ;;;;;;;;;;;;;;;;;;;;;;;850 ;;200 ;4,200 ;126 ;178 ;
29 ;Jung ;16:94 ;;;; 5,786 3 101 ;;;3.053 ;10 ;;;;;;;;;;;1.015 ;;;;;;;;;;;2.050 ;12 ;250 ;9,500 ;460 ;500 ;
;Marum ;10:28 ;10 ;45 ;;2,777| ;;10 ;1,100 ;130 ;1.537 ;;;;;;;;;;;;;;;;;;;;;700 ;;50 ;2,500 ;;30 ;
;Qvänum ;20:00 ;74 ;46 ;;5,786 ;;50 ;5,466 ;120 ;150 ;;;;;;;;;;2,097 ;;;;;;;;;;;3.500 ;;300 ;17,300 ;500 ;250 ;
;Saleby ;;;;;;;;;38 ;58 ;10 ;;;;;;;;;2,700 ;;;;;;;;;;;;- ;650 ;;;;
;Skara landsförsamling ;36:13 11:75 ;210 26 ;21 32 ;;6,943 7,837 4,397| ;2,341,5 ;117 18 ;7,600 1.138 ;350 ;835 ;;;;;;;;;;;;;;;;1,900 ;;;1,260 ;;3,750 660 ;- ;120 ;18,000 2,410 ;1,100 ;400 60 ;
34 ;Skallmeja ;17:25 ;73 ;37 ;;2,777 ;;59 ;2.569 ;131 ;18 ;;;;;;;;;;;;;;;;;;;;;850 ;- ;500 ;6,000 ;100 ;500 ;
35 36 ;Synnerby Trâvad (del) ;19:00 9:75 ;83 36 ;108 19 ;;6.249 2,314 ;;44 ;4,350 2,107 ;90 19 ;1.390 180 ;;;;;;;;;;1.259 ;;;;;;1.164 ;;;;;2,500 1,350 ;- - ;200 60 ;9,772 8.800 ;100 ;150 20 ;
37 ;Trässberg. ;18:38 ;60 ;27 ;;5,323 ;4,500 ;36 ;2.935 ;25 ;50 ;;;;;;;;;;1.600 ;;;;;;;;;;;875 ;;725 ;11,500 ;125 ;200 ;
38 ;Vinköl ;22:56 ;110 ;33 ;;7,174 ;;20 ;4.165 ;215 ;2.774 ;;;;;;;;;;;;;;;;700 ;;;;;1,600 ;20 ;200 ;17,840 ;50 ;100 ;
39 ;Vânga ;54:75 ;127 ;130 ;;16,663 ;;50 ;7,450 ;400 ;8.763 ;;;;;;;;;;;;200 ;;;1.000 ;1.985 ;;;;;4.120 ;;150 ;15,000 ;1,500 ;80 ;
;Asaka ;24:88 ;93 ;79 ;;7.637 ;;;4,500 ;700 ;2.421 ;;;;;;;;;;1.000 ;;300 ;;;600 ;1.400 ;5 ;;;;2.100 ;50 ;150 ;7,000 ;400 ;200 ;
;Ottum ;14:38 ;87 ;17 ;;4,860 ;4,192 ;16 ;3.532 ;10 ;634 ;;;;;;;;;;1,044 ;150 ;118 ;;;441 ;883 ;;441 ;;;2,380 ;;96 ;9,300 ;;450 ;
;Summa för Skânings härad ;367-87 ;1,527 ;1,049 ;;;;743 ;65,238 ;3,710 ;29,380 ;190 ;750 ;365 ;20 ;236 ;311 ;148 ;18 ;8,309 ;22,602 ;1,234 ;2,003 ;296 ;92 ;8,037 ;14,437 ;55 ;8,146 ;6,323 ;170 ;35,210 ;258 ;4,232 ;170,594 ;5.102 ;3,584 ;
42 ;Bitterna, Vester- ;14:59 ;72 ;18 ;;4,629 ;;6 ;942 ;8 ;150 ;;;;;;;;;120 ;500 ;;30 ;10 ;;50 ;70 ;- ;150 ;48 ;;720 ;- ;66 ;4,300 ;;40 ;
43 ;Bitterna, Öster- ;16:81 ;115 ;46 ;;5.554 ;;10 ;1,680 ;400 ;50 ;;;;;;;;;200 ;800 ;;60 ;;;150 ;250 ;;200 ;;;1,000 ;;100 ;8,020 ;3GO ;50 ;
44 ;Larf ;47:00 ;217 ;120 ;;18,052 ;12.000 ;10 ;4.585 ;260 ;1,200 ;58 ;140 ;;;;;15 ;2 ;400 ;2.500 ;15 ;200 ;10 ;10 ;350 ;650 ;- ;450 ;240 ;60 ;1,800 ;100 ;250 ;22.000 ;330 ;40 ;
45 ;Längjum med Vessby ;24:38 ;113 ;30 ;;4.397 ;3,850 ;45 ;4,227 ;35 ;90 ;;;;;;;2 ;;250 ;2,850 ;25 ;160 ;;;187 ;500 ;;250 ;200 ;;1,200 ;;124 ;25,450 ;;150 ;
46 ;Lundby ;15:50 ;69 ;46 ;;3,703 ;;16 ;2,200 ;120 ;1,367 ;;;;;;;1 ;;250 ;857 ;10 ;120 ;10 ;3 ;200 ;500 ;;250 ;120 ;5 ;1,120 ;10 ;80 ;7,300 ;300 ;25 ;
47 ;Travad (del) ;8:81 ;58 ;;;1.620 ;;15 ;1.577 ;20 ;;6 ;45 ;;;;;;- ;195 ;700 ;;20 ;1 ;;175 ;275 ;- ;207 ;80 ;- ;900 ;;40 ;5,500 ;;28 ;
48 ;Vedum ;19:88 ;150 ;50 ;;5,091 ;;19 ;2.280 ;40 ;2.752 ;4 ;102 ;20 ;1 ;10 ;10 ;1 ;- ;230 ;1,310 ;12 ;120 ;27 ;3 ;88 ;290 ;- ;200 ;33 ;- ;1.610 ;- ;55 ;12.800 ;- ;25 ;
;Summa för Laske härad ;146.97 ;794 ;319 ;;43,046 ;;121 ;17,491 ;883 ;5,617 ;95 ;581 ;139 ;5 ;50 ;202 ;28 ;2 ;1,645 ;9,517 ;85 ;710 ;63 ;29 ;1,200 ;2,535 ;- ;1,707 ;790 ;102 ;8,350 ;110 ;715 ;85.370 ;1.066 ;358 ;
49 ;Floby ;27:04 ;87 ;51 ;;5,554 ;4.207 ;12 ;3.180 ;2,273 ;72 ;;54 ;10 ;1 ;;99 ;;- ;300 ;1,672 ;50 ;220 ;47 ;20 ;171 ;450 ;- ;250 ;30 ;- ;1,300 ;- ;430 ;13.700 ;;50 ;
;Gökhem ;34:63 ;115 ;42 ;;6.943 ;5.300 ;18 ;3,235 ;90 ;10 ;10 ;65 ;40 ;;9 ;20 ;20 ;;215 ;2.445 ;20 ;115 ;30 ;2 ;50 ;140 ;8 ;210 ;35 ;20 ;1.045 ;30 ;2,180 ;15,850 ;GOO ;100 ;
51 ;Göteve ;16:13 ;75 ;10 ;;4.860 ;4,372 ;2 ;810 ;800 ;85 ;;;;;;;;- ;120 ;425 ;;55 ;2 ;2 ;p ;85 ;- ;120 ;- ;- ;576 ;- ;192 ;5,280 ;- ;;
52 ;Jäla ;16:12 ;77 ;43 ;;5,323 ;;8 ;476 ;500 ;20 ;22 ;;;;;50 ;18 ;;50 ;230 ;10 ;85 ;2 ;4 ;20 ;25 ;- ;50 ;- ;- ;280 ;- ;144 ;1.930 ;;50 ;
53 ;Klefva ;26:38 ;88 ;37 ;;7.868 ;5,580 ;13 ;1,421 ;3,820 ;2.614 ;15 ;;;;;;;- ;275 ;600 ;30 ;90 ;5 ;;75 ;120 ;- ;225 ;50 ;25 ;1.350 ;- ;900 ;8,000 ;550 ;100 ;
54 ;Marka ;19:13 ;44 ;34 ;;4.397 ;;6 ;2.225 ;1,300 ;;;;;;;;;- ;105 ;860 ;20 ;150 ;40 ;5 ;240 ;570 ;- ;235 ;;- ;630 ;- ;520 ;4.600 ;200 ;;
55 ;Sörby ;15:88 ;42 ;12 ;;2.777 ;;33 ;854 ;130 ;1.760 ;;;;;;;;;;448 ;8 ;32 ;8 ;6 ;;160 ;- ;96 ;- ;- ;614 ;- ;256 ;5,324 ;;;
;Trevattna ;18:44 ;60 ;46 ;;4.860 ;;16 ;811 ;2.000 ;850 ;;;11 ;;15 ;10 ;1 ;- ;1GO ;400 ;;;;;;100 ;- ;100 ;6 ;;750 ;X 36 ;50 ;8.300 ;90 ;;
;;12:12 ;56 ;27 ;;4.629 ;;5 ;919 ;200 ;1.863 ;;31 ;10 ;;;9 ;- ;- ;78 ;500 ;2 ;45 ;2 ;2 ;10 ;50 ;- ;200 ;;6 ;472 ;12 ;94 ;3.055 ;- ;;
57 ;Ullene ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Summa för Vilske härad ;180.77 ;644 ;305 ;+) 47,211 ;;;113 ;13,931 ;11,113 ;7,274 ;66 ;364 ;81 ;3 ;24 ;144 ;41 ;- ;1,399 ;7.580 ;146 ;832 ;142 ;42 ;56G ;1,700 ;8 ;1,486 ;121 ;51 ;7.017 ;78 ;4.766 ;61,030 ;1,440 ;374 ;
58 ;Bierka ;19:13 ;16 ;27 ;;4,629 ;;5 ;1.955 ;680 ;1.989 ;- ;;;2 ;27 ;1 ;- ;2 ;315 ;475 ;50 ;240 ;20 ;4 ;101 ;450 ;- ;300 ;- ;- ;1,575 ;X 95 ;58 ;3,623 ;- ;44 ;
59 ;Bjurum ;15:13 ;36 ;40 ;;6,017 ;5,500 ;12 ;2,500 ;600 ;600 ;1 ;;1 ;;;75 ;- ;;350 ;700 ;30 ;400 ;- ;;400 ;300 ;===== ;320 ;- ;- ;1,575 ;;600 ;4,000 ;;200 ;





