Table: Table_1

1. ;36. ;37. ;38. ;39. ;40 ;44 ;45. ;46, ;47. ;48. ;49. ;50, ;51. ;52 ;53 ;54. ;55. ;56. ;58. ;59. ;60. ;61. ;66. ;67. ;68 ;69. ;70. ;71. ;72. ;73 ;74. ;75. ;
Flo ;;500 ;;6,000 ;35 ;1,880 ;600 ;7,800 ;- ;3,000 ;44,000 ;400 ;700 ;40 ;1,500 ;- ;30,000 ;45,000 ;60 ;1 ;1,500 ;20,000 ;260 ;65 ;28 ;12 ;528 ;150 ;400 ;- ;150 ;240 ;
Friel ;;;;1,050 ;;200 ;;6,000 ;- ;900 ;17,280 ;1,500 ;240 ;;240 ;;7,350 ;6,000 ;;- ;;;130 ;;;;180 ;50 ;120 ;;60 ;;
Hâle ;;;;680 ;21 ;300 ;;2,000 ;;400 ;20,000 ;3,000 ;300 ;50 ;600 ;- ;4,000 ;;80 ;;;9.050 ;85 ;;;;;;250 ;;75 ;145 ;
Karaby ;;;;160 ;10 ;180 ;;1,500 ;- ;600 ;20,000 ;- ;500 ;5 ;600 ;- ;800 ;- ;30 ;;;2,000 ;;;;;;60 ;135 ;;500 ;;
Näs ;15 ;160 ;;2,160 ;;360 ;;12,600 ;- ;2,520 ;36,050 ;;150 ;15 ;640 ;- ;17,280 5,400 ;;40 ;2 ;;;180 75 ;;;;;230 60 ;450 140 ;;200 60 ;460 ;
Sal. ;;;;200 ;;280 ;;5,250 ;- ;640 ;21,150 ;;580 ;;600 ;- ;;;;;;;;;;;295 ;125 ;245 ;;100 ;;
Särestad ;10 ;;;1.850 ;80 ;400 ;160 ;4.800 ;- ;720 ;20,000 ;;400 ;20 ;820 ;;9,250 ;;;50 ;;2,000 ;125 ;;;;;;;;;;
Tun ;;;;175 ;;187 ;;2,100 ;- ;435 ;6,315 ;1,275 ;186 ;;570 ;;950 ;3,000 ;;;;;142 ;;;;402 ;123 ;271 ;;145 ;;
Täng ;;;;600 ;8 ;900 ;;5,940 ;- ;650 ;18,000 ;480 ;2.520 ;30 ;475 ;;4.800 ;;;;;;84 ;;;;153 ;100 ;200 ;;;;
As ;3 ;210 ;;600 ;10 ;400 ;25 ;6.250 ;- ;700 ;38,750 ;1,000 ;300 ;9 ;920 ;- ;3,600 ;- ;50 ;- ;- ;- ;100 ;50 ;50 ;10 ;350 ;150 ;175 ;;60 ;;
Summa Âse härad ;51 ;2.005 ;- ;13,475 ;164 ;5,087 ;785 ;54,240 ;- ;10,565 ;241,545 ;7,655 ;5,876 ;169 ;6,965 ;- ;83,430 ;54,000 ;260 ;56 ;1,500 ;33,050 ;1,243 ;304 ;268 ;75 ;2,978 ;1,128 ;2,386 ;- ;1,390 ;- ;
Bjerby ;- ;100 ;;600 ;;400 ;;4,800 ;- ;100 ;4,000 ;200 ;150 ;- ;500 ;;2,400 ;- ;;- ;- ;- ;65 ;12 ;22 ;;190 ;80 ;200 ;;50 ;- ;
Bäreberg ;;;;1,300 ;;800 ;;9,000 ;- ;;34,000 ;;200 ;;90 ;;13,000 ;- ;;- ;- ;;150 ;25 ;10 ;;375 ;100 ;400 ;;100 ;;
Flakeberg ;10 ;270 ;;1,250 ;;3,456 ;- ;11,783 ;;1,650 ;53,000 ;1,400 ;2,400 ;80 ;1,000 ;- ;7,750 ;;;;;5.000 ;122 ;;34 ;;375 ;130 ;600 ;- ;;;
Främmestad ;;;- ;4,500 ;20 ;600 ;- ;13,650 ;- ;2,400 ;71,680 ;;900 ;;;- ;45,000 ;12,000 ;80 ;- ;- ;;246 ;82 ;;15 ;942 ;282 ;166 ;- ;139 ;;
Hyringa ;5 ;300 ;;1,410 ;10 ;1,750 ;- ;5,000 ;- ;1,000 ;25,000 ;1,000 ;350 ;30 ;1,000 ;- ;9,200 ;;- ;;- ;- ;130 ;30 ;30 ;;310 ;120 ;300 ;;;;
Levene, del ;- ;300 ;- ;150 ;;1.440 ;- ;5,600 ;- ;600 ;35,000 ;1,200 ;900 ;;1,800 ;- ;1,350 ;- ;- ;- ;- ;- ;60 ;;;;160 ;60 ;160 ;- ;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;120 ;52 ;100 ;;;;
Längnum ;- ;;- ;150 ;;732 ;- ;3,460 ;- ;468 ;4,000 ;600 ;480 ;- ;;;730 ;- ;;- ;;- ;;;22 ;10 ;;;;;;;
Malma Sparlösa ;- 6 ;125 375 ;;1.649 3.150 ;61 ;695 2,750 ;40 ;7,266 5.504 ;- - ;468 1,550 ;32,990 66,350 ;2,250 ;391 2,520 ;- 24 ;500 1,875 ;- ;10.382 15,750 ;- ;70 ;- ;8.306 ;97,000 ;150 260 ;;;;405 560 ;152 135 ;452 260 ;;;;
Tengene ;;100 ;;1,500 ;100 ;2,400 ;100 ;12.480 ;;1,800 ;80,000 ;2,000 ;1,080 ;;400 ;;12,000 ;;350 ;;;;140 ;35 ;30 ;;325 ;120 ;450 ;;100 ;;
Trökörna ;- ;;;1,400 ;10 ;1,040 ;- ;6,500 ;- ;280 ;37,500 ;160 ;280 ;- ;320 ;- ;11,600 ;- ;30 ;10 ;3.000 ;12.000 ;140 ;35 ;36 ;;325 ;115 ;260 ;;85 ;;
Summa Viste härad ;21 ;1,600 ;- ;17,059 ;231 ;16,063 ;140 ;84,993 ;- ;10,361 ;393,520 ;8,816 ;9,651 ;134 ;7,485 ;- ;129,162 ;12,000 ;530 ;10 ;11,306 ;44,000 ;1,523 ;343 ;260 ;87 ;4,087 ;1,346 ;3,348 ;- ;1,021 ;- ;
Gösslunda ;4 ;660 ;;1,365 ;20 ;60 ;-- ;3,300 ;;1,050 ;25,800 ;850 ;1.250 ;10 ;660 ;;1,365 ;- ;;-- ;;;180 ;30 ;;;275 ;100 ;200 ;;55 ;;
Hjerpas, Höra och Vedum ;;;;2.600 ;40 ;900 ;;9,500 ;250 ;1,200 ;75,000 ;7.000 ;2,000 ;;;- ;13,000 ;;80 ;15 ;4,000 ;30,000 ;280 ;;;;600 ;200 ;400 ;;300 ;;
Häggesled ;5 ;160 ;;917 ;;367 ;;2,562 ;;613 ;14,646 ;1,106 ;678 ;20 ;680 ;- ;4.343 ;- ;25 ;- ;- ;- ;88 ;10 ;;;188 ;86 ;170 ;;91 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kedum. ;- ;20 ;;44 ;;15 ;- ;210 ;- ;65 ;1,920 ;798 ;42 ;- ;60 ;- ;280 7.648 ;- ;3 ;- ;- ;- ;60 ;;;;113 ;58 ;94 ;;;;
Lavad ;;36 ;;956 ;24 ;1,920 ;;4,336 ;;1,134 ;26,544 ;;1,844 ;- ;252 ;- ;;;;- ;- ;- ;;;;;162 ;91 ;163 ;;;;
Levene, del ;;284 ;;1,260 ;;3,520 ;- ;12,672 ;- ;2.744 ;30,348 ;2,400 ;1,540 ;- ;1,988 ;;10,080 ;;;- ;- ;- ;150 ;;;;250 ;80 ;10 ;;80 ;;
Mellby ;;50 ;;1,300 ;;200 ;-- ;1,400 ;80 ;900 ;37,250 ;300 ;;;300 ;;9,000 ;;;;;;150 ;;;;300 ;100 ;;;100 ;;
Otterstad med Senäte ;;280 ;;3.685 ;6 ;550 ;- ;4.100 ;- ;4,000 ;43,610 ;;2.010 ;24 ;;;25,795 ;6,000 ;24 ;5 ;;9.783 ;170 ;;;16 ;500 ;200 ;500 ;;140 ;;
;;;;;;;;;;4,000 ;15,090 ;1,290 ;736 ;;690 ;;4,040 ;;;;300 ;2,120 ;108 ;;;;;;;;;;
Rackeby ;15 ;230 ;;1,010 ;;1.300 ;;2,150 ;195 ;;;385 ;;;1.840 ;;11,700 ;7,300 ;;16 ;2,400 ;14,350 ;;;;;325 ;120 ;;;60 ;;
Râda ;11 ;490 350 ;;1,900 250 ;;1,695 10 ;58 ;3,624 600 ;;3,950 2,150 ;34.730 7.825 ;600 ;924 12 ;27 ;1,000 ;;500 ;- ;;;;900 ;172 ;;;;410 145 ;147 45 ;193 75 ;;124 15 ;380 ;
