Table: Table_1

Skalunds ;;400 ;;;;1,120 ;;7,120 ;___ ;1.000 ;32,000 ;1.000 ;1,500 ;;2,800 ;;4,000 ;;10 ;;X 1,000 ;8,000 ;200 ;;;;300 ;;200 ;;;;
Slädene ;;;;5,450 ;;;;;;;;;;;;;;;;;;;;;;;;100 ;;;130 ;;
Strö ;;1,000 ;;1,300 ;10 ;400 ;- ;1,700 ;- ;2,000 ;7,000 ;1,000 ;2,400 ;-- ;7,000 ;;9.100 ;10,000 ;60 ;14 ;- ;;;;;;240 ;170 ;250 ;;125 ;;
Sunnersberg ;;600 ;;1,200 ;40 ;;;9,800 ;- ;12,000 ;30,500 ;3.200 ;2,200 ;- ;1.200 ;;3.600 ;1,700 ;30 ;;;12,500 ;160 ;;;;309 ;165 ;215 ;;;;
Söne ;3 ;550 ;;690 ;5 ;210 ;40 ;2,810 ;80 ;4.800 ;17,150 ;750 ;600 ;5 ;1,650 ;;5,320 ;- ;10 ;- ;- ;;;;;;270 ;124 ;200 ;;;;
Tranum ;10 ;450 ;;850 ;32 ;825 ;18 ;1,425 ;;2.725 ;19,525 ;2,750 ;1,118 ;40 ;4,120 ;;4.120 ;- ;;;- ;5,600 ;325 ;;;;245 ;140 ;300 ;;;;
Tâdene. ;12 ;63 ;;662 ;12 ;500 ;;1,385 ;- ;1,200 ;13,734 ;300 ;400 ;- ;441 ;;5.286 ;- ;;;;;;;;;133 ;37 ;172 ;;;;
Ufvered ;;300 ;;1,000 ;;480 ;;4,320 ;- ;750 ;36,000 ;750 ;600 ;;600 ;;4.000 ;;;20 ;;5,000 ;120 ;;;;;75 ;180 ;;100 ;;
Väla och Gilletad ;3 ;176 ;;624 ;;;15 ;2.415 ;;285 ;9,615 ;;120 ;6 ;350 ;;3,744 ;;;;;500 ;;;;;;;150 ;;;;
Ásaka ;;200 ;;1,080 ;;240 ;;4.400 ;;1,250 ;28,150 ;;800 ;;1,000 ;;6.480 ;;50 ;;;1,060 ;105 ;;;;;;150 ;;;;
Orelõsa ;25 ;1,000 ;;780 ;50 ;600 ;- ;6,000 ;- ;4.500 ;30,500 ;4.200 ;8.000 ;150 ;5,500 ;- ;4.000 ;100 ;300 ;- ;- ;;160 ;;;;240 ;160 ;300 ;;;;
Summa Källande härad ;94 ;7,299 ;;28,923 ;280 ;14,944 ;131 ;85,829 ;605 ;52,316 ;536,437 ;28,679 ;23,274 ;312 ;32,201 ;- ;137,401 ;25,100 ;646 ;72 ;7.700 ;89,813 ;2,877 ;653 ;800 ;146 ;5,688 ;2,378 ;4.042 ;;1,894 ;;
Eling ;- ;50 ;;2.160 ;;;;2.500 ;120 ;180 ;17,500 ;120 ;80 ;- ;300 ;- ;10,500 ;- ;60 ;- ;- ;- ;100 ;40 ;;;278 ;120 ;230 ;;;35 ;
Essunga ;;;;5,750 ;;;30 ;4,625 ;35 ;140 ;36.100 ;550 ;100 ;;20 ;- - ;36,050 ;;120 ;;;- ;160 ;;;;600 ;20 ;220 ;;;;
Foglum ;;105 ;;1.275 ;50 ;520 ;16 ;4.800 ;8 ;1,050 ;30,250 ;160 ;140 ;8 ;575 ;..... - ;6.125 ;- ;150 ;20 ;- ;;90 ;;;;325 ;160 ;175 ;;;;
Hällum ;;300 ;;600 ;;600 ;;5,256 ;;800 ;12,000 ;3.572 ;800 ;12 ;900 ;..... ;1.800 ;100 ;10 ;5 ;1.000 ;3,000 ;60 ;;;;170 ;45 ;;;;;
Kedum ;;120 ;;2,500 ;50 ;600 ;60 ;9,240 ;60 ;600 ;25,500 ;1.000 ;200 ;18 ;350 ;8 ;15,000 ;;150 ;;;;160 ;40 ;13 ;;400 ;160 ;230 ;;;;
Lekasa ;3 ;85 ;;1,430 ;32 ;350 ;45 ;7.000 ;155 ;1.000 ;20,000 ;850 ;300 ;5 ;400 ;- ;9.100 ;850 ;95 ;45 ;- ;14,000 ;82 ;22 ;34 ;;285 ;155 ;265 ;;;;
Levene, del ;;;;500 ;;200 ;;3,000 ;- ;180 ;12,000 ;250 ;100 ;- ;100 ;;3,000 ;;;;;;40 ;;;;63 ;22 ;40 ;;;;
Long ;;400 ;;1,800 ;;2.500 ;;9,000 ;- ;1.600 ;42,000 ;- ;1.200 ;;1,200 ;;16.000 ;2.000 ;72 ;- ;4.000 ;14,000 ;130 ;;30 ;;400 ;100 ;200 ;;;;
Naum ;2 ;75 ;;5,080 ;48 ;150 ;60 ;8,525 ;- ;160 ;38,300 ;;225 ;10 ;300 ;;27,940 ;- ;96 ;- ;- ;;158 ;60 ;25 ;;850 ;100 ;250 ;;;;
Ryda med Halfas ;;1,500 ;;2,000 ;;1,020 ;;9.600 ;;760 ;10.000 ;1.125 ;2.000 ;;4.500 ;- ;14,000 ;;;- ;;;275 ;;15 ;10 ;675 ;200 ;275 ;;;;
Sandbäck eller Kyrk&s ;2 ;;;950 ;;18 ;25 ;3.600 ;100 ;120 ;14,000 ;;50 ;14 ;;- ;7,600 ;1.000 ;36 ;7 ;600 ;3.985 ;36 ;;;;110 ;30 ;85 ;;;;
Skarstad ;- ;438 ;;1.314 ;;920 ;- ;8.065 ;;1.620 ;36.130 ;1.095 ;876 ;- ;1,752 ;- ;6.570 ;- ;;;- ;117 ;250 ;;16 ;;285 ;146 ;365 ;;;;
Vara. ;- ;200 ;;1,000 ;25 ;975 ;;6.250 ;50 ;600 ;30,400 ;750 ;750 ;..... ;800 ;- ;4.000 ;- ;50 ;- ;- ;;142 ;;;;300 ;30 ;140 ;;;;
Asaka ;;;;2,200 ;;;18 ;3.250 ;50 ;120 ;20,100 ;300 ;70 ;;40 ;;6.000 ;;130 ;;;;100 ;;;;250 ;200 ;250 ;;;;
Onum ;2 ;450 ;;2,000 ;10 ;400 ;24 ;7.000 ;50 ;600 ;32,000 ;1.150 ;270 ;8 ;1.800 ;30 ;12,000 ;- - ;25 ;- ;- ;7,000 ;130 ;35 ;;;300 ;60 ;200 ;;;;
Summa Barne härad ;20 ;3.780 ;12 ;30,559 ;403 ;8,323 ;278 ;91,711 ;628 ;9.530 ;376,280 ;10,518 ;7,16L ;75 ;13,037 ;38 ;175,685 ;3.950 ;1.009 ;77 ;5.600 ;42,102 ;1,908 ;471 ;264 ;81 ;4,791 ;1,548 ;2,990 ;;1,101 ;;
Broby ;- ;20 ;;250 ;;225 ;- ;2,220 ;;150 ;14,000 ;- ;120 ;;80 ;- ;1.250 ;- ;18 ;- ;- ;- ;35 ;12 ;30 ;;96 ;34 ;80 ;;;;
Hangelösa ;2 ;155 ;;2,000 ;10 ;515 ;75 ;3.400 ;18 ;220 ;30,548 ;;80 ;12 ;180 ;- ;12,000 ;;40 ;26 ;- ;;;38 ;40 ;;450 ;145 ;300 ;;150 ;;
Hasalösa ;- the ;;;950 ;16 ;100 ;120 ;3.300 ;;450 ;24,650 ;;130 ;- ;40 ;;3.800 ;10.000 ;50 ;;;2,400 ;110 ;;28 ;;290 ;70 ;100 ;;;;
Husaby ;- ;140 ;;5,000 ;72 ;1.200 ;150 ;5,100 ;- ;2,400 ;10.500 ;1,100 ;187 ;- ;350 ;- ;25,000 ;;;29 ;- ;;144 ;50 ;100 ;;370 ;170 ;500 ;;100 ;;
Hofby ;- ;100 ;;1,250 ;9 ;75 ;200 ;2,000 ;- ;750 ;32.000 ;- ;200 ;- ;50 ;- ;5,000 ;2.000 ;20 ;20 ;700 ;1.500 ;90 ;20 ;20 ;;320 ;50 ;100 ;;30 ;;





