Table: Table_1

1. ;2. ;3. ;4. ;;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17. ;18. ;19. ;20. ;21. ;22. ;23. ;24 ;25. ;26. ;27. ;28. ;29. ;30. ;31 ;32. ;33. ;34. ;35 ;
Hângadala ;16 ;27 ;16 ;;5 ;1,285 ;219 ;- ;1 ;7 ;20 ;- ;16 ;7 ;20 ;;214 ;307 ;7 ;107 ;5 ;3 ;15 ;413 ;;214 ;6 ;- ;1,342 ;;101 ;3,219 ;;76 ;
Härja ;13,84 ;103 ;20 ;;4 ;1,140 ;1,148 ;1,313 ;- ;;;;;;- ;;205 ;490 ;- ;130 ;;5 ;;101 ;;205 ;;;1,230 ;18 ;60 ;6,000 ;;;
Hömb ;8,75 ;14 ;24 ;;12 ;972 ;649 ;718 ;- ;;;;;;;;150 ;319 ;- ;38 ;8 ;4 ;60 ;243 ;;150 ;91 ;- ;656 ;;;2,860 ;;;
Karleby ;30,13 ;103 ;;15 ;12 ;1,750 ;246 ;7 ;8 ;60 ;;;;;;;;;;;;;;;;;8 ;;1,230 ;;1,000 ;8.000 ;300 ;;
Kelfvene ;9,50 ;26 ;;;4 ;763 ;150 ;;- ;15 ;;;;;;;75 ;550 ;2 ;40 ;;;;100 ;;75 ;- ;;450 ;;94 ;2.500 ;239 ;;
Kungslena ;29,75 ;95 ;11 ;;;2,600 ;433 ;1,000 ;;;;;;;;;630 ;1,800 ;20 ;100 ;50 ;;;;;;;;2,840 ;;189 ;12,000 ;252 ;;
Korsberga ;;94 ;71 ;;7 ;2,310 ;1,700 ;3,080 ;14 ;57 ;;;;;4 ;;600 ;876 ;35 ;105 ;;;;200 ;;400 ;252 ;38 ;2,558 ;;;7,188 ;132 ;;
;20,63 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kylingared, en del. ;4,00 ;15 ;11 ;;1 ;150 ;49 ;200 ;3 ;7 ;;;;;;;15 ;80 ;- ;45 ;;;;;;15 ;- ;6 ;94 ;25 ;25 ;945 ;;;
Kymbo ;13,75 ;35 ;25 ;;4 ;847 ;620 ;800 ;;;;;;;;;130 ;440 ;;60 ;;;;75 ;;140 ;- ;;655 ;;30 ;3,520 ;;;
Luttra ;20,88 ;52 ;;;4 ;980 ;40 ;;;17 ;;;;;8 ;1 ;155 ;530 ;6 ;60 ;;;;105 ;;74 ;;;1,000 ;- ;600 ;4,800 ;200 ;;
Mularp ;12,88 ;22 ;27 ;;17 ;973 ;100 ;1,260 ;2 ;12 ;;;;;;;80 ;330 ;100 ;44 ;30 ;;;200 ;10 ;86 ;40 ;;560 ;;240 ;3,200 ;100 ;;
Nykyrka ;10,38 ;47 ;21 ;;10 ;523 ;1,097 ;1,200 ;5 ;32 ;;;;;;;70 ;323 ;;120 ;;;;10 ;;70 ;;- ;360 ;60 ;;2,520 ;600 ;;
Nas ;11,25 ;30 ;;8 ;4 ;1,050 ;50 ;125 ;2 ;17 ;;;;;10 ;;150 ;340 ;5 ;50 ;9 ;;;15 ;;150 ;25 ;;900 ;;190 ;2,200 ;;;
Ottravad ;8,94 ;22 ;25 ;;6 ;527 ;250 ;300 ;;;;;;;;;100 ;222 ;3 ;50 ;;;;45 ;;100 ;10 ;X 5 ;450 ;;15 ;2,420 ;10 ;;
