Table: Table_1

1. ;2. ;3. ;4. ;5. ;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17. ;18. ;19. ;20. ;21. ;22. ;23. ;24. ;25. ;26. ;27. ;28. ;29. ;30. ;31. ;32. ;33. ;34. ;35. ;
Svenneby ;8,88 ;10 ;12 ;2,780 ;20 ;1,100 ;600 ;1,060 ;- ;7 ;2 ;1 ;;7 ;2 ;1 ;161 ;366 ;50 ;62 ;- ;- ;- ;300 ;- ;161 ;161 ;- ;322 ;- ;- ;2,196 ;- ;150 ;
Säter ;22,81 ;46 ;80 ;4,312 ;30 ;1.178 ;1,170 ;2,034 ;41 ;20 ;6 ;;;10 ;5 ;;290 ;372 ;28 ;73 ;;3 ;- ;130 ;- ;282 ;50 ;- ;1,600 ;- ;220 ;3,092 ;- ;134 ;
Torsö ;31,44 ;97 ;176 ;8,539 ;47 ;1,520 ;559 ;6,413 ;43 ;43 ;3 ;2 ;4 ;2 ;;;320 ;600 ;30 ;150 ;20 ;- ;- ;420 ;- ;240 ;45 ;- ;1,420 ;- ;80 ;3,800 ;;200 ;
Tidavad ;12,25 ;49 ;26 ;1,910 ;10 ;676 ;612 ;612 ;6 ;38 ;;;;;3 ;;103 ;200 ;6 ;30 ;16 ;;206 ;;12 ;103 ;157 ;- ;346 ;- ;;1,298 ;;151 ;
Tived ;13,89 ;180 ;34 ;2,142 ;2 ;879 ;1,261 ;- ;120 ;44 ;;;128 ;;;;107 ;200 ;10 ;100 ;10 ;20 ;;322 ;- ;110 ;;X 4 ;600 ;6 ;12 ;1,050 ;X 20 ;GO ;
Trästena ;15,88 ;25 ;36 ;;12 ;1,679 ;10 ;- ;11 ;17 ;2 ;;;19 ;6 ;X 2 ;220 ;586 ;10 ;50 ;;3 ;100 ;501 ;- ;209 ;374 ;- ;760 ;- ;;5,274 ;;40 ;
Timmersdala ;9,50 ;48 ;7 ;862 ;14 ;480 ;150 ;216 ;12 ;34 ;;;;;;;78 ;120 ;15 ;45 ;7 ;5 ;100 ;218 ;--- ;78 ;113 ;- ;378 ;- ;25 ;993 ;113 ;50 ;
Ullervad ;24,88 ;77 ;46 ;6,076 ;44 ;2,518 ;634 ;1,590 ;8 ;45 ;24 ;;;50 ;24 ;;383 ;587 ;36 ;73 ;6 ;2 ;289 ;762 ;- ;383 ;366 ;;1,444 ;- ;X 12 ;4,535 ;- ;142 ;
Utby ;17,27 ;38 ;26 ;3,181 ;13 ;1.531 ;384 ;900 ;7 ;29 ;4 ;1 ;5 ;28 ;4 ;1 ;288 ;461 ;60 ;31 ;2 ;1 ;114 ;289 ;- ;287 ;350 ;10 ;725 ;- ;20 ;2,011 ;- ;225 ;
Undenäs ;43,88 ;313 ;195 ;;- ;5,260 ;2,215 ;;9 ;186 ;9 ;3 ;;102 ;2 ;2 ;985 ;1,345 ;50 ;310 ;;115 ;120 ;1,515 ;- ;820 ;205 ;- ;4,730 ;190 ;50 ;12,950 ;200 ;160 ;
Vad. ;12,75 ;28 ;16 ;1,990 ;20 ;1.880 ;280 ;310 ;1 ;9 ;10 ;1 ;;3 ;4 ;;280 ;396 ;20 ;24 ;4 ;- ;100 ;280 ;- ;280 ;540 ;;590 ;- ;25 ;2,436 ;- ;100 ;
Väring ;24 ;100 ;GO ;4,200 ;4 ;1,810 ;50 ;2,336 ;12 ;36 ;21 ;;;- ;- ;1 ;400 ;450 ;50 ;50 ;- ;- ;-- ;680 ;--- ;250 ;724 ;X 14 ;1,185 ;- ;20 ;2,180 ;- ;160 ;
Vadsbe härad ;1.008 ;4,620 ;3,205 ;229,192 ;898 ;87,111 ;23,327 ;96,451 ;1,125 ;2,363 ;386 ;39 ;638 ;1,061 ;278 ;26 ;16,160 ;28.131 ;2.222 ;4.340 ;429 ;550 ;4.979 ;25.415 ;116 ;15.332 ;15,582 ;240 ;64.827 ;464 ;2,984 ;213.976 ;775 ;8.993 ;
Summa for landsbygden ;4,726,75 ;18,140 ;12,610 ;1,090,667 ;5.432 ;458.316 ;120,011 ;354,447 ;2,586 ;9,655 ;2,723 ;259 ;2,420 ;4,260 ;1,196 ;138 ;67,775 ;168.312 ;10,241 ;22,143 ;3.299 ;1,649 ;43,558 ;97,234 ;290 ;64.979 ;47,118 ;1.016 ;308,637 ;3,713 ;53,079 ;1,284.763 ;52,039 ;38,525 ;
Mariestad ;4 ;500 ;32 ;2,435 ;26 ;780 ;8 ;600 ;28 ;22 ;3 ;- ;10 ;5 ;1 ;- ;120 ;194 ;4 ;10 ;2 ;- ;- ;350 ;- ;100 ;160 ;- ;320 ;- ;10 ;1,300 ;- ;15 ;
Lidköping ;16 ;105 ;5 ;2,962 ;- ;947 ;;2,014 ;48) ;34 ;5 ;- ;20 ;13 ;- ;- ;213 ;230 ;;15 ;16 ;- - ;- ;473 ;- ;;;- ;745 ;- ;60 ;2,034 ;- ;;
Skara ;20 ;198 ;31 ;2,976 ;33 ;1,850 ;51 ;1,042 ;87 ;92 ;17 ;2 ;7) ;6 ;- ;- ;245 ;520 ;40 ;90 ;15 ;2 ;228 ;465 ;- ;245 ;46 ;X 3 ;138 ;- ;46 ;603 ;49 ;11 ;
Sköfde ;4 ;64 ;22 ;1,553 ;80 ;535 ;603 ;335 ;8 ;50 ;4 ;;2. ;5 ;- ;- ;100 ;214 ;31 ;91 ;27 ;- ;;32 ;80 ;91 ;63 ;- ;590 ;- ;;1,320 ;-- ;100 ;
Falköping ;25,67 ;22 ;20 ;1,954 ;15 ;1,740 ;150 ;49 ;;;;;;;- ;- ;106 ;710 ;70 ;70 ;70 ;- ;249 ;530 ;- ;100 ;;;600 ;- ;1,500 ;5,172 ;- ;30 ;
Hjo ;3,25 ;- ;4 ;1,677 ;3 ;735 ;35 ;202 ;8i ;20 ;9 ;- ;5 ;9 ;- ;- - ;120 ;200 ;3 ;142 ;22 ;- ;25 ;136 ;- ;120 ;12 ;10 ;610 ;70 ;- ;1,630 ;10 ;20 ;
Summa for staderna ;72,92 ;889 ;114 ;13,557 ;157 ;6.597 ;847 ;4.242 ;179 ;218 ;X 38 ;2 ;44 ;38 ;1 ;- ;901 ;2.068 ;148 ;418 ;152 ;2 ;502 ;1,986 ;X 30 ;656 ;281 ;13 ;3.003 ;70 ;1.616 ;12.059 ;59 ;176 ;
Summa för hela läuet ;4,799,67 ;19,029 ;12,724 ;1,104,224 ;5,589 ;464,9°3 ;120,858 ;358,669 ;2,765 ;9,873 ;2,761 ;261 ;2,464 ;4,298 ;1,197 ;138 II ;68,679 ;170,380 ;10,389 ;22,561 ;3.451 ;1,611 ;44,060 ;99.220 ;320 ;65,635 ;47,399 ;1,029 ;311,640 ;3.783 ;54695 ;1.296,822 ;52,098 ;38,701 ;





