Table: Table_1

1. | ;36. ;37. ;38. ;39. ;40. ;;44 ;45. ;46. ;47. ;48. ;49. ;50. ;51. ;52. ;53. ;54. ;55 ;56. ;58. ;59. ;60. ;61. ;66. ;67. ;68. ;69. ;70. ;71. ;72. ;73. ;74. ;75 ;
Härja ;;;- ;3,600 ;32 ;;;- ;4,400 ;180 ;190 ;9,500 ;160 ;;- ;- ;;16,800 ;;12 ;- ;- ;;33 ;4 ;160 ;;2G0 ;280 ;480 ;- ;;200 ;
Hömb ;;100 ;;1,680 ;;;480 ;;3,970 ;;140 ;12,390 ;;;- ;;;10,080 ;;;;;16,500 ;;;86 ;;220 ;115 ;290 ;;;;
Karleby ;;;;5,830 ;X ;;;;6,780 ;X 80 ;5,700 ;31,400 ;2,850 ;650 ;;560 ;;29,150 ;- ;60 ;15 ;;600 ;;18 ;180 ;;;120 ;;;;;
Kelfvene ;;;;1.197 3,150 ;;;;;2,461 8,400 ;;X 378 650 ;9,576 37,000 ;957 700 ;250 ;;- ;;5,985 9,000 ;;;;;2,000 ;;;46 120 ;;;;150 ;;;;
Kungslena ;;;;3,874 ;;;;X ;14,547 ;30 ;;28,901 ;;301 ;;;;;;;;;;;15 ;;;;;;;;;
Korsberga ;;;;;;;;;;;;;554 ;;;- ;;18,717 ;;;;;;;;229 ;;;;;;;;
Kylingared, en del ;;;;1,134 ;;;;;693 ;X 175 ;217 ;6,615 ;;;;;;9,072 ;;;2,50 ;;;;;;;;;;;;;
Kymbo ;;;;945 ;;;;;3,042 ;;;12,600 ;160 ;114 ;;;;5,670 ;;;;;;;;;;;;;;;;
Luttra ;;;;2,600 ;;;;;5.136 ;;5,152 ;14,040 ;210 ;180 ;;9G ;;10,400 ;;;;;;;;100 ;;;;;;;;
;;;;;;;;;3,430 ;;2,840 ;18,600 ;980 ;;;490 ;;;1,200 ;;;;;;;;;;;;;;;
Mularp ;;;;1,848 ;;;;;;135 ;;;1,750 ;625 ;;;;7,892 ;;;;;2,400 ;;;;;;;;;;;
Nykyrka ;;;;6,048 ;;;;;2,100 ;X ;400 ;6,320 ;;;;;;36,288 ;;;;;;;;;;;;;;;;
Ottravad ;;;;2,570 1,890 ;;;;;5,068 2,882 ;;966 60 ;11,716 13,545 ;693 ;300 60 ;;45 ;;12,850 11,340 ;- ;;12 ;;;;10 ;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
