Table: Table_1

1. ;36. ;37 ;38. ;39 ;40 ;41. ;;49. ;43 41. ;15. ;46. ;47. ;48. ;49. ;50. ;51. ;52. ;53. ;54 ;55. ;56. ;57. ;58 ;59 ;60 ;61. ;62. ;66. ;67. ;68. ;69. ;70. ;71. ;72 ;73. ;;74 ;75 ;
Wâmb Ohm, Bjärby Amundtorp ;- - ;- ;-- ;3,600 680 ;- ;-- ;;;- - 189 ;;2,100 2.116 ;;300 ;7,200 9.450 ;1,200 ;240 126 ;-- - ;- - ;-- ;14,000 2.721 ;- ;- ;;- ;- ;-- ;- ;50 20 ;10 8 ;30 88 ;3 3 ;120 150 ;50 60 ;200 200 ;;- ;50 35 ;- ;
Summa, Kâkinds härad ;- ;353 ;;78,470 ;519 ;;;;6.870 ;5 ;125,058 ;1.131 ;3.455 ;314,623 ;2874 ;4,263 ;- ;1,512 ;;311,252 ;3 200 ;180 ;941 ;185 ;8,000 ;52.100 ;- ;908 ;110 ;2,862 ;117 ;6,137 ;2,062 ;7,008 ;;12 ;2,010 ;- ;
Acklinga ;- ;- ;;1,550 ;6 ;;;- ;216 ;;3,760 ;;100 ;12,945 ;- ;60 ;- ;- ;- ;4,750 ;- ;- ;;- ;- ;- ;- ;39 ;2 ;96 ;5 ;252 ;;;;;;;
Agnetorp ;- ;15 ;;3,600 ;36 ;;;;200 ;;7,680 ;;92 ;18,800 ;630 ;54 ;- ;75 ;- ;17,550 ;200 ;600 ;100 ;40 ;- ;;- ;80 ;16 ;190 ;6 ;380 ;120 203 ;210 ;;- ;69 ;- ;
Baltack ;- - ;5 ;;1,800 ;16 ;;;- ;- 45 ;;3,100 ;- ;40 ;8,800 ;- ;50 ;- ;20 ;- ;10,500 ;100 ;- ;30 ;20 ;- ;;;27 ;;;;;;470 ;;- ;90 ;;
Bjurbäck ;- ;- ;-- ;3,780 ;;;;- ;---- - ;;3,576 ;252 ;252 ;10,473 ;1,605 ;;;- ;-- ;22,680 ;- ;- ;- ;-- ;;- - ;;30 ;7 3 ;92) ;4 ;160 ;95 ;172 ;;- ;40 ;;
Brandstorp ;1 ;- ;;4,599 ;44 ;;;- ;- 25 ;31 ;3,924 ;X 207 ;69 ;10,262 ;649 ;63 ;12 ;;- ;34,713 ;- ;;88 ;- ;- ;;;21 ;;100 168 ;8 5 ;220 250 ;65 ;250 ;;- ;60 ;;
Dimbo ;- ;20 ;;2,100 ;;- ;;;- 150 ;40 ;8,000 ;640 ;800 ;16,000 ;400 ;80 ;;100 ;;12,960 ;101) ;2.000 ;30 ;;;- ;;100 ;44 ;288 ;10 ;4:32 ;108 ;300 ;;5 ;50 ;;
Falköpings landssocken ;- ;- ;- ;1,260 ;- ;- ;;- ;;- ;- ;- ;- ;- ;- ;-- ;;;;;- ;;;;- ;;;40 ;10 ;52 ;6 ;295 ;288 40 ;450 ;;- ;300 ;;
Fridened ;- ;G ;;1,100 ;54 ;;;;700 ;- ;3,050 ;- ;;10,540 ;;230 ;;30 ;- ;4,550 ;;- ;220 ;33 ;- ;8.450 ;;42 ;3 ;120 ;3 ;240 ;120 ;225 250 ;;- ;50 60 ;;
Fröjered ;;95 ;;2,255 ;60 ;;;;665 ;64 ;11,050 ;X 100 ;195 ;23,500 ;145 ;180 ;- ;135 ;- ;13,490 ;- ;- ;180 ;;- ;- ;;75 ;10 ;290 ;13 ;439 ;220 ;560 ;;- ;85 ;;
Gerum ;;- ;- ;1,965 ;12 ;;;;- - ;;2,948 ;- ;630 ;7,358 ;;189 ;;- ;- ;11,793 ;- ;--- ;37 ;5 ;- ;2.340 ;- ;31 ;8 ;60 ;;98 ;37 ;195 ;;- ;39 ;;
Gustaf Adolf och Habo ;7 ;;;19:350 ;92 ;;;;215 ;30 ;31,607 ;355 ;201 ;101,550 ;:615 ;230 ;X 39 ;- ;- ;134,021 ;-- ;- ;368 ;;- ;- ;;154 ;14 ;740 ;62 ;1,520 ;446 ;2,025 ;;6 ;630 ;-- - ;
IIvarf ;;;;2,520 ;;;;;126 ;;4,095 ;;;12,600 ;;189 ;;- ;- ;12,600 ;-- ;- ;;- ;- ;- ;;25 ;5 ;90 ;3 ;125 ;90 ;100 ;;- ;55 ;- ;
FIvalstad ;;31 ;;6,000 ;25 ;;;;;;12,02 ;;756 ;25,900 ;- ;93 ;- ;- ;- ;30,000 ;-- ;-- ;50 ;30 ;- ;- ;;50 ;8 ;200 ;6 ;200 ;100 ;300 ;;- ;200 ;- ;
Hângsdala ;--- ;;;;9 ;;;;50 ;;9,393 ;;806 ;19,3115 ;- ;GOA ;- ;- ;- ;26,961 ;- ;- ;94 ;;-- ;- ;;64 ;5 ;128 ;4 ;192 ;80 ;256 ;;;;;
Harja ;;40 ;;4,000 ;32 ;;;;- ;;25,969 ;X 90 ;;12,450 ;- ;- ;;X 160 ;- ;22,000 ;- ;---- ;;15 ;- ;600 ;;49 ;2 ;180 ;8 ;290 ;200 ;500 ;;- ;64 50 ;- ;
Hömb ;-- -- ;50 ;- ;825 ;11 ;;;;- 126 ;- ;1,480 ;;- ;8,621 ;;4 ;-- ;;- ;3,231 ;- ;- ;;10 ;- ;-- ;;45 ;5 ;74 ;3 ;152 ;72 ;195 ;;- ;;- ;
Karleby ;- ;157 ;--- ;5,670 ;80 ;- ;;;21 ;no ;2,775 ;X GO ;3,880 ;30,960 ;2,400 ;- ;;X 628 ;- ;17,010 ;- ;- ;160 ;40 ;- ;5,000 ;;80 ;20 ;180 ;10 ;250 ;150 ;250 ;;- ;62 ;- ;
Kjelfvened ;- ;- ;;912 ;;;;;- 30 ;- ;555 ;;300 ;13,700 ;360 ;200 ;- ;- ;- ;2,736 ;- ;- ;;;-- ;2,300 ;;30 ;10 ;70 ;3 ;120 ;80 ;190 ;;- - ;200 28 ;;
Kongalena ;- ;;;3,154 ;;;;- ;- ;;7,560 ;;567 ;37,107 ;756 ;126 ;;- ;- ;11,340 ;- ;- ;;-- ;- ;;;50 ;10 ;87 ;4 ;300 ;50 ;300 ;;;;- ;
Korsberga ;-- ;12 ;-- ;3,833 ;61 ;;;- ;1,178 ;131 ;11,107 ;X 151 ;;22,604 ;816 ;318 ;;;- ;17,041 ;1,008 ;- ;;- ;- ;- ;;68 ;6 ;243 ;9 ;451 ;163 ;552 ;;;110 103 ;;
Kylingared, del ;- ;- ;- ;945 ;2 ;- ;;- ;- - ;- ;806 ;X 94 ;176 ;3,830 ;- ;- ;;- ;- ;7,308 ;126 ;- ;;2 ;- ;;- ;14 ;2 ;24 ;2 ;50 ;20 ;75 ;;- - ;16 ;- - ;
Kymbo ;- ;- ;;1,575 ;3 ;- ;;- ;- - ;- ;1,008 ;;25 ;13,112 ;252 ;12 ;;- ;- ;6,300 ;63 ;63 ;;3 ;- ;4,000 ;;30 ;5 ;72 ;2 ;95 ;75 ;110 ;;- ;35 ;- ;
Luttra ;- ;;;2,520 ;6 ;;;;- ;- ;3,402 ;;3,402 ;17,784 ;;- ;- ;- ;- ;7,560 ;- ;- ;;- ;- ;;;80 ;20 ;160 ;20 ;160 ;60 ;250 ;;- ;80 ;- ;
Mularp ;- ;X 3400 ;;1,800 ;18 ;- ;;- ;144 ;- ;2,500 ;;2,500 ;12,550 ;960 ;500 ;- ;1.440 ;- ;7,200 ;3,000 ;- ;- ;- ;- ;- ;;45 ;10 ;48 ;4 ;140 ;50 ;160 ;;- ;60 ;;
Nykyrka ;- ;- ;- ;4,368 ;;- ;;- ;- ;- ;2,400 ;135 ;;2,556 ;975 ;-- ;;- ;- ;26,208 ;- ;- ;;- ;- ;3,830 ;;17 ;;86 ;5 ;215 ;48 ;250 ;;- ;42) ;;
Näs ;- ;18 ;- ;2,570 ;12 ;;;- ;-- - ;- ;2,173 ;;567 ;13,242 ;G93 ;302 ;;X 56 ;- ;10,281 ;- ;- ;X 25 ;5 ;- ;5,500 ;;40 ;9 ;69 ;3 ;102 ;X 30 ;225 ;;- ;20 ;- ;
Ottrafva ;- ;;- ;1,890 ;12 ;- ;;- ;- - ;;2.646 ;;63 ;10,710 ;;63 ;;- ;- ;11,970 ;- ;- ;;X 40 ;- ;2,400 ;;18 ;1 ;30 ;2 ;60 ;28 ;90 ;;- ;40 ;;
Sandhem ;- ;- ;;10,000 ;;;;- - ;- ;;8,300 ;- ;;13,800 ;4,300 ;- ;- ;- ;- ;60,000 ;- ;- ;- ;- ;- ;- ;;45 ;;400 ;18 ;600 ;210 ;1,100 ;;- ;185 ;- ;
Skörstorp ;;DO ;;5,040 ;12 ;;;- ;- - ;- ;3,150 ;- ;945 ;18,900 ;1,102 ;151 ;- ;- ;- ;20,160 ;2,520 ;- ;;- ;- ;- ;- ;45 ;10 ;90 ;3 ;140 ;50 ;80 ;;- ;60 ;- ;
Slöta och Faleqvarna ;- ;- ;- ;5,695 ;;;;;- ;;11,585 ;- ;8,164 ;84,885 ;1,134 ;989 ;;- ;- ;22,780 ;- ;7,560 ;- ;- ;- ;- ;- ;120 ;50 ;308 ;25 ;525 ;300 ;475 ;;- ;200 ;--- ;
Suntack ;;32 ;;1,090 ;10 ;- ;;- ;- 34 ;- ;3,390 ;;105 ;7,967 ;;37 ;;X 147 ;- ;6,554 ;- ;- ;;6.40 ;- ;90 ;- ;21 ;;67 ;3 ;114 ;59 ;109 ;;- ;35 ;- ;
Tiarp ;- ;X 20 ;- ;1,000 ;15 ;- ;;- ;- - ;- ;1,800 ;;1,500 ;18,000 ;350 ;300 ;- ;- ;- ;4.000 ;- ;- ;80 ;;- ;5,000 ;;45 ;5 ;72 ;4 ;146 ;120 ;160 ;;- ;40 ;- ;
Utvängstorp ;- ;- ;- ;3,240 ;2 ;- ;;- ;- ;;480 ;164 ;;8,900 ;400 ;- ;- ;- ;- ;22,680 ;- ;- ;;;- ;- ;;8 ;2 ;128 ;;135 ;15 ;125 ;;- ;40 ;- ;
