Table: Table_1

1. ;36. ;37. ;38. ;39. ;40. ;44. ;45. ;46. ;47. ;48. ;49. ;50. ;51. ;52 ;53. ;54. ;55. ;56, ;58. ;59. ;66. ;67. ;68. ;69 ;70. ;71. ;72. ;73. ;74. ;75. ;
Trökörna ;- ;85 ;- ;1,400 ;- ;3,600 ;- ;11,880 ;- ;300 ;38,115 ;150 ;540 ;- ;510 ;- ;12,600 ;- ;- ;60 ;144 ;35 ;39 ;10 ;360 ;140 ;278 ;- ;83 ;;
Summa Viste härad ;20 ;1,630 ;- ;17,110 ;140 ;21,028 ;X 100 ;111,138 ;- ;12,533 ;412,880 ;10,370 ;16,955 ;160 ;8,940 ;- ;134,230 ;33,000 ;550 ;70 ;1,544 ;345 ;271 ;88 ;4,005 ;1,417 ;3,221 ;- ;1,011 ;- ;
Gösalunda ;5 ;665 ;- ;1,365 ;25 ;2,500 ;- ;6,600 ;- ;1,700 ;31,800 ;960 ;2,280 ;20 ;2,660 ;- ;8,180 ;- ;80 ;;190 ;26 ;34 ;2 ;275 ;160 ;290 ;- ;62 ;- ;
Hjerpâs, Höra och Vedum ;- ;;- ;2,736 ;40 ;7,500 ;- ;21,600 ;X 450 ;1,920 ;88,880 ;10,290 ;2,880 ;;;- ;27,360 ;66,000 ;110 ;25 ;290 ;70 ;30 ;14 ;600 ;200 ;600 ;- ;300 ;;
;3 ;150 ;;370 ;;135 ;X 28 ;1,715 ;- ;300 ;12,000 ;525 ;600 ;10 ;620 ;- ;1,100 ;- ;15 ;;80 ;22 ;25 ;5 ;275 ;80 ;100 ;- ;42 ;;
Häggesled ;;;- ;;5 ;;;;;;;;;;;;;;;;;;;;;;;;;;
Kedum ;- ;145 ;- ;277 ;6 ;1,644 ;- ;2,520 ;- ;516 ;15,183 ;;693 ;- ;1,159 ;- ;1,940 ;- ;4 ;7 ;58 ;12 ;26 ;2 ;114 162 ;55 ;96 ;- ;16 ;;
Lavad ;;36 ;- ;956 ;24 ;1,920 ;- ;4,336 ;- ;1,134 ;26,544 ;798 ;1,344 ;- ;252 ;- ;7,648 ;- ;- ;- ;75 ;;37 ;5 ;;91 ;163 ;- ;29 ;;
Levene, del Mellby ;- - ;284 200 ;- - ;1,260 1.500 ;- ;3.520 4.000 ;- - ;12,672 13,600 ;- - ;2,744 660 ;30,348 30,500 ;2,400 - ;1,540 750 ;- - ;1,988 ;- - ;10,080 15,000 ;- ;- ;- - ;150 160 ;30 40 ;6 ;4 6 ;250 300 ;80 150 ;10 30 ;- - ;80 100 ;;
Otterstad med Senäte ;- ;309 ;;3.680 ;6 ;7.581 ;- ;13,088 ;- ;6.400 ;37,254 ;- ;4,690 ;- ;2,472 ;;29.440 ;9,491 ;30 ;6 ;181 ;;92 ;16 ;565 ;276 ;569 ;;163 ;;
