Table: Table_1

1 ;36. ;37. ;;X 38 ;39 ;40 ;41 ;;42 ;43 ;44. ;45 ;46. ;47 ;48. ;49. ;50. ;51. ;52. ;53 ;54. ;55. ;56. ;57. ;58. ;59. i ;60 ;61. ;62. ;GG. ;67. ;68. ;69. ;70. ;71. ;72. ;78. ;74. ;75. ;
Ed&sa ;-- ;- ;;- ;680 ;9 ;- ;;- ;-- ;176 ;---- ;3,465 ;;- ;10,080 ;;56 ;;- ;- ;1,890 ;- ;- ;- ;- ;- ;;- ;20 ;3 ;54 ;3 ;1GO ;100 ;168 ;- ;70 ;- ;
Palköpings landssocken ;- ;- ;;;1,058 ;;- ;;-- ;- ;;- ;1,260 ;- ;1,260 ;6,348 ;792 ;;- ;- ;- ;3,174 ;;;;;- ;- ;-- ;42 ;5 ;24 ;3 ;84 ;42 ;42) ;- ;42 ;- ;
Friggeräker ;- ;- ;;;1,000 ;15 ;- ;;- ;- ;60 ;- ;2,000 ;;2,500 ;16,000 ;250 ;150 ;;- ;;3,000 ;10,000 ;300 ;40 ;5 ;600 ;1,500 ;;40 ;13 ;80 ;3 ;120 ;70 ;50 ;- ;40 ;- ;
Gudhem ;- ;X 63 ;;;1,852 ;5 ;;;- ;- ;228 ;- ;4,107 ;- ;5,802 ;19,152 ;315 ;63 ;- ;- ;- ;7,883 ;91,350 ;- ;19 ;4 ;;- ;;84 ;42 ;88 ;7 ;357 ;147 ;273 ;- ;126 ;- ;
Hornborga ;- ;- ;;- ;2,677 ;;-- ;;- ;- ;- ;- ;2,520 ;- ;1,890 ;4,410 ;6,930 ;252 ;- ;- ;;10,710 ;6,800 ;;;- ;;;- ;50 ;;38 ;1 ;125 ;50 ;150 ;- ;40 ;30 ;
Häkantorp ;- ;- ;;- ;720 ;- ;;;;;65 ;- ;1,860 ;- ;245 ;5,420 ;553 ;79 ;- ;- ;- ;2,800 ;- ;;;- ;- ;- - ;- ;29 ;7 ;35 ;2 ;91 ;34 ;65, ;-- ;30 ;;
Högatena ;- ;- ;;;1,890 ;- ;;;;- ;- ;- ;2,217 ;--- ;1,134 ;11,151 ;1,171 ;283 ;-- ;- ;- ;9,450 ;- ;;;- ;;- ;- ;59 ;;68 ;3 ;118 ;59 ;136 ;- ;59 ;- ;
Kyrketorp ;- ;;;;840 ;10 ;;;;- ;50 ;- ;2,000 ;- ;1,080 ;4,000 ;1,400 ;60 ;- ;- ;;2,520 ;;- ;- ;12 ;;- ;;35 ;10 ;40 ;2 ;100 ;50 ;1GO ;- ;30 ;;
Ljunghem ;- ;X - ;;- ;617 ;6 ;;;- ;- ;37 ;- ;3,402 ;- ;;8,473 ;;;;- ;;1,852 ;3,780 ;;;6,4c ;;;;27 ;10 ;62 ;3 ;150 ;90 ;150 ;- ;30 ;- ;
Râdened ;- ;X - ;;- ;1,360 ;14 ;;;- ;- ;- ;- ;4,020 ;- ;910 ;13,250 ;;400 ;X -- ;X ;- ;5,540 ;;- ;;10 ;;- ;;30 ;;GG ;5 ;180 ;60 ;150 ;- ;50 ;- ;
Segeratad ;- ;X - ;;;900 ;20 ;;;- ;- ;100 ;;2,250 ;;875 ;11,770 ;750 ;400 ;;-- ;- ;4,100 ;;- ;- ;10 ;- ;2,000 ;;45 ;12 ;90 ;10 ;150 ;90 ;120 ;;;- ;
