Table: Table_1

;Norrsunda ;;37:500 ;23 ;- ;5 ;4 ;;;3 ;9 ;2 ;42 ;2,820 ;7 ;1,136 ;138 ;1,106 ;198 ;270 ;57 ;33 ;;;37 ;328 ;- ;213 ;164 ;1,480 ;356 ;3,780 ;1 ;7 ;- ;- ;141 ;915 ;11 ;
;Vassunda ;;40:125 ;51 ;1 ;19 ;8 ;3 ;;;13 ;;33 ;3,025 ;11 ;1,577 ;146 ;758 ;;365 ;34 ;29 ;212 ;0:5 ;20 ;479 ;- ;327 ;195 ;1,750 ;597 ;5,800 ;- ;- ;- ;- ;325 ;2,112 ;12 ;
;Haga ;;20:500 ;22 ;1 ;5 ;5 ;- ;1 ;1 ;6 ;3 ;19 ;1.843 ;2 ;814 ;36 ;602 ;170 ;176 ;14 ;20 ;;;;279 ;- ;155 ;143 ;1,270 ;271 ;2,615 ;- ;- ;- ;- ;179 ;1,160 ;13 ;
;S:t Olofs ;;24:375 ;8 ;;;1 ;- ;;2 ;3 ;2 ;35 ;2,201 ;6 ;867 ;80 ;870 ;167 ;197 ;18 ;30 ;05 ;0:5 ;- ;285 ;- ;169 ;112 ;1,000 ;311 ;2,810 ;- ;- ;- ;-- ;135 ;900 ;14 ;
15 ;S:t Pers ;;11:625 ;10 ;1 ;5 ;2 ;1 ;;1 ;;;6 ;896 ;2 ;429 ;23 ;331 ;84 ;130 ;9 ;18 ;;;- ;112 ;- ;76 ;53 ;480 ;157 ;1,490 ;- ;- ;- ;- ;58 ;360 ;15 ;
;;Erlinghundra härad ;284:375 ;311 ;6 ;89 ;50 ;12 ;6 ;55 ;82 ;11 ;294 ;25,663 ;71 ;10,528 ;872 ;9,233 ;2,057 ;2,522 ;296 ;289 ;9 ;2 ;57 ;3,252 ;- ;2,044 ;1,470 ;13,200 ;3,782 ;35,758 ;I ;7 ;- ;- ;1,967 ;12,779 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16 ;Skepptuna socken ;;46:375 ;60 ;- ;11 ;21 ;2 ;;7 ;17 ;1 ;47 ;3,816 ;6 ;1,939 ;87 ;1,395 ;347 ;500 ;64 ;47 ;- ;;- ;647 ;- ;333 ;228 ;2,070 ;735 ;6,900 ;- ;- ;- ;- ;816 ;2,050 ;16 ;
17 ;Lunda ;;21:500 ;25 ;;;19 ;2 ;;2 ;;;17 ;3,941 ;1 ;1,198 ;149 ;1,159 ;197 ;316 ;27 ;37 ;0 2 ;OS ;- ;4.32 ;- ;188 ;137 ;1,260 ;395 ;3,750 ;- ;- ;- ;- ;144 ;950 ;17 ;
;Vidbo ;;24:000 ;33 ;- ;10 ;4 ;1 ;;9 ;7 ;1 ;64 ;2,495 ;6 ;1,062 ;28 ;1,067 ;179 ;278 ;45 ;30 ;;2 ;- ;354 ;- ;174 ;123 ;1,100 ;418 ;8,970 ;- ;- ;- ;- ;142 ;920 ;18 ;
19) ;Skânela ;;32:750 ;80 ;- ;;12 ;;;;7 ;2 ;43 ;3,688 ;6 ;1,365 ;28 ;1,925 ;218 ;376 ;50 ;46 ;;;- ;459 ;;215 ;180 ;1.620 ;368 ;3,450 ;;- ;;;91 ;590 ;19 ;
20 ;Markims ;;201155 ;28 ;-- ;3 ;13 ;2 ;;1 ;8 ;;14 ;2,453 ;5 ;1,026 ;38 ;1,064 ;193 ;232 ;24 ;18 ;0:4 ;O'G ;- ;323 ;- ;235 ;135 ;1,210 ;375 ;8,500 ;- ;- ;-- ;- ;73 ;475 ;20 ;
;Orkesta ;;18:950 ;19 ;- ;3 ;5 ;1 ;;;;1 ;24 ;2,107 ;6 ;829 ;14 ;1,036 ;189 ;191 ;28 ;17 ;1:4 ;0,6 ;- ;312 ;- ;140 ;124 ;1,190 ;231 ;2.185 ;;;- ;- ;59 ;370 ;21 ;
22 ;Frösunda ;;32:125 ;50 ;- ;16 ;15 ;1 ;;7 ;9 ;1 ;49 ;4,013 ;8 ;1,492 ;46 ;1,945 ;230 ;375 ;56 ;45 ;1 ;1 ;- ;562 ;- ;232 ;167 ;1,500 ;448 ;4,300 ;- ;- ;-- ;---- ;177 ;1,150 ;;
;;Seminghundra härad ;195 125 ;245 ;- ;54 ;82 ;9 ;7 ;28 ;59 ;6 ;288 ;21,813 ;41 ;8,911 ;390 ;9,884 ;1,503 ;2,268 ;294 ;240 ;3 ;7 ;- ;3,089 ;- ;1,507 ;1,094 ;9,950 ;2,965 ;28,055 ;- ;- ;- ;- ;1,002 ;6,505 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28 ;Fresta ;socken ;21:000 ;21 ;- ;8 ;4 ;2 ;;3 ;4 ;- ;15 ;2,066 ;7 ;891 ;25 ;550 ;136 ;222 ;28 ;36 ;- ;- ;5 ;332 ;- ;132 ;90 ;815 ;276 ;2,620 ;- ;- ;- ;- ;92 ;600 ;28 ;
24 ;Hammarby ;;28:500 ;18 ;- ;2 ;4 ;2 ;1 ;3 ;6 ;- ;22 ;2,088 ;11 ;1,017 ;5 ;820 ;141 ;257 ;24 ;43 ;0,5 ;;15 ;392 ;- ;144 ;89 ;800 ;293 ;2,680 ;- - ;- ;- ;- ;82 ;520 ;194 ;
25 ;Vallentuna ;;49:500 ;60 ;1 ;21 ;15 ;2 ;;8 ;12 ;1 ;73 ;6,019 ;12 ;2,206 ;96 ;2,375 ;354 ;560 ;69 ;64 ;0:2 ;05 ;24: ;792 ;-- ;342 ;239 ;2,150 ;682 ;6,100 ;;- ;- ;- ;114 ;720 ;125 ;
26 ;Vada ;;17:500 ;18 ;- ;8 ;6 ;;;1 ;1 ;2 ;32 ;1,834 ;3 ;611 ;31 ;706 ;97 ;147 ;17 ;16 ;;- ;2 ;238 ;- ;94 ;56 ;520 ;188 ;1,800 ;- ;- ;- ;- ;66 ;430 ;36 ;
$7 ;Angarna ;;12:250 ;21 ;- ;8 ;11 ;;;;1 ;1 ;13 ;1,690 ;2 ;608 ;11 ;603 ;84 ;166 ;22 ;15 ;0:3 ;;0:2 ;241 ;;80'5 ;58 ;530 ;169 ;1,615 ;- ;- ;;;52 ;340 ;27 ;
18 ;Osseby-Garns ;, ;46:750 ;54 ;- ;11 ;18 ;7 ;1 ;10 ;7 ;- ;86 ;10,955 ;12 ;2,241 ;228 ;6,196 ;308 ;690 ;67 ;68 ;1 ;1:5 ;2 ;763 € ;- ;340 ;201 ;1,810 ;651 ;6,210 ;- ;- ;4 ;X 29 ;208 ;1,851 ;98 ;
;;Vallentuna härad ;175.500 ;192 ;I ;58 ;58 ;13 ;2 ;25 ;31 ;4 ;241 ;24,652 ;47 ;7,574 ;396 ;11,250 ;1,120 ;2,041 ;227 ;242 ;2 ;2 ;48'5 ;2,758 5 ;- ;1,133 ;733 ;6,625 ;2,259 ;21,025 ;- ;- ;4 ;29 ;614 ;3,961 ;;
89 ;Börstils socken ;;100-958 ;456 ;38 ;234 ;3 ;;148 ;28 ;5 ;- ;28 ;20,887 ;11 ;2,760 ;3,011 ;11,580 ;615 ;749 ;44 ;125 ;- ;9 ;- ;531 ;- ;687 ;199 ;1,800 ;1,538 ;14,558 ;- ;- ;- ;- ;759 ;4,940 ;199 ;
30 ;Edebo ;;65:375 ;160 ;51 ;95 ;- ;4 ;;;3 ;;36 ;12,735 ;6 ;2,839 ;863 ;6,900 ;423 ;593 ;87 ;48 ;6 ;;- ;688 ;- ;490 ;176 ;1,584 ;1,043 ;9,600 ;- ;;- ;- ;361 ;2,346 ;Iso ;
31 ;Forsmarks ;;11:417 ;11 ;;1 ;1 ;1 ;3 ;4 ;1 ;- ;6 ;7,269 ;5 ;275 ;806 ;4,644 ;48 ;76 ;6 ;11 ;;;- ;80 ;- ;54 ;9 ;80 ;125 ;1,187 ;2 ;17 ;- ;- ;79 ;500 ;31 ;
39 ;Gräsö ;;18:500 ;117 ;28 ;83 ;- ;;;5 ;1 ;- ;5 ;11,994 ;2 ;523 ;1,458 ;3,572 ;103 ;123 ;22 ;19 ;;2 ;-- ;110 ;- ;144 ;43 ;385 ;266 ;2,527 ;- ;;- ;;80 ;520 ;;
83 ;Hargs ;;47:695 ;148 ;;48 ;- ;1 ;42 ;56 ;1 ;- ;56 ;18,187 ;6 ;1,205 ;2,550 ;11,048 ;223 ;342 ;31 ;56 ;20 ;3 ;- ;263 ;- ;267 ;61 ;550 ;572 ;5,435 ;- ;- ;- ;;514 ;3,341 ;$3 ;
34 ;Hökhufvuds , ;;60:042 ;110 ;1 ;51 ;1 ;1 ;26 ;29 ;;- ;33 ;10,852 ;2 ;1,295 ;1,619 ;6,294 ;278 ;454 ;43 ;54 ;2 ;3 ;- ;172 ;- ;289 ;77 ;700 ;689 ;6,560 ;- ;-- ;- ;- ;580 ;3,770 ;84 ;
35 ;Valõ > ;;48 750 ;138 ;2 ;91 ;- ;- ;4 ;39 ;2 ;- ;65 ;17,252 ;4 ;1,393 ;2,558 ;8,999 ;330 ;440 ;26 ;54 ;;5 ;- ;185 ;- ;353 ;57 ;530 ;860 ;8,170 ;- ;- ;--- ;- ;536 ;3,484 ;85 ;
;;Frösskers härad ;352-667 ;1,140 ;120 ;603 ;5 ;7 ;223 ;168 ;14 ;- ;229 ;99,176 ;36 ;9,790 ;12,865 ;53,037 ;2,020 ;2,777 ;259 ;367 ;28 ;26 ;- ;2,029 ;- ;2,284 ;622 ;5,629 ;5,087 ;48,037 ;2 ;17 ;----- ;- ;2,009 ;18,901 ;;
36 ;Almunge socken ;;56:875 ;84 ;- ;40 ;16 ;- ;1 ;17 ;5 ;5 ;161 ;15,403 ;6 ;2,968 ;712 ;8.176 ;528 ;791 ;104 ;83 ;1 ;3 ;6 ;843 ;- ;609 ;267 ;2,400 ;1,221 ;11,590 ;- ;;- ;--- ;502 ;8.250 ;36 ;
37 ;Bladdkers , ;;21:250 ;42 ;;24 ;3 ;1 ;;13 ;1 ;;73 ;7,805 ;4 ;963 ;546 ;4,231 ;150 ;235 ;40 ;36 ;1 ;2 ;6 ;304 ;- ;189 ;55 ;495 ;366 ;3,480 ;;- ;;- ;154 ;1,000 ;;
38 ;Edsbro ;;28:083 ;103 ;1 ;75 ;8 ;;- ;19 ;- ;- ;42 ;9,375 ;1 ;1,229 ;989 ;4.925 ;220 ;318 ;46 ;55 ;- ;4 ;6 ;340 ;;240 ;97 ;870 ;520 ;4,945 ;- ;;;- ;202 ;1,310 ;38 ;
89 ;Faringe ;;31:875 ;57 ;;29 ;6 ;- ;- ;21 ;- ;1 ;49 ;6,310 ;2 ;1,204 ;574 ;2,922 ;231 ;302 ;41 ;84 ;- ;;8 ;276 ;- ;311 ;121 ;1,090 ;510 ;4,860 ;- ;- ;- ;-- ;208 ;1,350 ;89 ;
40 ;Knutby ;;52:167 ;79 ;1 ;29 ;10 ;3 ;;25 ;11 ;- ;94 ;14,564 ;7 ;2,376 ;788 ;7,971 ;419 ;620 ;81 ;87 ;;;18 ;660 ;- ;487 ;180 ;1,630 ;967 ;9,186 ;- ;-- ;;- ;382 ;2.480 ;40 ;
41 ;Ununge . ;;28:875 ;54 ;;34 ;5 ;1 ;1 ;12 ;1 ;- ;51 ;7,988 ;3 ;917 ;634 ;4,145 ;154 ;237 ;35 ;39 ;- ;8 ;;278 ;- ;171 ;54 ;485 ;364 ;3,470 ;- ;;- ;-- ;117 ;715 ;(41 ;
;Närdinghundra ;hürad ;218:625 ;419 ;2 ;231 ;48 ;5 ;2 ;107 ;18 ;6 ;470 ;01,445 ;23 ;9,657 ;4,243 ;32,370 ;1,702 ;2,503 ;347 ;334 ;2 ;17 ;44 ;2,701 ;- ;2,007 ;774 ;6,970 ;3,948 ;37,531 ;- ;- ;- ;- ;1,565 ;10,105 ;;
42 ;Väddö socken, ;;87:875 ;371 ;52 ;314 ;;- ;- ;3 ;2 ;- ;2 ;13,885 ;9 ;1,856 ;2,359 ;5,020 ;391 ;446 ;65 ;65 ;- ;7 ;- ;414 ;;468 ;94 ;850 ;669 ;6,365 ;- ;- ;----- ;--- ;193 ;1,300 ;42 ;
43 ;Häfverö ;;63:750 ;243 ;33 ;205 ;1 ;- ;- ;2 ;2 ;- ;8 ;13,354 ;5 ;1,394 ;1,508 ;7,750 ;275 ;341 ;41 ;58 ;- ;;- ;341 ;- ;330 ;159 ;1,440 ;1,230 ;11,685 ;- ;;- ;- ;287 ;1,750 ;43 ;
44 ;Singö , ;;13:500 ;65 ;8 ;55 ;;- ;- ;2 ;;- ;- ;3,356 ;1 ;272 ;343 ;1,826 ;60 ;70 ;5 ;10 ;- ;;- ;47 ;- ;79 ;17 ;155 ;111 ;1,060 ;- ;- ;- ;- ;27 ;180 ;44 ;
;Väddö och Häfverö ;skeppslag ;165:195 ;679 ;93 ;574 ;I ;- ;- ;7 ;4 ;- ;10 ;30,595 ;15 ;3,522 ;4,210 ;14,596 ;726 ;857 ;III ;133 ;- ;16 ;- ;802 ;- ;877 ;270 ;2,445 ;2.010 ;19,110 ;- ;- ;- ;--- ;507 ;3,230 ;;
45 ;Söderby-Karls ;socken. ;71:500 ;142 ;7 ;99 ;12 ;2 ;- ;19 ;3 ;- ;33 ;10,314 ;10 ;2,384 ;736 ;5,372 ;464 ;615 ;100 ;90 ;2 ;6 ;--- ;650 ;- ;457 ;192 ;1,720 ;1,067 ;10,160 ;- ;-- ;-- ;- ;259 ;1.690 ;45 ;
;Estuna ;' ;78:875 ;113 ;3 ;69 ;12 ;1 ;- ;16 ;11 ;1 ;49 ;6,074 ;10 ;2,079 ;557 ;2.347 ;429 ;547 ;82 ;75 ;2 ;2 ;- ;510 ;- ;432 ;193 ;1,730 ;974 ;9,255 ;- ;----- ;- ;- ;203 ;1,320 ;46 ;
;Lohärads ;" ;36:825 ;63 ;- ;46 ;- ;1 ;- ;15 ;1 ;- ;23 ;6,122 ;3 ;1,138 ;657 ;3,481 ;262 ;293 ;49 ;42 ;;3 ;- ;235 ;- ;254 ;100 ;910 ;612 ;5,900 ;--- ;-- ;--- ;-- ;167 ;1,085 ;47 ;
;Malsta ;" ;19:875 ;24 ;- ;17 ;2 ;;- ;5 ;- ;- ;12 ;1,421 ;2 ;428 ;228 ;622 ;110 ;123 ;20 ;18 ;- ;;- ;48 ;- ;108 ;58 ;520 ;256 ;2,432 ;- ;- ;- ;-- ;57 ;360 48 ;;
49 ;Husby-Lyhundra ;, ;47:750 ;102 ;17 ;69 ;3 ;-- ;1 ;8 ;4 ;- ;39 ;4,424 ;3 ;1,003 ;479 ;2,122 ;227 ;307 ;64 ;51 ;- ;4 ;- ;131 ;- ;219 ;149 ;1,350 ;514 ;4,878 ;- ;- ;- ;- ;176 ;1,180 ;49 ;
;;Lyhundra härad ;254-195 ;444 ;27 ;300 ;29 ;4 ;I ;63 ;19 ;I ;156 ;28,355 ;28 ;7,032 ;2,657 ;13,944 ;1,492 ;1,885 ;315 ;276 ;4 ;16 ;- ;1,574 ;- ;1,470 ;692 ;6,230 ;3,423 ;32,625 ;- ;- ;- ;- ;862 ;5,635 ;;





