Table: Table_1

;;;2. ;3. ;4. ;5. ;6 ;7 ;8 ;9 ;10. ;11. ;12. ;13. ;14 ;15. ;16. ;17. ;18. ;19 ;20. ;21. ;22. ;28. ;24 ;25 ;26. ;27. ;28. ;29. ;so. ;31. ;82. ;88. ;|| 34 ;35 ;, 86. ;87. ;;
;Lagga ;socken ;42:250 ;99 ;1 ;25 ;7 ;2 ;1 ;55 ;8 ;i - ;43 ;4,026 ;6 ;1,609 ;230 ;1,762 ;312 ;497 ;39 ;49 ;- ;1 ;- ;368 ;- ;343 ;148 ;1,330 ;782 ;7,430 ;;;;;360 ;2,340 ;;
;Oatnna ;..... ;43:187 ;25 ;;;10 ;4 ;;7 ;3 ;;67 ;4,281 ;18 ;1,329 ;179 ;2,888 ;261 ;357 ;46 ;36 ;1 ;;- ;855 ;;272 ;215 ;1,935 ;540 ;5,030 ;- - ;- - ;- - ;- - ;286 ;1,800 ;;
;Husby-Länghundra ;;44:000 ;55 ;1 ;12 ;10 ;2 ;;11 ;17 ;1 ;87 ;7,022 ;8 ;1,691 ;498 ;4,095 ;308 ;513 ;40 ;45 ;- ;3 ;- ;412 ;- ;370 ;179 ;1,620 ;765 ;7,265 ;- ;- ;- ;- ;215 ;1,400 ;$ ;
;Gottröra ;;37:750 ;48 ;12 ;12 ;7 ;1 ;1 ;4 ;10 ;1 ;59 ;4.765 ;5 ;1,403 ;75 ;2,300 ;263 ;385 ;71 ;41 ;- ;0.5 ;- ;;- ;247 ;236 ;2,125 ;505 ;4,800 ;- ;- ;- ;- ;189 ;1,235 ;;
;Närtuna ;, ;47:750 ;65 ;1 ;19 ;22 ;1 ;;15 ;7 ;;64 ;4,803 ;6 ;1,656 ;129 ;1,955 ;286 ;433 ;50 ;50 ;;;;512 ;;;;;;;;;;;;;;
;Kärsta ;..... ;27:873 ;54 ;;14 ;15 ;1 ;1 ;9 ;14 ;- ;49 ;5,074 ;4 ;1,306 ;185 ;2,433 ;190 ;409 ;88 ;36 ;- - ;1 ;16 ;422 ;- - ;824 194 ;177 127 ;1,600 1,145 ;584 418 ;5,550 3,970 ;- - ;- - ;- - ;- - ;183 119 ;1,200 725 ;5 ;
;;Langhundra härad ;242 819 ;346 ;15 ;82 ;71 ;11 ;5 ;101 ;59 ;2 ;369 ;29,971 ;47 ;8,994 ;1,296 ;14,883 ;1,620 ;2,594 ;284 ;257 ;I ;7.5 ;16 ;2,464's ;- ;1,750 ;1,082 ;9,755 ;3,594 ;34,043 ;- ;- ;- ;- ;1,352 ;8,700 ;;
;Alsike ;socken. ;28:250 ;23 ;1 ;3 ;6 ;3 ;1 ;5 ;3 ;1 ;30 ;3,342 ;10 ;1,064 ;76 ;1,421 ;182 ;256 ;22 ;39 ;4 ;;- ;377 ;-- ;184 ;117 ;1,050 ;337 ;3,203 ;- ;- ;- ;- ;218 ;1,417 ;;
;Knifsta ;... ;40'500 ;35 ;1 ;;3 ;1 ;;12 ;15 ;2 ;39 ;3,978 ;20 ;1,231 ;178 ;1,456 ;289 ;274 ;35 ;28 ;i ;- ;-- ;322 ;- ;282 ;189 ;1,700 ;537 ;5,010 ;- ;- ;- ;- ;281 ;1,820 ;;
;Odensala ;;49:875 ;90 ;1 ;40 ;12 9 ;3 1 ;2 ;12 ;22 ;;52 ;4,982 ;7 ;2,079 ;145 ;1,785 ;420 ;508 ;61 ;50 ;Os ;O'g ;- ;630 ;- ;409 ;310 ;2,780 ;789 ;7,250 ;- ;- ;- ;- ;460 ;2,990 ;9 ;
;Husby-Erlinghundra ;, ;31:625 ;49 ;;12 ;;;;12 ;11 ;1 ;38 ;2,576 ;6 ;1,331 ;55 ;904 ;226 7 ;346 ;46 ;42 ;05 ;08 ;;440 ;- ;229 ;187 ;1.690 ;427 ;3,800 ;;;- ;- ;170 ;1,105 ;10 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
