Table: Table_1

;B ;D ;M ;B ;D ;M ;B ;D ;M ;
1749 ;;;;33.0 ;27.9 ;;33.8 ;28.1 ;17.1 ;
1750 ;;;;30.6 ;27.2 ;;36.4 ;26.9 ;18.5 ;
1751 ;44.3 ;24.6 ;21.8 ;35.0 ;27.0 ;;38.7 ;26.2 ;18.5 ;
1752 ;44.7 ;26.3 ;20.2 ;33.5 ;25.4 ;;35.9 ;27.3 ;18.5 ;
1753 ;44.1 ;26.1 ;19.0 ;34.8 ;23.4 ;;36.1 ;24.0 ;17.4 ;
1754 ;46.4 ;35.1 ;19.8 ;35.3 ;24.1 ;;37.2 ;26.3 ;18.9 ;
1755 ;46.9 ;30.7 ;18.8 ;33.5 ;25.1 ;;37.5 ;27.4 ;18.3 ;
1756 ;45.8 ;36.3 ;17.0 ;36.1 ;27.2 ;;36.1 ;27.7 ;17.0 ;
1757 ;43.3 ;36.2 ;16.0 ;34.5 ;22.1 ;;32.6 ;29.9 ;15.9 ;
1758 ;42.3 ;29.5 ;17.8 ;33.6 ;24.6 ;;33.4 ;32.4 ;16.1 ;
1759 ;44.5 ;28.1 ;19.6 ;32.3 ;19.5 ;;33.6 ;26.3 ;19.5 ;
1760 ;46.6 ;27.9 ;19.6 ;35.0 ;23.1 ;;35.7 ;24.8 ;19.5 ;
1761 ;45.8 ;28.3 ;16.8 ;35.9 ;24.4 ;;34.8 ;25.8 ;18.9 ;
1762 ;41.3 ;29.6 ;16.0 ;35.8 ;25.9 ;;35.1 ;31.2 ;17.9 ;
1763 ;43.0 ;41.0 ;16.0 ;34.5 ;38.8 ;;35.0 ;32.9 ;17.3 ;
1764 ;45.7 ;33.1 ;16.6 ;35.8 ;29.1 ;;34.7 ;27.2 ;17.6 ;
1765 ;42.9 ;29.7 ;16.2 ;34.5 ;30.2 ;;33.4 ;27.7 ;16.3 ;
1766 ;41.5 ;28.6 ;15.6 ;34.0 ;30.4 ;;33.8 ;25.1 ;16.5 ;
1767 ;40.7 ;29.1 ;15.6 ;35.1 ;25.1 ;;35.4 ;25.6 ;16.5 ;
1768 ;42.9 ;25.8 ;17.8 ;32.8 ;24.4 ;;33.6 ;27.2 ;16.9 ;
1769 ;42.4 ;28.3 ;16.8 ;33.7 ;23.7 ;;33.1 ;27.2 ;16.3 ;
1770 ;40.9 ;30.2 ;14.6 ;32.1 ;24.0 ;14.7 ;33.0 ;26.1 ;16.2 ;
1771 ;38.0 ;26.1 ;15.2 ;31.6 ;23.2 ;13.5 ;32.2 ;27.8 ;15.5 ;
1772 ;37.6 ;23.9 ;15.4 ;28.2 ;26.2 ;11.9 ;28.9 ;37.4 ;13.6 ;
1773 ;37.9 ;21.5 ;17.0 ;25.0 ;48.1 ;12.0 ;25.5 ;52.5 ;15.5 ;
1774 ;40.3 ;21.5 ;18.6 ;28.3 ;25.8 ;17.1 ;34.5 ;22.4 ;17.5 ;
1775 ;40.4 ;25.6 ;17.2 ;33.8 ;23.6 ;18.6 ;35.6 ;24.8 ;18.9 ;
1776 ;39.0 ;30.5 ;17.0 ;28.8 ;20.7 ;16.9 ;32.9 ;22.5 ;18.0 ;
1777 ;40.1 ;32.0 ;17.6 ;31.3 ;21.0 ;16.8 ;33.0 ;24.9 ;18.1 ;
1778 ;42.7 ;25.0 ;19.6 ;31.2 ;20.2 ;16.0 ;34.8 ;26.7 ;18.1 ;
1779 ;43.2 ;21.9 ;18.2 ;31.5 ;27.4 ;18.2 ;36.7 ;28.5 ;17.3 ;
1780 ;41.2 ;21.1 ;16.4 ;32.4 ;25.6 ;15.4 ;35.7 ;21.7 ;17.1 ;
1781 ;37.7 ;26.5 ;15.2 ;31.4 ;20.9 ;16.1 ;33.5 ;25.6 ;15.7 ;
1782 ;41.7 ;25.1 ;16.8 ;30.9 ;22.6 ;14.1 ;32.1 ;27.3 ;15.4 ;
1783 ;40.0 ;31.2 ;16.2 ;27.6 ;24.8 ;16.2 ;30.3 ;28.1 ;16.0 ;
1784 ;42.7 ;25.3 ;16.2 ;30.5 ;24.0 ;;31.5 ;29.8 ;15.0 ;
1785 ;39.8 ;30.3 ;15.6 ;28.9 ;33.3 ;;31.4 ;28.3 ;15.6 ;
1786 ;39.9 ;26.3 ;14.0 ;30.6 ;24.4 ;;32.9 ;25.9 ;16.0 ;
1787 ;40.4 ;23.7 ;15.4 ;29.2 ;22.8 ;;31.5 ;24.0 ;15.9 ;
1788 ;36.1 ;33.3 ;13.4 ;30.7 ;26.1 ;;33.9 ;26.7 ;15.8 ;
1789 ;34.2 ;37.7 ;15.2 ;30.6 ;30.6 ;;32.0 ;33.1 ;15.9 ;
1790 ;37.0 ;38.1 ;18.8 ;32.0 ;23.0 ;;30.5 ;30.5 ;16.5 ;
1791 ;36.0 ;40.9 ;23.4 ;32.7 ;23.0 ;;32.6 ;25.5 ;21.7 ;
