Table: Table_1

;1. ;2. ;3. ;4. ;5. ;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17. ;18. ;19. ;20. ;21. ;22. ;28. ;24. ;25. ;26. ;27 ;28. ;29. ;so. ;31. ;82. ;33. ;84. ;35. ;86. ;37. ;38. ;39. ;1. ;
;Lagga ;42-250 ;58 ;3 ;13 ;11 ;2 ;1 ;11 ;17 ;- ;34 ;4,056 ;11 ;1,650 ;259 ;1,735 ;255 ;465 ;53 ;45 ;5 ;0.5 ;31-5 ;525 ;- ;270 ;190 ;1,295 ;443 ;3,013 ;- ;- ;- ;- ;302 ;2.114 ;565 ;3,958 ;1 ;
;Ostuna ;43-187 ;29 ;;;5 ;5 ;1 ;11 ;6 ;1 ;24 ;4,556 ;21 ;1,498 ;89 ;2,495 ;221 ;342 ;58 ;27 ;3 ;;12 ;611 ;- ;224 ;192 ;1,308 ;330 ;2,445 ;;- ;- ;- ;185 ;1,298 ;514 ;3,599 ;2 ;
;Husby-Linghundra ;44:000 ;66 ;4 ;13 ;12 ;1 ;1 ;17 ;17 ;1 ;70 ;7,337 ;10 ;2,019 ;290 ;4,105 ;315 ;557 ;64 ;56 ;6 ;;17.5 ;702 ;- ;301 ;252 ;1,718 ;515 ;3,504 ;- ;- ;- ;- ;219 ;1,535 ;869 ;6,087 ;3 ;
;Gottrora ;37-750 ;29 ;2 ;5 ;6 ;2 ;1 ;5 ;8 ;- ;54 ;4,852 ;7 ;1,589 ;26 ;2,575 ;208 ;443 ;52 ;36 ;9 ;;19 ;617 ;- ;205 ;149 ;1,015 ;354 ;2,409 ;;;- ;- ;156 ;1,093 ;806 ;5,644 ;4 ;
;;;;;;16 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Närtuna Kärsta ;47-750 27-875 ;52 51 ;- - ;13 15 ;13 ;4 1 ;1 1 ;5 5 ;13 16 ;- - ;49 40 ;4,954 5,726 ;12 8 ;1,863 1,436 ;55 30 ;2,437 3,540 ;271 221 ;491 403 ;54 49 ;44 35 ;1 ;0'5 0.5 ;33:5 12:5 ;701 511 ;- - ;267 204 ;162 102 ;1,106 698 ;487 421 ;3,315 2,864 ;- 3 ;16 ;- - ;- - ;174 89 ;1,221 625 ;870 680 ;6,094 4,763 ;5 € ;
;Länghundra härad ;242 812 ;285 ;9 ;59 ;63 ;15 ;6 ;54 ;77 ;2 ;271 ;31,481 ;69 ;10,055 ;749 ;16,887 ;1,491 ;9,701 ;330 ;243 ;24 ;2 ;126 ;3,667 ;- ;1,471 ;1,047 ;7,140 ;2,550 ;17,550 ;3 ;16 ;- ;- ;1,125 ;7,886 ;4,304 ;30,145 ;;
;Alsike ;28-250 ;19 ;- ;9 ;2 ;4 ;1 ;1 ;2 ;- ;33 ;3,424 ;13 ;1,058 ;166 ;1,805 ;176 ;272 ;33 ;27 ;2 ;- ;8 ;371 ;- ;169 ;148 ;1,142 ;251 ;1,911 ;- ;-- ;- ;-- ;140 ;1,109 ;373 ;2,800 ;7 ;
;Knifsta ;40 875 ;31 ;- ;4 ;4 ;1 ;1 ;10 ;7 ;4 ;45 ;4,325 ;19 ;1,487 ;99 ;2,007 ;241 ;394 ;57 ;34 ;2 ;- ;41 ;486 ;- ;232 ;205 ;1,581 ;360 ;2,734 ;- ;- ;- ;- ;231 ;1,829 ;601 ;4,511 ;e ;
;Odengala ;49 875 ;70 ;- ;18 ;18 ;;1 ;16 ;16 ;1 ;37 ;5,039 ;13 ;2,333 ;53 ;2,000 ;339 ;644 ;62 ;49 ;2 ;- ;26 ;871 ;- ;340 ;217 ;1,676 ;535 ;4,068 ;- ;;- ;- ;245 ;1,934 ;1,423 ;10,670 ;9 ;
10 ;Husby-Brlinghundra ;32-125 ;39 ;- ;10 ;11 ;2 ;1 ;5 ;10 ;;30 ;3,562 ;17 ;1,424 ;117 ;1,590 ;213 ;408 ;40 ;38 ;2 ;;29 ;482 ;- ;212 ;165 ;1,273 ;320 ;2,435 ;;;- ;- ;150 ;1,187 ;867 ;6,504 ;10 ;
11| ;Norrsunda ;37-500 ;24 ;- ;5 ;4 ;;- ;6 ;7 ;2 ;36 ;3,109 ;17 ;1,246 ;51 ;1,435 ;209 ;301 ;55 ;43 ;;- ;18 ;434 ;- ;186 ;185 ;1,426 ;278 ;2,118 ;27 ;153 ;- ;- ;88 ;698 ;531 ;8,985 ;11 ;
12 ;Vassunda ;40 375 ;43 ;- ;10 ;7 ;4 ;- ;8 ;13 ;1 ;22 ;3,101 ;16 ;1,745 ;82 ;889 ;284 ;461 ;50 ;34 ;2 ;- ;11 ;633 ;- ;270 ;214 ;1,65% ;387 ;2,941 ;- ;- ;- ;- ;231 ;1,831 ;787 ;5,904 ;12 ;
13 ;Haga ;20-500 ;19 ;- ;5 ;3 ;1 ;- ;1 ;7 ;2 ;19 ;1,846 ;7 ;821 ;23 ;731 ;115 ;243 ;23 ;21 ;- ;- ;16 ;284 ;----- ;119 ;79 ;604 ;173 ;1,317 ;- ;;- ;-- ;99 ;783 ;430 ;3,223 ;18 ;
14 ;S:t Olof ;23:375 ;6 ;- ;;1 ;1 ;- ;2 ;1 ;1 ;45 ;2,251 ;7 ;909 ;82 ;1,000 ;135 ;230 ;42 ;22 ;- ;- ;2 ;348 ;- ;130 ;80 ;617 ;228 ;1,735 ;- ;- ;- ;- ;93 ;739 ;505 ;3,789 ;14 ;
15| ;S:t Per ;11:625 ;9 ;- ;8 ;4 ;1 ;- ;1 ;;;3 ;1,069 ;3 ;429 ;23 ;475 ;60 ;109 ;11 ;8 ;1 ;- ;;170 ;- ;68 ;53 ;410 ;79 ;596 ;- ;- ;- ;- ;39 ;309 ;210 ;1,578 ;15 ;
;Erlinghundra härad ;284-500 ;260 ;- ;64 ;54 ;14 ;4 ;50 ;63 ;11 ;270 ;27,726 ;112 ;11,452 ;696 ;11,932 ;1,772 ;3,062 ;373 ;276 ;11 ;- ;158 ;4,079 ;- ;1,721 ;1,846 ;10,981 ;2,611 ;19,855 ;27 ;153 ;- ;- ;1,816 ;10,419 ;5,727 ;42,964 ;;
16 ;Skepptuna ;46-375 ;52 ;- ;5 ;16 ;2 ;;9 ;19 ;1 ;49 ;3,815 ;11 ;1,953 ;96 ;1,400 ;297 ;553 ;50 ;45 ;2 ;- ;32 ;659 ;- ;315 ;184 ;1,380 ;529 ;3,703 ;3 ;16 ;- ;- ;215 ;1,548 ;1,100 ;8,360 ;16 ;
17 ;Lunda ;21:500 ;24 ;- ;;9 ;2 ;1 ;1 ;10 ;1 ;40 ;3,580 ;9 ;1,289 ;117 ;1,749 ;176 ;357 ;31 ;29 ;1 ;- ;12 ;482 ;- ;201 ;116 ;873 ;296 ;2,078 ;1 ;5 ;- ;- ;128 ;923 ;724 ;5,502 ;17 ;
18 ;Vidbo ;24-000 ;33 ;1 ;7 ;4 ;1 ;- ;8 ;11 ;1 ;49 ;2,927 ;8 ;1,105 ;43 ;1,495 ;140 ;277 ;33 ;35 ;;1 ;26 ;440 ;- ;153 ;99 ;745 ;247 ;1,729 ;- ;;- ;- ;162 ;1,169 ;534 ;4,058 ;18 ;
19 ;Skânela ;32-750 ;22 ;- ;;8 ;1 ;;2 ;10 ;1 ;49 ;8,677 ;9 ;1,468 ;28 ;1,838 ;184 ;412 ;35 ;33 ;2 ;- ;14 ;568 ;- ;220 ;135 ;1,012 ;283 ;1,984 ;17 ;88 ;- ;-- ;109 ;786 ;885 ;6,729 ;19 ;
20 ;Markim ;20125 ;22 ;- ;2 ;3 ;1 ;1 ;1 ;13 ;1 ;17 ;2,524 ;7 ;1,091 ;26 ;1,110 ;154 ;268 ;24 ;19 ;1 ;- ;14 ;450 ;- ;161 ;119 ;892 ;223 ;1,565 ;4 ;23 ;- ;- ;89 ;645 ;561 ;4,268 ;20 ;
21 ;Orkesta ;18:250 ;18 ;- ;3 ;6 ;2 ;;1 ;5 ;;28 ;2,055 ;6 ;919 ;;925 ;120 ;261 ;27 ;23 ;- ;;16 ;329 ;- ;143 ;57 ;427 ;202 ;1,417 ;43 ;218 ;- ;- ;64 ;468 ;533 ;4,055 ;21 ;
22 ;Frösunda ;32-125 ;52 ;- ;8 ;9 ;1 ;1 ;14 ;19 ;;52 ;3,904 ;11 ;1,464 ;12 ;2,089 ;216 ;397 ;44 ;41 ;- ;1 ;29 ;505 ;- ;231 ;128 ;960 ;385 ;2,697 ;33 ;169 ;- ;- ;150 ;1,083 ;755 ;5,742 ;22 ;
;Seminghundra härad ;195-125 ;223 ;1 ;25 ;55 ;10 ;4 ;36 ;87 ;5 ;284 ;22,482 ;61 ;9,289 ;322 ;10,601 ;1,287 ;2,525 ;244 ;225 ;6 ;2 ;143 ;3,433 ;- ;1,424 ;838 ;6,289 ;2,165 ;15,173 ;101 ;519 ;- ;- ;917 ;6,622 ;5,092 ;38,714 ;;
