Table: Table_1

Year ;No of regions ;Average price ;CV ;No of regions ;Average price ;CV ;No of regions ;Average price ;CV ;
1835 ;2 ;.08 ;- ;30 ;.72 ;.19 ;28 ;1.83 ;.22 ;
1836 ;2 ;.08 ;- ;30 ;.72 ;.19 ;28 ;1.85 ;.21 ;
1837 ;2 ;.08 ;- ;30 ;.72 ;.19 ;28 ;1.87 ;.20 ;
1838 ;2 ;.08 ;- ;30 ;.72 ;.21 ;28 ;1.88 ;.20 ;
1839 ;2 ;.08 ;- ;30 ;.73 ;.18 ;28 ;1.88 ;.19 ;
1840 ;2 ;.08 ;- ;30 ;.73 ;.18 ;28 ;1.88 ;.19 ;
1841 ;2 ;.08 ;- ;30 ;.73 ;.18 ;28 ;1.89 ;.19 ;
1842 ;2 ;.08 ;- ;30 ;.75 ;.19 ;28 ;1.96 ;.16 ;
1843 ;2 ;.08 ;- ;30 ;.75 ;.17 ;28 ;1.98 ;.21 ;
1844 ;2 ;.08 ;- ;30 ;.73 ;.21 ;28 ;1.93 ;.21 ;





