Table: Table_1

;1. ;2. ;8. ;4. ;5. ;6. I ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17. ;18. ;19. ;20. ;21. ;22. ;23 ;24. ;25. ;26. ;27. ;28. ;29. || ;30. ;31. I ;32 1 ;33. ;84 ;35. ! ;36. ;37. ;38. ;39. ;1. ;
;Skederid Rimbo R6 Fasterna ;29-875 37:750 22-750 52:458 ;46 58 38 85 ;- -- - 2 ;34 35 27 19 ;5 3 3 ;5 2 2 1 ;-- - 1 ;2 16 44 ;- 2 4 16 ;- 1 2 ;38 73 33 55 ;5,115 7,804 4.744 9,773 ;7 13 10 9 ;1,394 1,971 981 1,979 ;67 126 167 313 ;2,667 4,932 2,795 5,435 ;207 290 145 290 ;400 548 270 594 ;35 29 29 41 ;40 42 26 60 ;8 17 9 16 ;1 1 3 ;16 23 11 28 ;502 741 349 721 ;- - - - ;185 280 145 226 ;96 117 58 130 ;771 939 460 1,043 ;452 550 295 525 ;3,392 4,122 2,215 3,939 ;- 21 - ;- 127 - ;- - - ;- - - - ;126 99 91 183 ;951 747 683 1,370 ;946 1,157 417 1,027 ;7,570 9,258 3,338 8,214 ;1 2 3 4 ;
14 ;Sollentuna ;38:250 ;86 ;60 ;4 ;5 ;1 ;;5 ;8 ;3 ;18 ;4,920 ;17 ;1,503 ;37 ;2,942 ;225 ;417 ;24 ;19 ;4 ;- ;19 ;591 ;- ;204 ;276 ;2,127 ;255 ;1,943 ;- ;- ;- ;- ;226 ;1,760 ;566 ;4,531 ;14 ;
15 ;Bromma ;25:375 ;73 ;62 ;;1 ;- ;1 ;4 ;4 ;1 ;9 ;1,900 ;30 ;883 ;29 ;848 ;119 ;242 ;10 ;20 ;19 ;- ;28 ;832 ;- ;118 ;152 ;1,175 ;127 ;970 ;- ;- ;- ;- ;27 ;212 ;285 ;2,283 ;15 ;
16) ;Sundbybergs köping ;2-000 ;60 ;59 ;1 ;;;;;;;- ;151 ;65 ;20 ;- ;20 ;- ;- ;- ;5 ;- ;- ;4 ;11 ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;;;16 ;
;Sollentuna härad ;175.025 ;1,405 ;1,270 ;25 ;18 ;11 ;3 ;42 ;28 ;8 ;98 ;20,357 ;246 ;6,875 ;188 ;11,276 ;889 ;1,772 ;130 ;154 ;64 ;- ;124 ;2,880 ;- ;862 ;1,016 ;7,833 ;1,102 ;8,892 ;- ;- ;- ;- ;687 ;5,366 ;2,638 ;21,115 ;;
17 ;Lofö ;21-125 ;13 ;1 ;2 ;;2 ;- ;- ;6 ;2 ;14 ;2,859 ;92 ;828 ;91 ;1,485 ;110 ;222 ;10 ;16 ;13 ;- ;8 ;342 ;- ;107 ;172 ;1,345 ;101 ;759 ;4 ;26 ;;- ;23 ;172 ;700 ;5,253 ;17 ;
;Ekerö ;40-062 ;30 ;;8 ;5 ;3 ;- ;7 ;5 ;2 ;46 ;4,425 ;76 ;1,619 ;56 ;2,119 ;217 ;337 ;31 ;89 ;41 ;- ;35 ;653 ;- ;216 ;306 ;2,382 ;221 ;1,660 ;;- ;- ;- ;40 ;308 ;687 ;5,154 ;18 ;
;Munsö ;27:250 ;15 ;1 ;2 ;3 ;2 ;- ;4 ;2 ;1 ;43 ;2,738 ;38 ;1,185 ;149 ;1,120 ;194 ;244 ;26 ;47 ;9 ;- ;11 ;489 ;-- - ;165 ;203 ;1,625 ;288 ;2,162 ;- ;- ;- ;- ;105 ;792 ;456 ;3,422 ;;
;Adelsö ;19-930 ;54 ;;35 ;2 ;;- ;10 ;6 ;;22 ;3,215 ;28 ;844 ;35 ;2,064 ;115 ;209 ;21 ;33 ;11 ;- ;17 ;329 ;- ;109 ;165 ;1,287 ;139 ;1,048 ;;- ;- ;- ;106 ;795 ;385 ;2,890 ;20 ;
;Färentuna ;24:375 ;40 ;- ;12 ;13 ;;- ;9 ;5 ;;26 ;2,154 ;25 ;1,078 ;138 ;689 ;152 ;238 ;26 ;45 ;9 ;- ;11 ;452 ;- ;145 ;223 ;1,732 ;175 ;1,315 ;6 ;34 ;- ;- ;76 ;578 ;483 ;3,622 ;21 ;
;Hilleshög ;12:625 ;23 ;- ;8 ;5 ;;- ;7 ;;1 ;14 ;1,321 ;16 ;565 ;41 ;570 ;75 ;122 ;18 ;40 ;14 ;- ;8 ;217 ;- ;71 ;101 ;787 ;85 ;640 ;;;- ;- ;21 ;159 ;286 ;2,148 ;22 ;
;Sanga ;28 558 ;38 ;5 ;18 ;;2 ;- ;6 ;3 ;;24 ;2,692 ;30 ;1,147 ;78 ;1,115 ;141 ;244 ;43 ;81 ;17 ;- ;20 ;471 ;- ;130 ;200 ;1,564 ;166 ;1,246 ;- ;- ;- ;- ;59 ;444 ;468 ;3,514 ;23 ;
24 ;Skâ ;26-250 ;50 ;;21 ;10 ;;;13 ;5 ;1 ;11 ;1,859 ;29 ;1,002 ;59 ;704 ;148 ;257 ;31 ;51 ;16 ;- ;16 ;351 ;- ;132 ;189 ;1,478 ;168 ;1,265 ;- ;- ;- ;- ;140 ;1,056 ;473 ;3,548 ;24 ;
;Färentuna härad ;200 175 ;263 ;7 ;106 ;42 ;12 ;- ;56 ;33 ;7 ;200 ;21,263 ;334 ;8,268 ;647 ;9,866 ;1,152 ;1,873 ;206 ;402 ;130 ;- ;126 ;3,304 ;- ;1,075 ;1,564 ;12,200 ;1,343 ;10,095 ;10 ;60 ;- ;- ;570 ;4,304 ;3,938 ;29,551 ;;
25 ;Östra Ryd ;34000 ;39 ;1 ;2 ;;1 ;1 ;19 ;13 ;2 ;52 ;6,893 ;37 ;1,779 ;105 ;4,310 ;268 ;292 ;125 ;145 ;27 ;- ;53 ;622 ;- ;247 ;299 ;2,488 ;362 ;2,805 ;10 ;60 ;- ;- ;124 ;928 ;581 ;4,175 ;25 ;
26 ;Täby ;55.875 ;38 ;;1 ;8 ;3 ;2 ;10 ;13 ;1 ;50 ;6,058 ;22 ;1,990 ;49 ;3,068 ;282 ;428 ;105 ;40 ;39 ;- ;38 ;784 ;- ;274 ;269 ;2,247 ;407 ;3,380 ;- ;- ;- ;- ;110 ;876 ;1,093 ;8,307 ;26 ;
27 ;Danderyd ;15-875 ;22 ;2 ;6 ;5 ;;1 ;4 ;4 ;- ;4 ;2,616 ;119 ;703 ;23 ;1,384 ;53 ;172 ;23 ;27 ;13 ;- ;80 ;280 ;- ;55 ;36 ;298 ;101 ;839 ;- ;- ;- ;- ;32 ;275 ;361 ;3,210 ;127 ;
28) ;Lidingö köping ;9.250 ;27 ;4 ;10 ;6 ;2 ;2 ;2 ;1 ;;18 ;2,928 ;91 ;658 ;4 ;1,739 ;26 ;184 ;16 ;26 ;10 ;- ;39 ;333 ;- ;24 ;22 ;147 ;37 ;247 ;;;- ;;25 ;180 ;421 ;2,961 ;28 ;
29 ;Solna ;20:312 ;42 ;11 ;9 ;4 ;- ;4 ;9 ;4 ;1 ;56 ;1,878 ;261 ;513 ;56 ;736 ;24 ;54 ;12 ;22 ;6 ;- ;21 ;322 ;33 ;19 ;24 ;196 ;34 ;266 ;4 ;20 ;- ;- ;15 ;114 ;148 ;1,145 ;29 ;
;Danderyds skeppslag ;135.312 ;168 ;18 ;28 ;23 ;6 ;10 ;44 ;35 ;4 ;180 ;20,373 ;530 ;5,648 ;937 ;11,237 ;658 ;1,180 ;281 ;260 ;95 ;- ;231 ;2,841 ;33 ;619 ;650 ;5,876 ;941 ;7,537 ;14 ;80 ;- ;- ;306 ;2,873 ;2,604 ;19,798 ;;
30 ;Öster&ker ;84875 ;101 ;2 ;43 ;11 ;5 ;2 ;18 ;18 ;2 ;79 ;13,490 ;49 ;3,080 ;163 ;7,890 ;442 ;806 ;83 ;98 ;5 ;;16 ;1,185 ;- ;445 ;150 ;1,200 ;775 ;5,812 ;5 ;30 ;- ;- ;238 ;1,785 ;2,039 ;16,312 ;130 ;
81 ;Riala ;24-125 ;90 ;4 ;69 ;5 ;;- ;9 ;8 ;- ;39 ;8,128 ;6 ;1,335 ;256 ;4,910 ;235 ;390 ;36 ;48 ;6 ;1 ;12 ;392 ;- ;215 ;112 ;896 ;401 ;3,010 ;3 ;16 ;- ;- ;137 ;1,030 ;1,051 ;8,408 ;81 ;
32 ;Roslags-Kulla ;21-375 ;25 ;2 ;12 ;1 ;1 ;- ;6 ;3 ;- ;14 ;3,762 ;14 ;690 ;73 ;2,335 ;108 ;218 ;15 ;20 ;1 ;;4 ;218 ;- ;106 ;72 ;576 ;178 ;1,335 ;- ;- ;- ;- ;62 ;465 ;482 ;3,856 ;132 ;
33) ;Ljusterö ;53:125 ;118 ;6 ;90 ;8 ;1 ;- ;7 ;6 ;;38 ;9,516 ;19 ;1,514 ;171 ;5,400 ;258 ;426 ;39 ;65 ;3 ;1 ;14 ;480 ;- ;228 ;118 ;944 ;440 ;8,305 ;- ;- ;- ;- ;143 ;1,075 ;1,288 ;10,309 ;83 ;
;Äkery skeppslag ;183-500 ;384 ;14 ;214 ;25 ;7 ;2 ;40 ;30 ;2 ;170 ;34,896 ;88 ;6,619 ;663 ;20,585 ;1,043 ;1,840 ;173 ;231 ;15 ;2 ;46 ;2,275 ;- ;994 ;459 ;3,616 ;1,794 ;13,462 ;8 ;46 ;- ;- ;580 ;4,855 ;4,860 ;38,885 ;;
34 ;Värmdö ;92.500 ;308 ;142 ;106 ;11 ;8 ;- ;33 ;6 ;2 ;189 ;20,142 ;89 ;8,861 ;287 ;10,665 ;442 ;826 ;42 ;104 ;25 ;- ;54 ;1,464 ;- ;404 ;346 ;2,765 ;758 ;5,685 ;- ;- ;- ;- ;62 ;467 ;3,097 ;24,776 ;34 ;
35 ;Gustafsberg ;15:750 ;14 ;;4 ;4 ;1 ;- ;2 ;2 ;;2 ;2,872 ;28 ;418 ;51 ;1,675 ;40 ;77 ;1 ;7 ;10 ;- ;16 ;240 ;- ;27 ;45 ;362 ;76 ;575 ;- ;- ;- ;- ;2 ;15 ;292 ;2,339 ;85 ;
86 ;Ingerö ;21-625 ;33 ;4 ;19 ;1 ;1 ;- ;2 ;5 ;1 ;51 ;7,270 ;15 ;791 ;73 ;4,415 ;111 ;184 ;11 ;24 ;11 ;- ;13 ;337 ;- ;100 ;28 ;225 91 ;260 ;1,950 ;- 3 ;;;- ;20 ;158 ;654 ;5,232 ;36 ;
37 ;Djurö ;11:125 ;211 ;127 ;78 ;1 ;;;5 ;;- ;2 ;5,658 ;18 ;435 ;132 ;3,050 ;48 ;87 ;2 ;29 ;1 ;- ;19 ;215 ;- ;34 ;11 ;;121 ;911 ;;18 ;1 ;5 ;10 ;79 ;355 ;2,840 ;37 ;
38 39 ;Bo Möja ;11-250 10-500 ;16 121 ;73 ;3 47 ;2 ;1 - ;1 - ;4 1 ;5 ;- ;8 6 ;3,510 5,275 ;42 4 ;499 205 ;32 204 ;2,020 2,590 ;47 13 ;122 51 ;4 4 ;15 43 ;2 2 ;- - ;17 5 ;248 77 ;- - ;44 10 ;16 7 ;128 60 ;98 34 ;738 257 ;7 ;39 ;15 ;87 ;5 20 ;42 148 ;401 137 ;3,208 1,096 ;88 89 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Värmdö skeppslag ;162-750 ;703 ;347 ;257 ;19 ;11 ;1 ;47 ;18 ;3 ;258 ;44,727 ;198 ;5,709 ;729 ;24,415 ;701 ;1,847 ;64 ;222 ;51 ;- ;124 ;2,581 ;- ;619 ;453 ;3,631 ;1,847 ;10,116 ;10 ;57 ;16 ;92 ;119 ;904 ;4,936 ;39,491 ;;
40 ;Österhaninge ;79-167 ;115 ;5 ;51 ;5 ;5 ;- ;37 ;11 ;1 ;51 ;14,419 ;34 ;2,897 ;92 ;9,595 ;420 ;754 ;76 ;90 ;25 ;- ;48 ;1,073 ;- ;411 ;244 ;1,954 ;803 ;6,265 ;- ;;- ;- ;112 ;896 ;2,315 ;17,364 ;,40 ;
41 ;Ornö ;18:875 ;31 ;1 ;2 ;1 ;- ;;24 ;3 ;- ;30 ;5,286 ;3 ;396 ;144 ;4,270 ;52 ;140 ;12 ;18 ;3 ;- ;2 ;116 ;- ;53 ;22 ;179 ;112 ;875 ;10 ;70 ;- ;- ;18 ;148 ;424 ;3,185 ;41 ;
42 ;Nämdö ;5-500 ;27 ;14 ;10 ;;- ;1 ;2 ;;- ;17 ;4,052 ;6 ;170 ;143 ;3,178 ;24 ;46 ;6 ;13 ;;- ;;59 ;- ;22 ;7 ;56 ;51 ;397 ;- ;- ;- ;- ;8 ;67 ;133 ;997 ;42 ;
43 ;Utö ;8-750 ;8 ;;2 ;1 ;- ;;3 ;1 ;1 ;16 ;3,657 ;6 ;355 ;75 ;2,910 ;52 ;100 ;6 ;10 ;2 ;- ;3 ;132 ;;51 ;10 ;83 ;120 ;939 ;- ;;- ;- ;4 ;32 ;350 ;2,628 ;43 ;
44 ;Tyresö ;19:125 ;33 ;1 ;10 ;;1 ;2 ;11 ;7 ;1 ;39 ;7,257 ;15 ;919 ;138 ;5,476 ;138 ;249 ;18 ;82 ;3 ;;7 ;357 ;- ;127 ;86 ;291 ;800 ;2,341 ;22 ;125 ;;- ;86 ;291 ;787 ;5,907 ;44 ;
45) ;Dalarö ;3:750 ;7 ;;;2 ;;;5 ;;;5 ;1,799 ;29 ;118 ;42 ;1,365 ;17 ;31 ;4 ;10 ;;- ;;42 ;- ;14 ;9 ;75 ;34 ;269 ;- ;- ;- ;- ;10 ;83 ;89 ;;669 45 ;
46 ;Västerhaninge ;65-129 ;113 ;7 ;56 ;14 ;4 ;- ;18 ;9 ;5 ;60 ;11,746 ;32 ;3,078 ;147 ;7,275 ;475 ;805 ;71 ;102 ;27 ;;29 ;1,149 ;- ;420 ;283 ;2,265 ;906 ;7,066 ;- ;;- ;- ;110 ;877 ;2,180 ;16,354 ;46 ;
;;;;;;;;;;;;;;;;;;82 ;;;;4 ;;;197 ;;76 ;;420 ;;;;;;;;;;;;
47 ;Muskö ;14,875 ;18 ;3 ;9 ;;;- ;4 ;;2 ;38 ;4,061 ;7 ;546 ;186 ;3,218 ;;148 ;18 ;20 ;;- ;1 ;;- ;;53 ;;155 ;1,209 ;- ;;- ;- ;33 ;265 ;418 ;3,137 ;47 ;
48| ;Osmo. ;72:625 ;127 ;11 ;57 ;8 ;4 ;- ;30 ;14 ;3 ;106 ;15,287 ;35 ;3,576 ;347 ;9,179 ;559 ;946 ;78 ;121 ;23 ;- ;16 ;1,285 ;- ;548 ;842 ;2,739 ;1,065 ;8,311 ;- ;- ;;;170 ;1,860 ;2,981 ;22,357 ;48 ;
49 ;Sornnda ;89-125 ;212 ;;149 ;28 ;;- ;17 ;12 ;2 ;71 ;16,839 ;43 ;5,010 ;168 ;9,544 ;752 ;1,333 ;126 ;174 ;67 ;2 ;27 ;1,798 ;- ;731 ;512 ;4,096 ;1,404 ;10,953 ;- ;- ;14 ;83 ;303 ;2,426 ;3,927 ;29,452 ;49 ;
50 ;Torö ;6:210 ;12 ;1 ;3 ;- ;1 ;- ;7 ;- ;- ;29 ;2,957 ;5 ;361 ;66 ;1,865 ;45 ;92 ;6 ;9 ;1 ;- ;4 ;150 ;- ;54 ;37 ;293 ;78 ;605 ;- ;- ;- ;- ;17 ;139 ;265 ;1,989 ;50 ;
;Sotholms bärad ;382-631 ;708 ;43 ;849 ;59 ;19 ;8 ;158 ;57 ;15 ;462 ;87,360 ;215 ;17,427 ;1,548 ;57,875 ;2,616 ;4,637 ;416 ;599 ;155 ;2 ;137 ;6,858 ;- ;2,507 ;1,555 ;12,451 ;5,028 ;39,230 ;32 ;195 ;14 ;83 ;821 ;6,584 ;13,869 ;104,039 ;;





