Table: Table_1

;Odensala Husby-Erlinghundes ;853 710 ;5,960 5,700 ;446 394 ;3,345 3,000 ;110 62 ;650 370 ;11 7 ;50 32 ;32 ;240 - ;1,109 862 ;3,330 2,700 ;150 200 ;05 1:5 ;1 3 ;05 1:5 ;50 45 ;45 35 ;25,000 17,000 ;- - ;6 ;- ;19 ;- ;- - ;- - ;- ;- ;237 163 ;41 25 ;84 73 ;18 14 ;649 494 ;84 323 189 218 ;;181 169 ;10 ;1,500 850 ;10 ;
;Norrsunda ;750 ;5,250 ;261 ;1,950 ;66 ;400 ;4 ;20 ;10 ;75 ;702 ;2,200 ;;;;;30 ;26 ;14,000 ;;;;40 ;- ;;1 ;- - ;150 ;121 ;17 ;81 ;11 ;413 ;56 167 ;- ;133 ;15 ;800 ;11 ;
;Vassunda ;704 ;4,950 ;180 ;1,350 ;72 ;425 ;1 ;5 ;26 ;185 ;512 ;1,500 ;800 ;1 ;2 ;1 ;45 ;35 ;19,150 ;- ;;;;- ;;- ;- ;-- ;162 ;21 ;71 ;21 ;410 ;84 172 ;;97 ;;1,000 ;12 ;
;Haga ;398 ;2,790 ;45 ;350 ;35 ;210 ;2 ;11 ;5 ;40 ;400 ;1,250 ;;;;- ;30 ;20 ;11,000 ;- ;8 ;- ;10 ;- ;;- ;- ;;73 ;3 ;46 ;9 ;232 ;55 85 ;;60 ;30 ;700 ;13 ;
;S:t Olofs ;452 ;3,150 ;82 ;610 ;45 ;280 ;1 ;5 ;7 ;50 ;558 ;1,670 ;200 ;1 ;2 ;1 ;25 ;15 ;9,000 ;- ;;- ;;- ;-- ;;- ;100 ;87 ;7 ;48 ;11 ;263 ;67 121 ;;79 ;;750 ;14 ;
;S:t Pers ;350 ;2,855 ;56 ;365 ;26 ;160 ;1 ;4 ;4 ;30 ;320 ;1,000 ;;;;- ;20 ;20 ;4,550 ;- ;5 ;- ;20 ;- ;- ;5 ;--- ;- ;33 ;4 ;32 ;3 ;121 ;44 69 ;;31 ;10 ;450 ;15 ;
;Erlinghundra härad ;5,096 ;36,815 ;1,833 ;13,735 ;524 ;3,075 ;37 ;174 ;120 ;890 ;5,608 ;17,080 ;3,170 ;4 ;8 ;4 ;325 ;270 ;127,500 ;- ;24 ;- ;139 ;- ;- ;8 ;- ;400 ;1,135 ;152 ;597 ;122 ;3,267 ;669 1,579 ;I ;983 ;85 ;7,750 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16 ;Skepptuna socken ;964 ;6,700 ;575 ;4,815 ;109 ;650 ;22 ;115 ;19 ;150 ;985 ;2,930 ;;;;2 ;60 ;50 ;25,000 ;- ;- ;- ;15 ;- ;- ;;- ;80 ;211 ;28 ;88 ;16 ;557 ;43 230 ;;184 ;30 ;1,500 ;16 ;
17 ;Lunds ;799 ;5,600 ;280 ;2,100 ;44 ;260 ;4 ;19 ;9 ;70 ;754 ;2,200 ;30 ;2 ;;3 ;40 ;40 ;17,000 ;- ;;- ;;- ;- ;1 ;- ;;146 ;30 ;84 ;15 ;474 ;43 218 ;1 ;150 ;45 ;900 ;17 ;
19 ;Vidbo Sk&nela ;682 993 ;4,960 6,900 ;285 378 ;2,140 2,835 ;66 54 ;390 320 ;7 5 ;35 24 ;13 ;90 ;621 965 ;1,960 3,000 ;;3 2 ;4 ;2 3 ;45 45 ;45 40 ;14,000 18,000 ;- - ;5 ;- - ;40 ;- - ;- ;- - ;- - ;10 50 ;111 131 ;21 15 ;62 84 ;10 17 ;415 507 ;53 203 45 118 ;- ;120 131 ;15 5 ;850 900 ;18 19 ;
30 ;Markims ;545 ;3,745 ;256 ;1,950 ;38 ;230 ;5 ;26 ;- ;- ;342 ;1,050 ;100 ;2 ;4 ;2 ;40 ;35 ;13,000 ;- ;5 ;- ;20 ;- ;;- ;- ;;93 ;14 ;52 ;13 ;328 ;16 101 ;;100 ;15 ;800 ;20 ;
21 ;Orkesta ;488 ;8,450 ;226 ;1,700 ;29 ;180 ;3 ;15 ;;;372 ;1,110 ;700 ;;;;40 ;45 ;11,000 ;- ;;- ;10 ;-- ;- ;2 ;- ;70 ;88 ;16 ;66 ;12 ;324 ;11 114 ;;62 ;;700 ;91 ;
22 ;Frösunda ;770 ;4,900 ;433 ;3,250 ;89 ;540 ;14 ;70 ;3 ;25 ;912 ;2,800 ;70 ;2 ;3 ;2 ;50 ;45 ;19,000 ;- ;10 ;;23 ;- ;- ;3 ;- ;- ;176 ;30 ;58 ;12 ;563 ;26 302 ;;178 ;10 ;950 ;22 ;
;Seminghundra härad ;5,241 ;36,255 ;2,433 ;18,290 ;420 ;2,570 ;00 ;304 ;44 ;335 ;4,951 ;15,050 ;900 ;13 ;22 ;15 ;320 ;300 ;117,000 ;- ;20 ;- ;108 ;- ;-- ;6 ;- ;210 ;950 ;154 ;494 ;95 ;3,168 ;237 1,286 ;I ;925 ;120 ;6,600 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23 ;Fresta socken ;551 ;3,860 ;263 ;2,000 ;59 ;360 ;2 ;10 ;- ;- ;810 ;2,600 ;;-- ;- ;- ;40 ;40 ;13,000 ;- ;-- ;- ;40 ;- ;- ;2 ;- ;120 ;77 ;5 ;56 ;12 ;279 ;25 109 ;--- ;74 ;12 ;650 ;28 ;
84 ;Hammarby ;693 ;4,840 ;241 ;1,840 ;43 ;250 ;1 ;5 ;;;960 ;3,000 ;200 ;;;;45 ;40 ;16,000 ;;10 ;- ;10 ;- ;- ;;- - ;50 ;91 ;9 ;68 ;10 ;357 ;37 85 ;- ;103 ;28 ;850 ;24 ;
25) ;Vallentuna ;1,633 ;11,450 ;462 ;3,450 ;103 ;620 ;10 ;50 ;17 ;145 ;1,382 ;4,200 ;80 ;1 ;2 ;1 ;80 ;95 ;31,000 ;- ;;- ;10 ;;- ;8 ;- ;50 ;235 ;24 ;104 ;24 ;719 ;92 266 ;;220 ;30 ;1,800 ;85 ;
