Table: Table_1

;1. ;40. ;41. ;42. ;43. ;44. ;45. Il ;46. ;47. ;48. ;49. ;50. ;52. ;53. ;54. ;55. ;56 ;57. ;62. ;65. ;66. ;67. ;70. ;71. ;72. ;73 ;74. ;75. ;76. ;77. ;78. ;79. ;80. ;81 I ;82. ;83. 11. ;
15 ;Bromma ;628 ;4,715 ;12 ;87 ;- ;- ;17 ;119 ;425 ;1,279 ;10,453 ;;- ;- ;44 ;27 ;7,309 ;- ;;- ;6 ;- ;- ;87 ;113 ;3 ;14 ;9 ;380 ;21 ;26 ;- ;268 ;52 ;205 15 ;
16 ;Sundbybergs köping ;;;;- ;- ;- ;- ;- ;125 ;381 ;- ;- ;- ;-- ;1 ;- ;248 ;- ;1 ;- ;;- ;- ;- ;75 ;;;;;;- ;-- ;- ;;75 .16 ;
;Sollentuna härad ;3,196 ;23,982 ;279 ;1,911 ;- ;- ;84 ;585 ;3,518 ;10,566 ;35,219 ;- ;- ;- ;283 ;187 ;63,874 ;- ;17 ;- ;27 ;27 ;1:1 ;1,834 ;848 ;71 ;116 ;88 ;3,098 ;472 ;210 ;2 ;1,018 ;522 ;3,180 ;
17 ;Lofö ;90 ;678 ;22 ;158 ;2 ;13 ;20 ;140 ;373 ;1,494 ;8,452 ;- ;- ;- ;36 ;20 ;7,526 ;- ;- ;- ;2 ;10 ;2 ;105 ;112 ;5 ;14 ;13 ;323 ;84 ;37 ;1 ;303 ;20 ;570 17 ;
18 ;Ekerö ;345 ;2,583 ;86 ;600 ;3 ;11 ;28 ;201 ;2,409 ;9,636 ;26,650 ;- ;- ;- ;70 ;6% ;14,368 ;- ;- ;- ;5 ;- ;- ;158 ;223 ;25 ;44 ;21 ;755 ;15% ;88 ;- ;252 ;40 ;1,456 18 ;
19 ;Munsö ;386 ;2,524 ;67 ;473 ;1 ;5 ;30 ;211 ;791 ;3,164 ;5,853 ;;- ;- ;63 ;75 ;10,758 ;- ;1 ;- ;3 ;- ;--- ;100 ;94 ;18 ;72 ;14 ;426 ;175 ;117 ;- ;154 ;54 ;855 19 ;
20 ;Adelsö ;245 ;1,837 ;48 ;336 ;2 ;10 ;12 ;81 ;881 ;3,528 ;7,154 ;====== ;X - ;- ;38 ;26 ;7,238 ;- ;2 ;- ;- ;- ;- ;183 ;95 ;18 ;34 ;14 ;339 ;62 ;64 ;- ;174 ;20 ;750 20 ;
21 ;Färentuna ;296 ;2,224 ;74 ;524 ;2 ;17 ;22 ;154 ;1,454 ;5,817 ;5,850 ;- ;- ;X - ;48 ;30 ;9,948 ;- ;2 ;- ;- ;;;109 ;119 ;15 ;30 ;17 ;887 ;65 ;55 ;-- ;208 ;6 ;1,115 21 ;
22 ;Hilleshög ;204 ;1,533 ;49 ;349 ;3 ;15 ;9 ;65 ;966 ;3,866 ;9,102 ;;X ;- ;26 ;29 ;4,775 ;- ;;- ;- ;7 ;1 ;180 ;72 ;7 ;2 ;11 ;224 ;43 ;18 ;- ;103 ;22 ;585 22 ;
23 ;Sânga ;367 ;2,754 ;100 ;705 ;5 ;28 ;40 ;277 ;1,965 ;7,860 ;11,055 ;- ;- ;- ;46 ;39 ;10,362 ;- ;;- ;- ;- ;;163 ;142 ;20 ;52 ;17 ;366 ;101 ;45 ;- ;270 ;19 ;1.145 23 ;
