Table: Table_1

;B ;D ;M ;B ;D ;M ;B ;D ;M ;B ;D ;M ;
1900 ;49.3 ;31.1 ;17.8 ;42.4 ;23.5 ;25.2 ;33.9 ;29.0 ;17.7 ;27.0 ;16.8 ;12.3 ;
1901 ;47.9 ;32.1 ;17.2 ;38.0 ;21.0 ;16.6 ;35.0 ;27.8 ;16.9 ;27.0 ;16.1 ;12.1 ;
1902 ;49.1 ;31.5 ;17.2 ;38.0 ;22.3 ;20.6 ;35.6 ;26.1 ;17.5 ;26.5 ;15.4 ;11.9 ;
1903 ;48.1 ;30.0 ;17.8 ;40.9 ;23.5 ;19.0 ;36.4 ;25.0 ;16.4 ;25.7 ;15.1 ;11.6 ;
1904 ;48.6 ;29.9 ;15.2 ;39.8 ;21.1 ;22.9 ;34.2 ;25.7 ;15.3 ;25.8 ;15.3 ;11.7 ;
1905 ;45.0 ;31.7 ;15.2 ;37.3 ;24.8 ;19.8 ;35.1 ;25.7 ;14.3 ;25.7 ;15.6 ;11.7 ;
1906 ;47.1 ;29.9 ;19.2 ;42.0 ;24.5 ;20.8 ;33.8 ;25.9 ;14.4 ;25.7 ;14.4 ;12.3 ;
1907 ;47.5 ;28.4 ;18.0 ;40.0 ;22.4 ;21.2 ;33.3 ;24.4 ;14.1 ;25.5 ;14.6 ;12.4 ;
1908 ;44.8 ;28.3 ;16.0 ;36.8 ;23.7 ;18.0 ;33.7 ;23.6 ;14.5 ;25.7 ;14.9 ;12.2 ;
1909 ;44.7 ;29.5 ;16.0 ;38.7 ;29.3 ;18.8 ;33.1 ;23.7 ;13.2 ;25.6 ;13.7 ;11.9 ;
1910 ;45.1 ;31.5 ;16.8 ;39.0 ;22.4 ;20.8 ;32.7 ;23.1 ;14.1 ;24.7 ;14.0 ;12.1 ;
1911 ;45.0 ;27.4 ;16.0 ;36.3 ;21.8 ;20.6 ;31.5 ;23.4 ;14.3 ;24.0 ;13.8 ;11.8 ;
1912 ;43.7 ;26.5 ;;;;20.8 ;31.8 ;21.3 ;14.3 ;23.8 ;14.2 ;11.9 ;
1913 ;43.121 ;27.421 ;...21 ;... ;;;30.6 ;22.3 ;13.6 ;23.2 ;13.7 ;11.9 ;
;47.0 ;30.2 ;;;;;;;;;;;
1914 ;;;;;;;29.9 ;22.2 ;13.2 ;22.9 ;13.8 ;11.6 ;
