Table: Table_1

1. ;2. ;3. ;4. ;5. ;6. I ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17. ;18. ;19. ;20. ;21. ;22. ;23. ;24. ;25. ;26. ;27 ;28. ;29. ;30. ;31. ;32. ;33. Il ;34. ;35 ;36. ;37 ;38 ;39. 1 ;
1 Botkyrka ;43:010 ;26 ;1 ;4 ;1 ;5 ;;1 ;10 ;4 ;53 ;8,124 ;37 ;2,196 ;85 ;4,951 ;801 ;582 ;30 ;44 ;67 ;- ;45 ;886 ;;291 ;326 ;9,773 ;489 ;8.162 ;;- ;-- ;- ;17 ;140 ;1,829 ;10,682 ;
2 Brünnkyrka ;28.417 ;77 ;12 ;26 ;5 ;2 ;11 ;7 ;8 ;6 ;31 ;7,473 ;153 ;2,203 ;20 ;4,707 ;294 ;506 ;20 ;63 ;41 ;- ;53 ;927 ;9 ;290 ;272 ;2,314 ;438 ;3,158 ;- ;- ;--W ;- ;48 ;380 ;1,132 ;9,056 ;
3 Grödinge ;56:375 ;74 ;1 ;28 ;11 ;1 ;;12 ;18 ;3 ;33 ;11,052 ;33 ;2,884 ;95 ;6,978 ;400 ;677 ;34 ;52 ;51 ;- ;50 ;1,225 ;- ;395 ;438 ;3,728 ;622 ;4,478 ;- ;- ;;;78 ;628 ;2,205 ;17,643 ;
4 Huddiuge ;40 667 ;28 ;;3 ;9 ;6 ;1 ;1 ;5 ;3 ;93 ;13,727 ;37 ;2,636 ;52 ;9,674 ;357 ;666 ;38 ;41 ;54 ;-- ;29 ;1,092 ;- ;359 ;368 ;3,129 ;534 ;3,849 ;- ;- ;- ;-- ;47 ;379 ;1,878 ;15,028 ;
5 Nacka ;13:790 ;68 ;40 ;5 ;2 ;1 ;10 ;7 ;1 ;2 ;21 ;6,030 ;37 ;756 ;79 ;3,952 ;94 ;184 ;15 ;34 ;13 ;- ;21 ;302 ;;93 ;61 ;521 ;167 ;1,202 ;- ;;- ;- ;25 ;203 ;435 ;3,483 ;
6| Salem ;33:375 ;67 ;50 ;6 ;2 ;2 ;- ;;4 ;3 ;33 ;6,037 ;18 ;1,507 ;5 ;4,235 ;215 ;342 ;17 ;29 ;48 ;- ;35 ;618 ;- ;203 ;251 ;2,135 ;263 ;1,890 ;- ;- ;-- ;-- ;60 ;480 ;875 ;7,000 ;
Svartlösa härad ;215-664 ;340 ;104 ;72 ;30 ;17 ;22 ;28 ;46 ;21 ;263 ;59,443 ;315 ;12,182 ;336 ;84,497 ;1,661 ;2,907 ;154 ;263 ;274 ;- ;233 ;5,050 ;9 ;1,631 ;1,716 ;14,595 ;2,463 ;17,739 ;- ;- ;- ;- ;275 ;2,210 ;7,854 ;62,842 ;
7 Östertälje ;14:625 ;18 ;- ;10 ;3 ;3 ;- ;1 ;1 ;- ;23 ;2,405 ;9 ;705 ;18 ;1,513 ;99 ;184 ;13 ;21 ;11 ;- ;10 ;267 ;- ;100 ;54 ;463 ;191 ;1,434 ;-- ;- ;-- ;- ;21 ;1 171 ;618 ;4,638 ;
8 Västertälje ;10:625 ;9 ;;1 ;3 ;2 ;- ;;3 ;- ;25 ;2,165 ;13 ;660 ;9 ;1,204 ;91 ;203 ;21 ;19 ;;;9 ;232 ;- ;78 ;33 ;285 ;196 ;1,470 ;- ;- ;- ;- ;35 ;283 ;656 ;4,921 ;
9 Tveta ;21:125 ;16 ;1 ;1 ;1 ;5 ;- ;5 ;8 ;;36 ;4,019 ;17 ;1,169 ;35 ;1,980 ;176 ;314 ;22 ;28 ;12 ;- ;11 ;443 ;- ;163 ;62 ;524 ;374 ;2,800 ;- ;- ;- - ;- ;37 ;290. ;1,026 ;7,695 ;
10 Ofverjärna ;24-625 ;40 ;4 ;10 ;3 ;4 ;- ;14 ;4 ;1 ;81 ;5,925 ;18 ;1,538 ;37 ;3,327 ;244 ;415 ;50 ;49 ;28 ;-- ;10 ;511 ;- ;226 ;182 ;1.549 ;434 ;3,258 ;- ;- ;-- ;- ;119 ;953 ;1,025 ;7,680,10 ;
11 Ytterjärna ;29.750 ;22 ;;;7 I ;4 ;;4 ;6 ;1 ;41 ;4,229 ;11 ;1,363 ;37 ;2,124 ;188 ;348 ;40 ;37 ;12 ;- ;8 ;532 ;- ;198 ;180 ;1,537 ;297 ;2.227 ;- ;- ;.... ;- ;89 ;712 ;1,009 ;7.569 1 ;
12) Värdinge ;42-667 ;52 ;2 ;20 ;6 ;6 ;1 ;14 ;3 ;;55 ;8,899 ;25 ;2,042 ;82 ;5,870 ;290 ;515 ;52 ;52 ;32 ;;31 ;802 ;- ;268 ;223 ;1,897 ;519 ;3.895 ;- ;- ;- - ;- ;82 ;654 ;1,058 ;7,899 1 ;
13 Turinge ;40 125 ;49 ;- ;24 ;5 ;3 ;;7 ;9 ;1 ;72 ;10,467 ;17 ;2,168 ;101 ;6,735 ;304 ;512 ;52 ;54 ;38 ;- ;22 ;893 ;- ;293 ;150 ;1,278 ;614 ;4.600 ;- ;- ;- ;- ;146 ;1,171 ;1,417 ;10,627.18 ;
Öknebo härad ;183-542 ;206 ;7 ;66 ;28 ;27 ;1 ;45 ;29 ;3 ;333 ;38,109 ;110 ;9,640 ;319 ;22,258 ;1,802 ;2,491 ;250 ;260 ;140 ;- ;101 ;3,680 ;- ;1.396 ;884 ;7,538 ;2.625 ;19,684 ;- ;- ;- ;- ;529 ;4.234 ;6,804 ;51,029 ;
Summa för landsbygden ;4,054-102 ;8.934 ;2.243 ;4,021 ;630 ;209 ;62 ;1,005 ;665 ;99 ;5,726 ;730,882 ;2,763 ;163,904 ;29,256 ;407,199 ;24,293 ;42,446 ;4,479 ;5,292 ;1,449 ;94 ;2.237 ;60,089 ;42 ;23,483 ;16,644 ;128,761 ;42,721 ;309,900 ;329 ;1,749 ;32 ;188 ;14,141 ;106,750 ;99,434 ;744,855 ;
14 Södertälje ;11:375 ;58 ;;- ;1 ;- ;20 ;34 ;3 ;- ;86 ;1,855 ;71 ;474 ;16 ;1,251 ;70 ;130 ;10 ;50 ;5 ;- ;;149 ;- ;60 ;75 ;639 ;100 ;750 ;- ;- ;- ;- ;30 ;240 ;375 ;2,810'14 ;
15 Norrtälje ;6-500 ;192 ;150 ;20 ;;- ;15 ;6 ;1 ;- ;- ;455 ;20 ;161 ;3 ;200 ;13 ;24 ;8 ;34 ;- ;- ;5 ;67 ;- ;10 ;8 ;58 ;23 ;158 ;- ;- ;- ;- ;14 ;98 ;50 ;355-15 ;
16 Sigtuna ;;27 ;14 ;1 ;1 ;;6 ;3 ;2 ;- ;- ;459 ;19 ;138 ;10 ;240 ;22 ;33 ;8 ;12 ;- ;- ;2 ;50 ;;11 ;17 ;148 ;32 ;245 ;- ;-- ;- ;- ;13 ;105 ;88 ;663/16 ;
17 Vaxholm 18 Osthammar ;1:000 ;4 ;- ;- - ;- ;-- ;2 - ;2 - ;- ;- ;- ;168 45 ;18 6 ;23 ;2 5 ;75 ;3 ;5 ;1 ;1 ;- ;- ;- ;10 ;- -- ;3 ;2 ;19 ;7 ;63 ;- ;;- ;- ;- ;;20 ;150,17 ;
19 Öregrand ;4-250 ;146 ;136 ;10 ;- ;-- ;- ;;- ;- ;- ;543 ;6 ;91 ;44 ;200 ;3 ;9 ;4 ;23 ;1 ;- ;3 ;45 ;- ;3 ;3 ;22 ;- 6 ;45 ;- - ;-- - ;- - ;- - ;3 ;25 ;26 ;--18 197.19 ;
Summa för städerna ;23:125 ;427 ;800 ;31 ;2 ;- ;43 ;45 ;6 ;- ;86 ;3,525 ;135 ;887 ;80 ;1.968 ;111 ;201 ;31 ;120 ;6 ;- ;10 ;321 ;- ;87 ;105 ;896 ;168 ;1.251 ;- ;- ;- ;- ;60 ;468 ;559 ;4.175 ;
Summa för hela länet &r1911 ;4,077-227 ;9,361 ;2,548 ;4.052 ;682 ;209 ;105 ;1,050 ;671 ;99 ;5,812 ;734,407 ;2.898 ;164,791 ;29,836 ;409,165 ;24.404 ;42,647 ;4.510 ;5,412 ;1,455 ;94 ;2.247 ;60.410 ;49 ;23,570 ;16,749 ;129,647 ;42,859 ;311,151 ;322 ;1,749 ;32 ;188 ;14,201 ;107,218 ;99,993 ;749,030 ;
1910 ;4,077-228 ;9,345 ;2,540 ;4,044 ;621 ;206 ;104 ;1,044 ;684 ;102 ;5,872 ;733,871 ;2,696 ;165,208 ;29,569 ;408,520 ;24,414 ;43,149 ;4,391 ;5,449 ;1,318 ;94 ;2,181 ;60,885 ;47 ;23,780 ;16,111 ;139,732 ;43,543 ;352,123 ;409 ;2,435 ;32 ;195 ;14,400 ;113,434 ;101,299 ;846,099 ;





Table: Table_2

;;40. ;41. ;42. ;43. ;44. ;45. ;46, ;47. ;48. ;49. ;50. ;52. ;53. ;54. ;55. ;56. ;57. ;62. ;65. ;66. ;67. ;70. ;71. ;72. ;78. ;74. ;75. ;76. ;77. ;78. ;79. ;80. ;81. ;82. ;83. 1 ;
;1 Botkyrka ;574 ;4.247 ;87 ;612 ;2 ;10 ;75 ;527 ;1,045 ;4,702 ;46.902 ;- ;- ;- ;77 ;92 ;21,269 ;- ;2 ;- ;18 ;6 ;1 ;210 ;237 ;23 ;138 ;31 ;1,116 ;177 ;116 ;- ;328 ;24 ;1,760 ;
;2. Brünnkyrka ;524 ;3,879 ;56 ;394 ;3 ;17 ;40 ;288 ;1,493 ;6.719 ;28,703 ;- ;- ;- ;85 ;40 ;22,248 ;180 ;2 ;- ;;8 ;01 ;255 ;365 ;11 ;87 ;28 ;1.389 ;41 ;68 ;;675 ;12 ;1,830 ;
;si Grödinge ;467 ;3,455 ;92 ;647 ;5 ;28 ;95 ;667 ;1.248 ;5,639 ;35,700 ;- ;- ;- ;119 ;94 ;29,403 ;- ;4 ;- ;37 ;7 ;4 ;200 ;208 ;40 ;283 ;43 ;1,501 ;287 ;157 ;9 ;390 ;16 ;2.310 ;
;4 Huddinge ;440 ;3.256 ;102 ;719 ;4 ;20 ;104 ;728 ;1,074 ;4,838 ;37,795 ;- ;- ;- ;91 ;50 ;26,213 ;- ;3 ;- ;9 ;5 ;7 ;177 ;288 ;20 ;110 ;31 ;1,320 ;175 ;67 ;;331 ;36 ;1,955 ;
;5 Nacka ;152 ;1.124 ;44 ;308 ;3 ;15 ;30 ;213 ;704 ;3.171 ;9,101 ;- ;- ;- ;24 ;13 ;7.249 ;- ;2 ;- ;2 ;3 ;- ;250 ;139 ;4 ;34 ;9 ;429 ;20 ;- ;1 ;500 ;34 ;1,035 ;
;6 Salem ;294 ;2,178 ;50 ;355 ;2 ;13 ;110 ;770 ;682 ;3,069 ;33,603 ;- ;- ;- ;53 ;34 ;14,835 ;-- ;1 ;- ;3 ;;- ;100 ;136 ;16 ;90 ;16 ;749 ;198 ;76 ;;182 ;18 ;945 ;
;Svartlösa härad ;2,451 ;18,189 ;431 ;3,035 ;19 ;103 ;454 ;3,188 ;6,246 ;28,138 ;191,804 ;- ;- ;- ;449 ;828 ;121,217 ;180 ;14 ;- ;76 ;29 ;12:1 ;1,192 ;1,373 ;114 ;742 ;153 ;6,504 ;898 ;484 ;10 ;2,406 ;135 ;9,835 ;
;7. Östertälje ;14 ;107 ;39 ;294 ;- ;- ;4 ;28 ;459 ;1,838 ;7,703 ;- ;- ;--- ;80 ;10 ;6,408 ;- ;- ;- ;2 ;;- ;30 ;52 ;7 ;67 ;8 ;280 ;91 ;11 ;- ;96 ;12 ;650 ;
;si Västertälje ;50 ;375 ;61 ;450 ;- ;- ;9 ;65 ;423 ;1.698 ;4,900 ;- ;- ;- ;27 ;51 ;5,568 ;- ;1 ;- ;19 ;10 ;3 ;28 ;96 ;7 ;55 ;11 ;869 ;68 ;15 ;- ;79 ;16 ;595 ;
;9 Tveta ;42 ;317 ;63 ;473 ;;;10 ;70 ;625 ;2,503 ;8,405 ;- ;;- ;53 ;55 ;10,685 ;- ;2 ;- ;9 ;12 ;6 ;41 ;131 ;15 ;56 ;19 ;635 ;161 ;107 ;- ;146 ;34 ;1,087 ;
10 ;Ofverjärna ;318 ;2,380 ;119 ;897 ;2 ;10 ;43 ;305 ;1.110 ;4,437 ;19,598 ;- ;- ;- ;72 ;40 ;12.260 ;- ;2 ;- ;10 ;;8 ;80 ;117 ;12 ;146 ;23 ;839 ;175 ;225 ;- ;231 ;80 ;1,570 ;
11 ;Ytterjärna ;127 ;950 ;102 ;764 ;1 ;7 ;35 ;243 ;833 ;3,333 ;8,400 ;- ;- ;- ;56 ;68 ;12.763 ;- ;3 ;- ;4 ;7 ;2 ;85 ;118 ;18 ;125 ;21 ;606 ;117 ;67 ;- ;192 ;33 ;1,265 11 ;
12| ;Värdinge ;688 ;5.162 ;111 ;832 ;3 ;18 ;58 ;406 ;1.196 ;4.780 ;22,401 ;- ;- ;- ;88 ;70 ;19,251 ;- ;2 ;;8 ;- ;;120 ;177 ;20 ;188 ;31 ;1.101 ;323 ;175 ;- ;297 ;69 ;1,190 12 ;
18 ;Turinge ;229 ;1,719 ;161 ;1.209 ;3 ;15 ;25 ;173 ;1,215 ;4,857 ;26,600 ;- ;-- ;- ;90 ;74 ;21,432 ;- ;1 ;- ;8 ;- ;- ;70 ;213 ;26 ;82 ;30 ;971 ;249 ;196 ;- ;263 ;44 ;1,460 LS ;
;Ökneho härad ;1,468 ;11.010 ;656 ;4,919 ;9 ;50 ;184 ;1,292 ;5.861 ;23,446 ;98,007 ;- ;- ;- ;416 ;368 ;88,317 ;- ;11 ;- ;60 ;29 ;14 ;454 ;904 ;105 ;719 ;143 ;4.801 ;1.184 ;796 ;- ;1.304 ;238 ;7,817 ;
;Summa för landsbygden ;38,379 ;294,178 ;10,365 ;73,422 ;646 ;3.862 ;4,476 ;31,943 ;127,329 ;475,856 ;911,998 ;228 ;511 ;309 ;5,773 ;4,468 ;1,292,780 ;735 ;279 ;124 ;514 ;1,008 ;184 ;10,934 ;22,398 ;3,465 ;4,459 ;2,318 ;78,429 ;19,141 ;27,085 ;21 ;25.592 ;2,939 ;126,386 ;
14 ;Södertälje ;50 ;379 ;25 ;187 ;1 ;5 ;7 ;53 ;1.100 ;4,400 ;3,500 ;- ;- ;- ;20 ;7 ;3,576 ;- ;- ;- ;- ;1 ;- ;160 ;130 ;;- ;5 ;200 ;10 ;6 ;- ;80 ;25 ;750.14 ;
15 ;Norrtülje ;20 ;148 ;18 ;126 ;4 ;21 ;7 ;49 ;786 ;3,140 ;;- ;- ;- ;5 ;5 ;1,474 ;- ;- ;- ;- ;2 ;1 ;127 ;44 ;4 ;- ;;75 ;12 ;- ;- ;150 ;;900 ;
16 ;Sigtuna ;23 ;174 ;20 ;140 ;2 ;10 ;6 ;37 ;299 ;897 ;- ;;- ;-- ;5 ;4 ;1.005 ;- ;- ;- ;- ;4 ;1 ;20 ;31 ;2 ;;2 ;60 ;12 ;8 ;- ;37 ;6 ;220 16 ;
17 ;Vaxholm ;- ;- ;2 ;16 ;- ;- ;- ;-- ;45 ;138 ;- ;- ;- ;- ;1 ;1 ;207 ;- ;- ;- ;- ;- ;- ;32 ;18 ;- ;2 ;1 ;12 ;2 ;- ;- ;10 ;10 ;500 171 ;
18 ;Östhammar ;- ;;;;;;- ;- ;;;- ;- ;- ;- ;;;;- ;-- ;- ;- ;;;41 ;13 ;- ;;;32 ;;- ;- ;15 ;2 ;160 18 ;
19 ;Oregrund ;3 ;27 ;11 ;80 ;1 ;7 ;- ;- ;470 ;1.882 ;650 ;- ;- ;- ;2 ;2 ;812 ;- ;-- ;- ;- ;- ;- ;22 ;10 ;- ;- ;- ;103 ;20 ;14 ;- ;15 ;- ;20 19 ;
;Summa för städerna ;96 ;728 ;76 ;549 ;8 ;43 ;20 ;139 ;2,700 ;10,457 ;4,150 ;- ;- ;- ;33 ;19 ;7.074 ;- ;- ;- ;- ;7 ;2 ;402 ;246 ;6 ;2 ;8 ;482 ;56 ;28 ;- ;307 ;43 ;2.550 ;
;Summa för hela länet &r1911 ;38.475 ;294,906 ;10.441 ;78,971 ;654 ;8,405 ;4.496 ;32,092 ;130,029 ;486,813 ;916,148 ;228 ;511 ;309 ;5,806 ;4,487 ;1,299,854 ;735 ;279 ;124 ;514 ;1.015 ;186 ;11,336 ;22,644 ;3,471 ;4,461 ;2.326 ;78.911 ;19.197 ;27,113 ;21 ;25,899 ;2.982 ;128.936 ;
;1910 ;38,221 ;319,981 ;10,521 ;81,474 ;650 ;3,440 ;3,840 ;30,453 ;130,145 ;667,375 ;808,451 ;228 ;500 ;290 ;5,763 ;4,436 ;2,205,992 ;1,410 ;248 ;115 ;448 ;958 ;147 ;11,207 ;22,582 ;3,470 ;4,683 ;2,303 ;78,827 ;19,245 ;27,545 ;20 ;25,339 ;2,962 ;128,507 ;





