Table: Table_1

15 ;S:t Per ;143 ;1,091 ;17 ;121 ;1 ;5 ;21 ;146 ;169 ;509 ;603 ;-- ;- ;- ;16 ;12 ;3,400 ;- ;2 ;- ;- ;8 ;3 ;26 ;48 ;9 ;13 ;6 ;144 ;69 ;46 ;--- ;35 ;- ;200 ;15 ;
;Erlinghundra härad ;4,089 ;31,090 ;755 ;5,312 ;25 ;136 ;488 ;3,833 ;6,557 ;19,697 ;6,619 ;- ;- ;- ;423 ;413 ;81,601 ;- ;45 ;- ;35 ;28 ;7-2 ;487 ;1,899 ;208 ;225 ;123 ;4,473 ;1,197 ;1,149 ;- ;1,194 ;122 ;6,335 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16 ;Skepptuna ;571 ;4.282 ;124 ;930 ;10 ;55 ;47 ;307 ;1,159 ;3.709 ;1,000 ;- ;- ;- ;51 ;X 55 ;14,498 ;- ;2 ;- ;4 ;;- ;65 ;217 ;24 ;70 ;23 ;710 ;135 ;176 ;- ;192 ;16 ;1,030 ;16 ;
;Lunda ;368 ;2,763 ;66 ;498 ;6 ;30 ;26 ;171 ;670 ;2,149 ;505 ;- ;;- ;36 ;34 ;10,604 ;- ;1 ;- ;2 ;2 ;- ;23 ;155 ;21 ;40 ;17 ;527 ;83 ;140 ;- ;160 ;31 ;580 ;17 ;
;Vidbo ;272 ;2,045 ;68 ;513 ;5 ;23 ;32 ;208 ;834 ;2,635 ;;2 ;6 ;3 ;28 ;23 ;9,685 ;- ;;- ;;10 ;- ;28 ;136 ;17 ;24 ;13 ;496 ;97 ;154 ;- ;151 ;11 ;730 ;18 ;
;Skânela ;539 ;4,047 ;57 ;429 ;2 ;12 ;41 ;269 ;777 ;2,489 ;1,007 ;- ;- ;- ;43 ;50 ;12,499 ;- ;2 ;- ;3 ;- ;- ;60 ;153 ;19 ;52 ;19 ;607 ;144 ;125 ;- ;142 ;14 ;485 ;19 ;
;Markim ;330 ;2,477 ;49 ;370 ;1 ;5 ;29 ;184 ;445 ;1,424 ;500 ;- ;- ;;36 ;31 ;9,900 ;- ;3 ;- ;4 ;2 ;- ;62 ;113 ;17 ;21 ;15 ;375 ;86 ;84 ;- ;90 ;;400 ;20 ;
21 ;Orkesta ;283 ;2.124 ;58 ;430 ;2 ;10 ;25 ;160 ;547 ;1,751 ;- ;- ;- ;- ;32 ;30 ;7.243 ;- ;1 ;- ;2 ;- ;- ;28 ;96 ;11 ;22 ;12 ;376 ;76 ;102 ;- ;99 ;10 ;400 ;21 ;
22 ;Frösnnda ;503 ;3,772 ;76 ;572 ;7 ;38 ;59 ;365 ;1,017 ;3,254 ;- ;2 ;4 ;5 ;44 ;45 ;11,114 ;- ;1 ;- ;2 ;- ;- ;45 ;175 ;24 ;44 ;21 ;657 ;123 ;190 ;- ;159 ;16 ;880 ;22 ;
