Table: Table_1

;Summa för landsbygden ;4,054-102 ;8,934 ;2,243 ;4,021 ;630 ;209 ;62 ;1,005 ;665 ;99 ;5,726 ;730,882 ;2,763 ;163,904 ;29,256 ;407,199 ;24,293 ;42,446 ;4,479 ;5,292 ;1,449 ;94 ;2.237 ;60,089 ;42 ;23,483 ;16,644 ;128,761 ;42,721 ;309,900 ;329 ;1,749 ;32 ;188 ;14,141 ;106.750 ;99,434 ;744,855 ;
;Södertälje ;11:375 ;58 ;- ;- ;1 ;- ;20 ;34 ;3 ;- ;86 ;1.855 ;71 ;474 ;16 ;1,251 ;70 ;130 ;10 ;50 ;5 ;-- ;- ;149 ;;60 ;75 ;639 ;100 ;750 ;- ;- ;- ;- ;30 ;240 ;375 ;2,810 14 ;
15 ;Norrtälje ;6-500 ;192 ;150 ;20 ;;- ;15 ;6 ;1 ;- ;- ;455 ;20 ;161 ;3 ;200 ;13 ;24 ;8 ;34 ;- ;- ;5 ;67 ;- ;10 ;8 ;58 ;23 ;158 ;- ;- ;- ;- ;14 ;98 ;50, ;355 15 ;
16 ;Sigtuna ;;27 ;14 ;1 ;1 ;- ;6 ;3 ;2 ;- ;- ;459 ;19 ;138 ;10 ;240 ;22 ;33 ;8 ;12 ;- ;- ;2 ;50 ;- ;11 ;17 ;148 ;32 ;245 ;1 ;- ;- ;- ;13 ;105 ;88 ;663'16 ;
17 18 ;Vaxholm Osthammar ;1:000 - ;4 ;- ;- - ;- - ;- - ;2 - ;2 - ;- - ;- - ;- - ;168 45 ;13 6 ;23 ;2 5 ;75 ;3 ;5 ;1 ;1 ;- ;- - ;- ;10 ;- - ;3 ;2 ;19 - ;7 ;53 - ;- - ;-- ;- -- ;- - ;- ;- - ;20 - ;15017 --18 ;
19 ;Öregrand ;4-250 ;146 ;136 ;10 ;- ;-- ;- ;- ;- ;- ;- ;543 ;6 ;91 ;44 ;200 ;3 ;9 ;4 ;23 ;1 ;- ;3 ;45 ;- ;3 ;3 ;22 ;6 ;45 ;- ;- ;- ;- ;3 ;25 ;26 ;197:19 ;
;Summa för städerna ;23:125 ;427 ;300 ;31 ;2 ;- ;43 ;45 ;6 ;;86 ;3,525 ;135 ;887 ;80 ;1,966 ;111 ;201 ;31 ;120 ;6 ;- ;10 ;321 ;- ;87 ;105 ;886 ;168 ;1,251 ;- ;- ;- ;- ;60 ;468 ;559 ;4.175 ;
;Summa för hela länet &r1911 ;4,077-227 ;9,361 ;2,543 ;4,052 ;632 ;209 ;105 ;1,050 ;671 ;99 ;5,812 ;734,407 ;2.898 ;164,791 ;29,836 ;409,165 ;24,404 ;42.647 ;4,510 ;5,412 ;1,455 ;94 ;2,247 ;60,410 ;48 ;23,570 ;16,749 ;129,647 ;42,889 ;311,151 ;322 ;1,749 ;32 ;188 ;14,201 ;107,218 ;99,993 ;749,030 ;
;1910 ;4,077-228 ;9,345 ;2,540 ;4,044 ;621 ;206 ;104 ;1,044 ;684 ;102 ;5,872 ;733,871 ;2,696 ;165,208 ;29,569 ;408,520 ;24,414 ;43,149 ;4,391 ;5,449 ;1,318 ;94 ;2,181 ;60,385 ;47 ;23,780 ;16,111 ;132,732 ;43,543 ;352,123 ;409 ;2,435 ;32 ;195 ;14,400 ;113,434 ;101,299 ;846,099 ;





