Table: Table_1

;;40. ;41. ;42. ;43. ;44. ;45. ;46. ;47. ;48. ;49. ;50. ;52 / ;53. ;54. ;55. ;56. ;57. ;62. ;65. ;66. ;67. ;70. ;71. ;72. ;73. ;74. ;75. ;76. ;77. ;78. ;79. ;80. ;81. ;82. ;83. 1. ;
15 ;Norrtülje ;20 ;148 ;18 ;126 ;4 ;21 ;7 ;49 ;786 ;3,140 ;;- ;- ;- ;5 ;5 ;1,474 ;- ;- ;- ;- ;2 ;1 ;127 ;44 ;4 ;- ;;75 ;12 ;- ;- ;150 ;- ;900 15 ;
16 ;Sigtuna ;23 ;174 ;20 ;140 ;2 ;10 ;6 ;37 ;299 ;897 ;- ;- ;- ;- ;5 ;4 ;1,005 ;- ;-- ;- ;- ;4 ;1 ;20 ;31 ;2 ;;2 ;60 ;12 ;8 ;- ;37 ;6 ;220 16 ;
17 ;Vaxholm ;;;2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;- ;- ;;16 ;- ;- ;- ;- ;45 ;138 ;- ;- ;- ;- ;1 ;1 ;207 ;- ;--- ;- ;- ;- ;- ;32 ;18 ;- ;2 ;1 ;12 ;2 ;- ;- ;10 ;10 ;500 17 ;
18 ;Osthammar ;- ;- ;;;- ;- ;- ;- ;- ;;- ;- ;- ;- ;- ;;;- ;- ;--- ;- ;- ;- ;41 ;13 ;- ;-- ;- ;32 ;;- ;- ;15 ;2 ;160 18 ;
19 ;Oregrund ;3 ;27 ;11 ;80 ;1 ;7 ;- ;- ;470 ;1,882 ;650 ;- ;- ;- ;2 ;2 ;812 ;- ;-- ;- ;- ;- ;- ;22 ;10 ;- ;- ;- ;103 ;20 ;14 ;- ;15 ;;20 19 ;
;Summa för städerna ;96 ;728 ;76 ;549 ;8 ;43 ;20 ;139 ;2,700 ;10,457 ;4.150 ;- ;- ;- ;33 ;X 19 ;7,074 ;- ;- ;- ;- ;7 ;2 ;402 ;246 ;6 ;20 ;8 ;482 ;56 ;28 ;- ;307 ;43 ;2,550 ;
;Summa för hela länet &r1911 ;38,475 ;294,906 ;10,441 ;73,971 ;654 ;3,405 ;4,496 ;32,082 ;130,029 ;486,813 ;916,148 ;228 ;511 ;309 ;5,806 ;4,487 ;1,299,854 ;735 ;279 ;124 ;514 ;1,015 ;186 ;11,836 ;22,644 ;3,471 ;4,461 ;2,326 ;78,911 ;19,197 ;27,113 ;21 ;25,899 ;2,982 ;128,936 ;
;1910 ;38,221 ;319,981 ;10,521 ;81,474 ;650 ;3,440 ;3,840 ;30,453 ;130,145 ;667,375 ;808,451 ;228 ;500 ;290 ;5,763 ;4,436 ;2,205,992 ;1,410 ;248 ;115 ;448 ;958 ;147 ;11,207 ;22,532 ;3,470 ;4,683 ;2,303 ;78,827 ;19,245 ;27,545 ;20 ;25,339 ;2,962 ;128,507 ;





