Table: Table_1

;B ;D ;M ;B ;D ;M ;B ;D ;M ;B ;D ;M ;
1850 ;39.6 ;32.9 ;19.3 ;30.0 ;21.2 ;15.4 ;;;;31.4 ;19.1 ;15.2 ;
1851 ;39.2 ;29.8 ;17.5 ;30.3 ;21.4 ;15.0 ;;;;30.1 ;18.4 ;19.7 ;
1852 ;37.5 ;30.9 ;15.8 ;30.0 ;21.5 ;13.9 ;;;;33.2 ;19.6 ;19.4 ;
1853 ;37.2 ;31.9 ;15.4 ;28.3 ;22.2 ;13.5 ;;;;31.6 ;25.0 ;18.3 ;
1854 ;36.3 ;34.5 ;13.8 ;28.8 ;20.5 ;12.9 ;... ;;;32.7 ;18.4 ;17.4 ;
1855 ;32.2 ;43.9 ;12.8 ;27.7 ;24.7 ;13.0 ;;;;31.9 ;20.0 ;17.0 ;
;Years ;ending 31 ;December ;;;;;;;;;;
1856 ;35.6 ;30.2 ;16.3 ;29.1 ;24.1 ;14.3 ;;;;32.4 ;18.7 ;17.2 ;
1857 ;39.4 ;28.2 ;16.7 ;31.6 ;22.8 ;16.5 ;;;;32.9 ;21.8 ;17.8 ;
1858 ;39.8 ;29.1 ;16.9 ;31.7 ;23.6 ;16.7 ;;;;33.2 ;23.2 ;17.4 ;
1859 ;40.7 ;29.2 ;14.1 ;32.4 ;24.2 ;16.0 ;;;;33.6 ;20.3 ;16.7 ;
1860 ;38.2 ;26.8 ;16.9 ;31.0 ;19.9 ;15.1 ;;;;32.6 ;20.2 ;16.0 ;
1861 ;37.4 ;29.8 ;16.0 ;31.1 ;22.5 ;14.3 ;;;;31.6 ;18.4 ;14.9 ;
1862 ;38.1 ;29.5 ;17.7 ;30.4 ;20.9 ;14.3 ;;;;30.8 ;18.3 ;14.7 ;
1863 ;40.6 ;29.9 ;16.9 ;32.2 ;22.3 ;14.8 ;;;;30.9 ;18.1 ;15.0 ;
