Table: Table_1

1. ;2. ;7. ;8. ;18. ;19 ;20. ;21. ;22. ;23 ;25. ;27. ;28. ;30. ;32. ;33. ;34. ;35. ;39. ;44. ;46. ;48 ;49. ;50. ;51. ;55. ;56 ;59 ;61 ;66. ;68 ;69. ;70. ;71. ;72. ;74. ;
Norra Tjusts härad. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rumskulla sockens länsdel ;26,83 ;875 ;1,834 ;240 ;210 ;- ;71 ;- ;14 ;122 ;218 ;;1,323 ;491 ;1,046 ;- ;- ;3,560 ;- ;8.902 ;3,011 ;6,092 ;- ;- ;26,202 ;- ;86 ;2,920 ;109 ;257 ;12 ;456 ;239 ;831 ;168 ;
Wimmerby socken ;32,50 ;2,155 ;4,714 ;560 ;443 ;- ;165 ;- ;21 ;248 ;718 ;;3,087 ;1,128 ;2,079 ;- ;;8,816 ;- ;19,940 ;7.157 ;13,060 ;- ;- ;57,765 ;- ;134 ;5,944 ;186 ;442 ;37 ;754 ;431 ;1,587 ;255 ;
Pelarne d:o ;26,88 ;1,061 ;2,190 ;251 ;185 ;- ;49 ;t ;19 ;203 ;354 ;;1,090 ;473 ;869 ;- ;;2,489 ;- ;8,234 ;2,904 ;5,393 ;- ;- ;20,028 ;57 ;100 ;4,880 ;77 ;212 ;19 ;392 ;235 ;967 ;162 ;
Södra Wi d:o ;45,17 ;2,595 ;2,191 ;627 ;592 ;2 ;155 ;- ;10 ;343 ;866 ;33, ;3,415 ;1,405 ;2,911 ;- ;8 ;7,812 ;321 ;24,507 ;8,423 ;16,160 ;- ;39 ;47,502 ;- ;68 ;8,240 ;239 ;535 ;46 ;935 ;505 ;2,063 ;224 ;
Djursdala d:o ;17,75 ;727 ;388 ;208 ;141 ;;60 ;- ;- ;76 ;242 ;6 ;1,140 ;403 ;605 ;- ;;3,011 ;50 ;7,207 ;3,503 ;3,263 ;- ;- ;19,039 ;- ;- ;1.824 ;92 ;179 ;15 ;302 ;208 ;771 ;164 ;
Tuna sockens häradadel ;7,00 ;741 ;600 ;149 ;132 ;4 ;41 ;1/8 ;3 ;165 ;247 ;44 ;769 ;88 ;926 ;- ;16 ;2,066 ;605 ;5,424 ;498 ;4,637 ;- ;82 ;14,169 ;50 ;20 ;3.960 ;47 ;115 ;10 ;199 ;126 ;486 ;58 ;
Hvena d:o d:o ;43.63 ;1,847 ;2,782 ;516 ;465 ;;150 ;- ;16 ;84 ;616 ;2 ;2,841 ;1,424 ;1,884 ;- ;;7,585 ;13 ;18,409 ;8,039 ;11,063 ;- ;- ;53,978 ;- ;103 ;2.024 ;244 ;527 ;45 ;984 ;562 ;2,129 ;323 ;
Summa b) ;199,26 ;19,001 ;14,699 ;2,551 ;2,168 ;6 ;69 ;t ;83 ;1,241 ;3,261 ;85 ;13,665 ;5,412 ;10,320 ;- ;24 ;a)34,839 ;989 ;92,623 ;33,535 ;59,668 ;- ;121 ;238,683 ;107 ;511 ;29,792 ;994 ;2,267 ;184 ;4,022 ;a)2,306 ;8,834 ;1,354 ;
TunalAns härad. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Misterhults socken ;71,00 ;4,605 ;5,865 ;1,185 ;872 ;34 ;306 ;28 ;9 ;636 ;1,535 ;416 ;5,998 ;712 ;5,947 ;28 ;132 ;15,410 ;3,100 ;40,244 ;4,227 ;37,296 ;145 ;794 ;100,057 ;8,644 ;58 ;15,256 ;423 ;741 ;100 ;2,069 ;929 ;3,456 ;512 ;
Tuna sockens häradadel ;29,95 ;3,466 ;3,323 ;712 ;603 ;14 ;230 ;20 ;15 ;717 ;1,155 ;139 ;3,749 ;529 ;4,089 ;- ;57 ;11,611 ;1,436 ;27,399 ;3,200 ;26,479 ;- ;347 ;82,139 ;6,224 ;98 ;17,208 ;194 ;706 ;48 ;968 ;608 ;2,198 ;312 ;
Christdala socken ;37,88 ;2,049 ;2,404 ;574 ;464 ;19 ;112 ;2 ;12 ;183 ;683 ;25 ;3,131 ;1,468 ;1,821 ;- ;76 ;5,676 ;170 ;19.253 ;5,468 ;9,658 ;- ;548 ;33,831 ;630 ;80 ;4.392 ;323 ;279 ;42 ;849 ;592 ;2.331 ;332 ;
Summa ;137,68 ;10,120 ;11,592 ;2,471 ;1,939 ;67 ;648 ;50 ;36 ;1,536 ;3,373 ;580 ;12.878 ;2,709 ;11,857 ;28 ;265 ;32,697 ;4,706 ;86,896 ;12,895 ;73,433 ;145 ;1.689 ;216,027 ;15,498 ;236 ;36,856 ;940 ;1.726 ;190 ;3.886 ;2,129 ;7.985 ;1,156 ;
Hvena skate Aspelands härad. ;4,88 ;268 ;453 ;71 ;62 ;;21 ;- ;2 ;23 ;89 ;;891 ;120 ;340 ;- ;;1,046) ;- ;2,659 ;725 ;1,607 ;- ;- ;5,727 ;- ;12 ;552 ;28 ;75 ;6 ;118 ;65 ;231 ;34 ;





